"SRQID","DRQID"
"srqid31","drqid1019"
"srqid31","drqid2988"
"srqid31","drqid1148"
"srqid31","drqid1414"
"srqid31","drqid250"
"srqid32","drqid735"
"srqid32","drqid2969"
"srqid33","drqid1779"
"srqid33","drqid152"
"srqid33","drqid1322"
"srqid34","drqid1312"
"srqid34","drqid2805"
"srqid34","drqid899"
"srqid34","drqid1062"
"srqid34","drqid2248"
"srqid34","drqid2479"
"srqid35","drqid1219"
"srqid35","drqid281"
"srqid35","drqid417"
"srqid35","drqid106"
"srqid35","drqid1192"
"srqid35","drqid2966"
"srqid35","drqid1543"
"srqid36","drqid1557"
"srqid36","drqid1652"
"srqid36","drqid2902"
"srqid37","drqid991"
"srqid37","drqid3238"
"srqid37","drqid8"
"srqid37","drqid96"
"srqid37","drqid3699"
"srqid37","drqid198"
"srqid37","drqid2004"
"srqid37","drqid371"
"srqid38","drqid2204"
"srqid38","drqid2156"
"srqid38","drqid1070"
"srqid38","drqid1212"
"srqid38","drqid2785"
"srqid39","drqid3994"
"srqid39","drqid1919"
"srqid39","drqid2650"
"srqid39","drqid2399"
"srqid39","drqid2481"
"srqid40","drqid1822"
"srqid40","drqid3484"
"srqid40","drqid1141"
"srqid40","drqid2498"
"srqid41","drqid32"
"srqid41","drqid2822"
"srqid41","drqid2949"
"srqid41","drqid1979"
"srqid41","drqid2206"
"srqid42","drqid1177"
"srqid42","drqid84"
"srqid42","drqid2423"
"srqid43","drqid881"
"srqid43","drqid2487"
"srqid43","drqid3612"
"srqid43","drqid416"
"srqid43","drqid841"
"srqid43","drqid2862"
"srqid44","drqid584"
"srqid44","drqid785"
"srqid44","drqid2591"
"srqid44","drqid3370"
"srqid45","drqid3297"
"srqid45","drqid1760"
"srqid45","drqid1685"
"srqid45","drqid1343"
"srqid45","drqid461"
"srqid46","drqid2797"
"srqid46","drqid2838"
"srqid46","drqid593"
"srqid46","drqid1134"
"srqid46","drqid846"
"srqid46","drqid1125"
"srqid46","drqid1671"
"srqid47","drqid1770"
"srqid47","drqid224"
"srqid47","drqid491"
"srqid47","drqid1486"
"srqid47","drqid2749"
"srqid47","drqid3487"
"srqid48","drqid1219"
"srqid48","drqid281"
"srqid48","drqid417"
"srqid48","drqid629"
"srqid48","drqid3626"
"srqid48","drqid1097"
"srqid48","drqid292"
"srqid48","drqid3239"
"srqid49","drqid1876"
"srqid49","drqid322"
"srqid49","drqid1301"
"srqid49","drqid976"
"srqid50","drqid1976"
"srqid50","drqid311"
"srqid50","drqid3115"
"srqid50","drqid137"
"srqid50","drqid646"
"srqid50","drqid1209"
"srqid50","drqid3025"
"srqid50","drqid3671"
"srqid51","drqid1340"
"srqid51","drqid2477"
"srqid51","drqid3251"
"srqid51","drqid777"
"srqid52","drqid2816"
"srqid52","drqid3501"
"srqid52","drqid3149"
"srqid52","drqid3331"
"srqid53","drqid140"
"srqid53","drqid901"
"srqid53","drqid1214"
"srqid53","drqid1774"
"srqid53","drqid3764"
"srqid53","drqid3413"
"srqid53","drqid2864"
"srqid53","drqid572"
"srqid54","drqid2500"
"srqid54","drqid417"
"srqid54","drqid241"
"srqid54","drqid2507"
"srqid54","drqid2811"
"srqid54","drqid2880"
"srqid54","drqid3727"
"srqid55","drqid1776"
"srqid55","drqid728"
"srqid55","drqid1281"
"srqid55","drqid910"
"srqid55","drqid2023"
"srqid55","drqid1131"
"srqid55","drqid1357"
"srqid55","drqid2984"
"srqid55","drqid2828"
"srqid55","drqid12"
"srqid55","drqid3490"
"srqid55","drqid596"
"srqid55","drqid2483"
"srqid55","drqid305"
"srqid56","drqid2544"
"srqid56","drqid3882"
"srqid56","drqid1745"
"srqid56","drqid2885"
"srqid56","drqid3028"
"srqid56","drqid1044"
"srqid56","drqid168"
"srqid56","drqid2423"
"srqid57","drqid2125"
"srqid57","drqid1171"
"srqid57","drqid1385"
"srqid57","drqid3338"
"srqid58","drqid3745"
"srqid58","drqid3827"
"srqid58","drqid2711"
"srqid58","drqid968"
"srqid58","drqid3559"
"srqid58","drqid719"
"srqid58","drqid2918"
"srqid58","drqid2922"
"srqid58","drqid3869"
"srqid58","drqid749"
"srqid58","drqid1114"
"srqid58","drqid239"
"srqid59","drqid1753"
"srqid59","drqid2650"
"srqid59","drqid1414"
"srqid59","drqid2309"
"srqid59","drqid2928"
"srqid59","drqid3948"
"srqid59","drqid223"
"srqid60","drqid369"
"srqid60","drqid552"
"srqid60","drqid3871"
"srqid60","drqid161"
"srqid60","drqid2565"
"srqid60","drqid477"
"srqid60","drqid1449"
"srqid60","drqid997"
"srqid61","drqid1062"
"srqid61","drqid2248"
"srqid61","drqid1744"
"srqid61","drqid3291"
"srqid61","drqid3949"
"srqid61","drqid3749"
"srqid62","drqid2407"
"srqid62","drqid3427"
"srqid62","drqid2426"
"srqid62","drqid3700"
"srqid62","drqid11"
"srqid62","drqid3820"
"srqid62","drqid1889"
"srqid62","drqid3283"
"srqid62","drqid439"
"srqid62","drqid952"
"srqid62","drqid156"
"srqid62","drqid2353"
"srqid62","drqid2088"
"srqid62","drqid1675"
"srqid63","drqid40"
"srqid63","drqid1072"
"srqid63","drqid1803"
"srqid63","drqid1073"
"srqid63","drqid1400"
"srqid63","drqid1919"
"srqid63","drqid2650"
"srqid64","drqid2168"
"srqid64","drqid3780"
"srqid64","drqid1158"
"srqid64","drqid2750"
"srqid64","drqid830"
"srqid65","drqid406"
"srqid65","drqid853"
"srqid65","drqid562"
"srqid65","drqid957"
"srqid65","drqid1062"
"srqid65","drqid1858"
"srqid66","drqid1140"
"srqid66","drqid2166"
"srqid66","drqid1025"
"srqid66","drqid1886"
"srqid66","drqid1076"
"srqid66","drqid365"
"srqid66","drqid2417"
"srqid66","drqid2956"
"srqid67","drqid1306"
"srqid67","drqid2256"
"srqid67","drqid3965"
"srqid67","drqid1014"
"srqid67","drqid541"
"srqid67","drqid198"
"srqid67","drqid2004"
"srqid67","drqid1568"
"srqid67","drqid2692"
"srqid67","drqid1698"
"srqid67","drqid1075"
"srqid67","drqid1361"
"srqid67","drqid1340"
"srqid67","drqid3830"
"srqid67","drqid1362"
"srqid67","drqid1932"
"srqid67","drqid812"
"srqid68","drqid1219"
"srqid68","drqid2511"
"srqid68","drqid156"
"srqid68","drqid428"
"srqid68","drqid3282"
"srqid68","drqid508"
"srqid69","drqid1592"
"srqid69","drqid1091"
"srqid70","drqid2593"
"srqid70","drqid3068"
"srqid70","drqid616"
"srqid70","drqid2171"
"srqid70","drqid3112"
"srqid71","drqid1903"
"srqid71","drqid3403"
"srqid71","drqid3899"
"srqid71","drqid569"
"srqid71","drqid627"
"srqid71","drqid355"
"srqid71","drqid557"
"srqid72","drqid1404"
"srqid72","drqid368"
"srqid72","drqid1488"
"srqid72","drqid2642"
"srqid72","drqid1463"
"srqid72","drqid1951"
"srqid72","drqid3494"
"srqid72","drqid1274"
"srqid72","drqid2375"
"srqid72","drqid630"
"srqid72","drqid3422"
"srqid72","drqid929"
"srqid72","drqid3657"
"srqid72","drqid652"
"srqid72","drqid3489"
"srqid73","drqid1768"
"srqid73","drqid3687"
"srqid73","drqid1855"
"srqid73","drqid2883"
"srqid73","drqid118"
"srqid73","drqid1274"
"srqid73","drqid3432"
"srqid73","drqid3465"
"srqid74","drqid3981"
"srqid74","drqid3713"
"srqid74","drqid3637"
"srqid74","drqid921"
"srqid75","drqid3373"
"srqid75","drqid3881"
"srqid75","drqid659"
"srqid76","drqid2687"
"srqid76","drqid1612"
"srqid76","drqid2943"
"srqid76","drqid3707"
"srqid77","drqid2215"
"srqid77","drqid224"
"srqid77","drqid127"
"srqid77","drqid1553"
"srqid77","drqid1607"
"srqid77","drqid1582"
"srqid77","drqid1758"
"srqid77","drqid1560"
"srqid77","drqid2351"
"srqid77","drqid1425"
"srqid77","drqid1986"
"srqid77","drqid2385"
"srqid77","drqid248"
"srqid78","drqid829"
"srqid78","drqid1164"
"srqid78","drqid1747"
"srqid78","drqid1543"
"srqid78","drqid2295"
"srqid79","drqid3454"
"srqid79","drqid968"
"srqid79","drqid177"
"srqid79","drqid363"
"srqid79","drqid3822"
"srqid79","drqid2286"
"srqid79","drqid304"
"srqid79","drqid3423"
"srqid80","drqid2175"
"srqid80","drqid1001"
"srqid80","drqid160"
"srqid80","drqid1863"
"srqid81","drqid2815"
"srqid81","drqid774"
"srqid81","drqid2429"
"srqid81","drqid2780"
"srqid81","drqid3812"
"srqid81","drqid177"
"srqid81","drqid363"
"srqid81","drqid130"
"srqid81","drqid2505"
"srqid82","drqid1000"
"srqid82","drqid2323"
"srqid82","drqid1415"
"srqid82","drqid1465"
"srqid82","drqid1680"
"srqid83","drqid1306"
"srqid83","drqid2256"
"srqid83","drqid3965"
"srqid83","drqid287"
"srqid83","drqid930"
"srqid83","drqid3915"
"srqid83","drqid29"
"srqid83","drqid587"
"srqid84","drqid3951"
"srqid84","drqid3215"
"srqid84","drqid3747"
"srqid84","drqid1233"
"srqid84","drqid3595"
"srqid84","drqid3987"
"srqid85","drqid2797"
"srqid85","drqid2838"
"srqid85","drqid593"
"srqid85","drqid3889"
"srqid86","drqid929"
"srqid86","drqid2116"
"srqid86","drqid83"
"srqid86","drqid3533"
"srqid86","drqid656"
"srqid86","drqid830"
"srqid87","drqid2593"
"srqid87","drqid3403"
"srqid87","drqid2926"
"srqid87","drqid3784"
"srqid87","drqid206"
"srqid87","drqid2950"
"srqid88","drqid1368"
"srqid88","drqid2201"
"srqid88","drqid2830"
"srqid88","drqid2960"
"srqid88","drqid1114"
"srqid88","drqid239"
"srqid89","drqid1008"
"srqid89","drqid947"
"srqid89","drqid630"
"srqid90","drqid973"
"srqid90","drqid1725"
"srqid90","drqid3192"
"srqid90","drqid3722"
"srqid90","drqid1803"
"srqid90","drqid2401"
"srqid90","drqid1342"
"srqid90","drqid2694"
"srqid90","drqid496"
"srqid91","drqid738"
"srqid91","drqid2797"
"srqid91","drqid2838"
"srqid91","drqid593"
"srqid91","drqid1128"
"srqid91","drqid3903"
"srqid91","drqid3469"
"srqid91","drqid400"
"srqid92","drqid931"
"srqid92","drqid1636"
"srqid92","drqid451"
"srqid92","drqid3559"
"srqid92","drqid487"
"srqid93","drqid1768"
"srqid93","drqid3687"
"srqid93","drqid1014"
"srqid93","drqid1410"
"srqid94","drqid606"
"srqid94","drqid686"
"srqid94","drqid1121"
"srqid94","drqid199"
"srqid94","drqid2210"
"srqid94","drqid1291"
"srqid95","drqid2029"
"srqid95","drqid985"
"srqid95","drqid2224"
"srqid96","drqid2269"
"srqid96","drqid2479"
"srqid96","drqid3452"
"srqid96","drqid3693"
"srqid96","drqid2469"
"srqid96","drqid3299"
"srqid96","drqid3614"
"srqid96","drqid3540"
"srqid97","drqid218"
"srqid97","drqid44"
"srqid97","drqid2169"
"srqid97","drqid2897"
"srqid97","drqid3321"
"srqid97","drqid341"
"srqid98","drqid3813"
"srqid98","drqid2516"
"srqid99","drqid616"
"srqid99","drqid822"
"srqid99","drqid1053"
"srqid99","drqid1090"
"srqid99","drqid2540"
"srqid99","drqid3291"
"srqid99","drqid1024"
"srqid99","drqid3786"
"srqid99","drqid650"
"srqid100","drqid247"
"srqid100","drqid3066"
"srqid100","drqid706"
"srqid100","drqid1919"
"srqid100","drqid2650"
"srqid101","drqid187"
"srqid101","drqid2550"
"srqid101","drqid359"
"srqid101","drqid1819"
"srqid101","drqid2933"
"srqid101","drqid1744"
"srqid101","drqid3291"
"srqid102","drqid3410"
"srqid102","drqid489"
"srqid102","drqid515"
"srqid102","drqid1419"
"srqid102","drqid2260"
"srqid102","drqid3207"
"srqid103","drqid1197"
"srqid103","drqid1762"
"srqid103","drqid1442"
"srqid103","drqid3288"
"srqid104","drqid164"
"srqid104","drqid2281"
"srqid104","drqid1201"
"srqid104","drqid2286"
"srqid104","drqid3374"
"srqid104","drqid3657"
"srqid104","drqid1037"
"srqid104","drqid2430"
"srqid105","drqid1053"
"srqid105","drqid234"
"srqid105","drqid3471"
"srqid105","drqid2030"
"srqid105","drqid912"
"srqid105","drqid1100"
"srqid105","drqid1523"
"srqid105","drqid1709"
"srqid105","drqid3638"
"srqid105","drqid998"
"srqid106","drqid108"
"srqid106","drqid457"
"srqid106","drqid2479"
"srqid107","drqid2593"
"srqid107","drqid3403"
"srqid107","drqid2734"
"srqid107","drqid2965"
"srqid107","drqid3985"
"srqid107","drqid945"
"srqid107","drqid3250"
"srqid107","drqid502"
"srqid108","drqid3801"
"srqid108","drqid1205"
"srqid108","drqid1528"
"srqid108","drqid2420"
"srqid108","drqid1779"
"srqid108","drqid1263"
"srqid108","drqid3361"
"srqid108","drqid3413"
"srqid109","drqid1396"
"srqid109","drqid3620"
"srqid109","drqid1876"
"srqid109","drqid322"
"srqid109","drqid2071"
"srqid109","drqid2479"
"srqid109","drqid2732"
"srqid109","drqid2898"
"srqid109","drqid3581"
"srqid109","drqid3485"
"srqid109","drqid3616"
"srqid109","drqid1425"
"srqid109","drqid1956"
"srqid109","drqid2794"
"srqid109","drqid2834"
"srqid110","drqid2475"
"srqid110","drqid239"
"srqid110","drqid3080"
"srqid110","drqid595"
"srqid110","drqid3930"
"srqid110","drqid524"
"srqid110","drqid3047"
"srqid110","drqid898"
"srqid111","drqid1432"
"srqid111","drqid2482"
"srqid111","drqid1452"
"srqid111","drqid342"
"srqid112","drqid2148"
"srqid112","drqid1545"
"srqid112","drqid1585"
"srqid112","drqid1612"
"srqid112","drqid1095"
"srqid113","drqid1003"
"srqid113","drqid1584"
"srqid113","drqid1077"
"srqid113","drqid1679"
"srqid113","drqid1952"
"srqid114","drqid3264"
"srqid114","drqid1251"
"srqid114","drqid1324"
"srqid114","drqid3098"
"srqid114","drqid1140"
"srqid114","drqid2458"
"srqid114","drqid2593"
"srqid115","drqid2949"
"srqid115","drqid2083"
"srqid115","drqid280"
"srqid116","drqid2573"
"srqid116","drqid1333"
"srqid117","drqid1706"
"srqid117","drqid1746"
"srqid117","drqid134"
"srqid117","drqid1378"
"srqid118","drqid1711"
"srqid118","drqid454"
"srqid118","drqid1859"
"srqid118","drqid2061"
"srqid118","drqid2734"
"srqid118","drqid2965"
"srqid118","drqid817"
"srqid119","drqid548"
"srqid119","drqid916"
"srqid119","drqid1141"
"srqid119","drqid2498"
"srqid120","drqid161"
"srqid120","drqid2306"
"srqid120","drqid2810"
"srqid120","drqid1377"
"srqid120","drqid3599"
"srqid120","drqid3444"
"srqid120","drqid223"
"srqid120","drqid1975"
"srqid120","drqid3636"
"srqid121","drqid2949"
"srqid121","drqid1755"
"srqid121","drqid3080"
"srqid122","drqid2090"
"srqid122","drqid840"
"srqid122","drqid337"
"srqid122","drqid3207"
"srqid123","drqid2707"
"srqid123","drqid1591"
"srqid123","drqid2505"
"srqid123","drqid2670"
"srqid123","drqid3747"
"srqid124","drqid3089"
"srqid124","drqid1580"
"srqid125","drqid965"
"srqid125","drqid1987"
"srqid125","drqid3149"
"srqid125","drqid1474"
"srqid125","drqid1105"
"srqid125","drqid2659"
"srqid125","drqid1514"
"srqid126","drqid3472"
"srqid126","drqid67"
"srqid126","drqid3563"
"srqid126","drqid2805"
"srqid126","drqid3930"
"srqid126","drqid524"
"srqid127","drqid1198"
"srqid127","drqid232"
"srqid127","drqid564"
"srqid127","drqid2902"
"srqid127","drqid406"
"srqid127","drqid1810"
"srqid127","drqid2754"
"srqid127","drqid1049"
"srqid127","drqid2777"
"srqid128","drqid2206"
"srqid128","drqid1311"
"srqid128","drqid2543"
"srqid128","drqid861"
"srqid128","drqid2741"
"srqid128","drqid543"
"srqid128","drqid3094"
"srqid128","drqid76"
"srqid128","drqid2670"
"srqid128","drqid3747"
"srqid129","drqid3559"
"srqid129","drqid487"
"srqid129","drqid214"
"srqid129","drqid3330"
"srqid129","drqid3284"
"srqid129","drqid3525"
"srqid130","drqid1448"
"srqid130","drqid3314"
"srqid130","drqid3878"
"srqid130","drqid1605"
"srqid130","drqid1202"
"srqid131","drqid2491"
"srqid131","drqid2883"
"srqid131","drqid275"
"srqid131","drqid613"
"srqid132","drqid1196"
"srqid132","drqid722"
"srqid132","drqid3936"
"srqid132","drqid2523"
"srqid132","drqid3228"
"srqid132","drqid3590"
"srqid132","drqid1042"
"srqid132","drqid2184"
"srqid133","drqid1730"
"srqid133","drqid339"
"srqid133","drqid322"
"srqid133","drqid3744"
"srqid134","drqid3149"
"srqid134","drqid3331"
"srqid134","drqid211"
"srqid134","drqid2181"
"srqid135","drqid1023"
"srqid135","drqid918"
"srqid135","drqid3317"
"srqid135","drqid2114"
"srqid135","drqid2162"
"srqid136","drqid1499"
"srqid136","drqid1725"
"srqid136","drqid3192"
"srqid136","drqid3722"
"srqid136","drqid106"
"srqid136","drqid2042"
"srqid136","drqid2330"
"srqid136","drqid2357"
"srqid137","drqid1263"
"srqid137","drqid3166"
"srqid137","drqid1827"
"srqid137","drqid2178"
"srqid137","drqid1942"
"srqid137","drqid2210"
"srqid137","drqid1402"
"srqid137","drqid3280"
"srqid138","drqid3644"
"srqid138","drqid3713"
"srqid138","drqid422"
"srqid138","drqid984"
"srqid138","drqid2258"
"srqid138","drqid1764"
"srqid138","drqid2102"
"srqid138","drqid990"
"srqid139","drqid3883"
"srqid139","drqid551"
"srqid139","drqid3376"
"srqid139","drqid3801"
"srqid139","drqid3179"
"srqid140","drqid1416"
"srqid140","drqid1573"
"srqid140","drqid3772"
"srqid140","drqid1806"
"srqid140","drqid371"
"srqid141","drqid1323"
"srqid141","drqid2870"
"srqid141","drqid1969"
"srqid141","drqid2747"
"srqid141","drqid1493"
"srqid141","drqid2087"
"srqid142","drqid1569"
"srqid142","drqid241"
"srqid142","drqid27"
"srqid142","drqid2790"
"srqid142","drqid2"
"srqid142","drqid2232"
"srqid142","drqid1535"
"srqid142","drqid2800"
"srqid142","drqid726"
"srqid143","drqid3644"
"srqid143","drqid3713"
"srqid143","drqid2394"
"srqid143","drqid2566"
"srqid143","drqid1845"
"srqid143","drqid2599"
"srqid143","drqid996"
"srqid143","drqid178"
"srqid143","drqid2379"
"srqid143","drqid602"
"srqid143","drqid3239"
"srqid143","drqid2636"
"srqid143","drqid2883"
"srqid144","drqid2538"
"srqid144","drqid2894"
"srqid144","drqid3726"
"srqid144","drqid753"
"srqid145","drqid706"
"srqid145","drqid947"
"srqid145","drqid2750"
"srqid145","drqid2756"
"srqid145","drqid2502"
"srqid145","drqid2692"
"srqid145","drqid3901"
"srqid145","drqid2085"
"srqid145","drqid2763"
"srqid146","drqid3503"
"srqid146","drqid1365"
"srqid146","drqid2452"
"srqid147","drqid610"
"srqid147","drqid3427"
"srqid147","drqid795"
"srqid147","drqid1497"
"srqid147","drqid3185"
"srqid147","drqid2214"
"srqid147","drqid2754"
"srqid148","drqid2593"
"srqid148","drqid3403"
"srqid148","drqid2516"
"srqid148","drqid1746"
"srqid149","drqid2118"
"srqid149","drqid57"
"srqid149","drqid1024"
"srqid149","drqid3786"
"srqid149","drqid650"
"srqid149","drqid2399"
"srqid149","drqid2481"
"srqid150","drqid3675"
"srqid150","drqid3790"
"srqid150","drqid912"
"srqid150","drqid1053"
"srqid151","drqid1843"
"srqid151","drqid1090"
"srqid151","drqid3519"
"srqid151","drqid2792"
"srqid152","drqid3817"
"srqid152","drqid1769"
"srqid152","drqid2107"
"srqid152","drqid1605"
"srqid152","drqid570"
"srqid153","drqid1432"
"srqid153","drqid2482"
"srqid153","drqid1077"
"srqid153","drqid1679"
"srqid153","drqid1952"
"srqid154","drqid140"
"srqid154","drqid3854"
"srqid154","drqid1760"
"srqid154","drqid1529"
"srqid154","drqid420"
"srqid154","drqid822"
"srqid154","drqid2607"
"srqid154","drqid929"
"srqid155","drqid1750"
"srqid155","drqid87"
"srqid155","drqid1635"
"srqid155","drqid1787"
"srqid155","drqid1571"
"srqid155","drqid2653"
"srqid155","drqid727"
"srqid156","drqid135"
"srqid156","drqid2152"
"srqid156","drqid3776"
"srqid156","drqid155"
"srqid156","drqid3791"
"srqid156","drqid3799"
"srqid157","drqid583"
"srqid157","drqid2546"
"srqid157","drqid2676"
"srqid158","drqid3604"
"srqid158","drqid1302"
"srqid158","drqid3452"
"srqid158","drqid3986"
"srqid158","drqid3307"
"srqid159","drqid1555"
"srqid159","drqid2028"
"srqid159","drqid3584"
"srqid159","drqid716"
"srqid160","drqid583"
"srqid160","drqid973"
"srqid161","drqid1887"
"srqid161","drqid308"
"srqid161","drqid3545"
"srqid161","drqid3373"
"srqid161","drqid3304"
"srqid161","drqid740"
"srqid161","drqid764"
"srqid162","drqid1610"
"srqid162","drqid2506"
"srqid162","drqid380"
"srqid163","drqid1905"
"srqid163","drqid1056"
"srqid163","drqid2496"
"srqid163","drqid995"
"srqid163","drqid736"
"srqid163","drqid903"
"srqid163","drqid2913"
"srqid163","drqid1965"
"srqid163","drqid3547"
"srqid164","drqid3345"
"srqid164","drqid3759"
"srqid164","drqid2812"
"srqid164","drqid565"
"srqid164","drqid1170"
"srqid164","drqid3020"
"srqid165","drqid1113"
"srqid165","drqid3581"
"srqid165","drqid1942"
"srqid165","drqid2502"
"srqid165","drqid1769"
"srqid165","drqid2359"
"srqid165","drqid3468"
"srqid165","drqid3706"
"srqid165","drqid3767"
"srqid166","drqid409"
"srqid166","drqid2475"
"srqid166","drqid2006"
"srqid166","drqid1514"
"srqid166","drqid2852"
"srqid166","drqid3633"
"srqid166","drqid1496"
"srqid166","drqid54"
"srqid166","drqid3749"
"srqid166","drqid1185"
"srqid166","drqid1207"
"srqid167","drqid1255"
"srqid167","drqid592"
"srqid167","drqid3349"
"srqid167","drqid2693"
"srqid167","drqid70"
"srqid167","drqid2481"
"srqid167","drqid530"
"srqid168","drqid1200"
"srqid168","drqid3909"
"srqid168","drqid1189"
"srqid168","drqid1907"
"srqid168","drqid1963"
"srqid168","drqid3029"
"srqid168","drqid774"
"srqid169","drqid3766"
"srqid169","drqid3667"
"srqid169","drqid679"
"srqid169","drqid3801"
"srqid169","drqid3867"
"srqid169","drqid1386"
"srqid169","drqid3484"
"srqid169","drqid796"
"srqid169","drqid1945"
"srqid169","drqid3557"
"srqid169","drqid1186"
"srqid170","drqid3776"
"srqid170","drqid2212"
"srqid170","drqid3991"
"srqid170","drqid1164"
"srqid170","drqid1747"
"srqid171","drqid1092"
"srqid171","drqid112"
"srqid171","drqid2690"
"srqid171","drqid3402"
"srqid171","drqid1449"
"srqid171","drqid2712"
"srqid172","drqid1619"
"srqid172","drqid242"
"srqid172","drqid29"
"srqid172","drqid587"
"srqid172","drqid2066"
"srqid172","drqid3790"
"srqid173","drqid1745"
"srqid173","drqid2885"
"srqid173","drqid2227"
"srqid173","drqid3509"
"srqid173","drqid1177"
"srqid173","drqid1502"
"srqid173","drqid533"
"srqid174","drqid3896"
"srqid174","drqid2221"
"srqid174","drqid2522"
"srqid175","drqid1197"
"srqid175","drqid1762"
"srqid175","drqid3041"
"srqid175","drqid3723"
"srqid175","drqid2211"
"srqid175","drqid2848"
"srqid175","drqid2159"
"srqid175","drqid3706"
"srqid175","drqid1836"
"srqid175","drqid2720"
"srqid176","drqid3810"
"srqid176","drqid1190"
"srqid176","drqid891"
"srqid177","drqid2174"
"srqid177","drqid995"
"srqid177","drqid1940"
"srqid177","drqid2419"
"srqid177","drqid3022"
"srqid177","drqid386"
"srqid177","drqid771"
"srqid178","drqid1824"
"srqid178","drqid1377"
"srqid178","drqid562"
"srqid178","drqid2456"
"srqid178","drqid3267"
