"CID","AID"
"CID3233","AID59"
"CID3391","AID59"
"CID3767","AID59"
"CID6535","AID59"
"CID7761","AID59"
"CID25","AID2674"
"CID1683","AID2674"
"CID25","AID2992"
"CID1683","AID2992"
"CID6917","AID1067"
"CID6917","AID1719"
"CID6917","AID3673"
"CID6917","AID3993"
"CID1367","AID946"
"CID4197","AID1188"
"CID6011","AID1188"
"CID4197","AID1403"
"CID6011","AID1403"
"CID1021","AID2443"
"CID1603","AID2443"
"CID2107","AID2185"
"CID2107","AID2872"
"CID2107","AID2933"
"CID2107","AID81"
"CID2115","AID1939"
"CID7227","AID1939"
"CID7963","AID1939"
"CID3713","AID2953"
"CID6883","AID2953"
"CID3713","AID3393"
"CID6883","AID3393"
"CID1","AID1338"
"CID5601","AID1338"
"CID6251","AID1338"
"CID7015","AID1338"
"CID8205","AID1338"
"CID8967","AID1338"
"CID1","AID2461"
"CID5601","AID2461"
"CID6251","AID2461"
"CID7015","AID2461"
"CID8205","AID2461"
"CID8967","AID2461"
"CID7645","AID2235"
"CID1431","AID3709"
"CID7923","AID3709"
"CID1431","AID3901"
"CID7923","AID3901"
"CID3411","AID2399"
"CID3855","AID2836"
"CID5945","AID2836"
"CID3855","AID2855"
"CID5945","AID2855"
"CID3855","AID3126"
"CID5945","AID3126"
"CID1761","AID3420"
"CID2691","AID3420"
"CID5777","AID3420"
"CID2841","AID913"
"CID6501","AID913"
"CID2811","AID1329"
"CID8143","AID1329"
"CID2811","AID1513"
"CID8143","AID1513"
"CID2811","AID2238"
"CID8143","AID2238"
"CID2505","AID3291"
"CID2505","AID3487"
"CID81","AID2342"
"CID331","AID2342"
"CID5795","AID2342"
"CID81","AID2600"
"CID331","AID2600"
"CID5795","AID2600"
"CID3491","AID1014"
"CID8533","AID1014"
"CID3491","AID807"
"CID8533","AID807"
"CID5555","AID112"
"CID5555","AID2908"
"CID7237","AID1862"
"CID7237","AID1989"
"CID3677","AID3631"
"CID8495","AID3631"
"CID2847","AID3827"
"CID6307","AID3827"
"CID5697","AID174"
"CID8083","AID174"
"CID5697","AID2496"
"CID8083","AID2496"
"CID5697","AID3022"
"CID8083","AID3022"
"CID5697","AID3456"
"CID8083","AID3456"
"CID5463","AID2037"
"CID7665","AID2037"
"CID5463","AID2948"
"CID7665","AID2948"
"CID5463","AID666"
"CID7665","AID666"
"CID4693","AID1022"
"CID4693","AID1401"
"CID5517","AID3692"
"CID1051","AID1442"
"CID7293","AID1442"
"CID1051","AID2919"
"CID7293","AID2919"
"CID291","AID2514"
"CID931","AID2514"
"CID1791","AID2554"
"CID2827","AID2554"
"CID6785","AID2554"
"CID7135","AID2554"
"CID7843","AID2554"
"CID1791","AID2811"
"CID2827","AID2811"
"CID6785","AID2811"
"CID7135","AID2811"
"CID7843","AID2811"
"CID67","AID2147"
"CID1631","AID2147"
"CID7505","AID1240"
"CID7505","AID2784"
"CID2591","AID1108"
"CID8705","AID1108"
"CID2591","AID2518"
"CID8705","AID2518"
"CID2591","AID276"
"CID8705","AID276"
"CID2591","AID3786"
"CID8705","AID3786"
"CID5567","AID1402"
"CID7727","AID1402"
"CID4667","AID1464"
"CID4667","AID2174"
"CID4667","AID2568"
"CID4487","AID2944"
"CID2555","AID2389"
"CID7837","AID2389"
"CID651","AID1321"
"CID6135","AID1321"
"CID651","AID3661"
"CID6135","AID3661"
"CID4927","AID1119"
"CID4927","AID2224"
"CID4927","AID764"
"CID4927","AID989"
"CID8933","AID855"
"CID8933","AID878"
"CID2683","AID2622"
"CID4521","AID2622"
"CID6721","AID2907"
"CID5417","AID1107"
"CID5417","AID2485"
"CID3407","AID1305"
"CID3407","AID2212"
"CID3407","AID814"
"CID4777","AID1322"
"CID5907","AID1322"
"CID6155","AID1322"
"CID8867","AID1322"
"CID4777","AID18"
"CID5907","AID18"
"CID6155","AID18"
"CID8867","AID18"
"CID8885","AID1180"
"CID8885","AID1613"
"CID5741","AID2306"
"CID8533","AID2306"
"CID6377","AID1532"
"CID2181","AID1172"
"CID3433","AID1172"
"CID4991","AID1172"
"CID6423","AID3561"
"CID6423","AID3636"
"CID6423","AID951"
"CID3115","AID3027"
"CID4033","AID3792"
"CID4033","AID733"
"CID3661","AID2950"
"CID7151","AID2950"
"CID467","AID1661"
"CID4351","AID1661"
"CID5767","AID1661"
"CID6973","AID1661"
"CID467","AID1938"
"CID4351","AID1938"
"CID5767","AID1938"
"CID6973","AID1938"
"CID467","AID3227"
"CID4351","AID3227"
"CID5767","AID3227"
"CID6973","AID3227"
"CID467","AID59"
"CID4351","AID59"
"CID5767","AID59"
"CID6973","AID59"
"CID707","AID1943"
"CID1877","AID1943"
"CID2231","AID1943"
"CID2473","AID1943"
"CID3005","AID1943"
"CID4767","AID1424"
"CID5933","AID1424"
"CID2247","AID2222"
"CID2247","AID2653"
"CID2247","AID3416"
"CID2247","AID376"
"CID7571","AID3006"
"CID905","AID342"
"CID5833","AID342"
"CID6871","AID342"
"CID8645","AID342"
"CID905","AID381"
"CID5833","AID381"
"CID6871","AID381"
"CID8645","AID381"
"CID1835","AID1683"
"CID8015","AID1683"
"CID8523","AID1683"
"CID1835","AID2351"
"CID8015","AID2351"
"CID8523","AID2351"
"CID3035","AID2405"
"CID4205","AID2405"
"CID5277","AID2405"
"CID8551","AID2405"
"CID3035","AID2616"
"CID4205","AID2616"
"CID5277","AID2616"
"CID8551","AID2616"
"CID4271","AID1675"
"CID5427","AID1675"
"CID2021","AID1037"
"CID8273","AID1037"
"CID2021","AID2784"
"CID8273","AID2784"
"CID2021","AID2786"
"CID8273","AID2786"
"CID2021","AID949"
"CID8273","AID949"
"CID4871","AID2492"
"CID651","AID1508"
"CID2321","AID1508"
"CID651","AID162"
"CID2321","AID162"
"CID5433","AID3570"
"CID3335","AID2766"
"CID1315","AID3784"
"CID2207","AID324"
"CID3471","AID1259"
"CID3471","AID3053"
"CID1441","AID112"
"CID2077","AID112"
"CID8807","AID112"
"CID1441","AID1603"
"CID2077","AID1603"
"CID8807","AID1603"
"CID1435","AID3804"
"CID2603","AID3804"
"CID5475","AID3922"
"CID2947","AID2263"
"CID5221","AID2263"
"CID4091","AID2711"
"CID8625","AID2711"
"CID4091","AID2955"
"CID8625","AID2955"
"CID2717","AID1312"
"CID3573","AID1312"
"CID5035","AID1312"
"CID2717","AID1319"
"CID3573","AID1319"
"CID5035","AID1319"
"CID2717","AID3046"
"CID3573","AID3046"
"CID5035","AID3046"
"CID2717","AID3686"
"CID3573","AID3686"
"CID5035","AID3686"
"CID3705","AID3222"
"CID7061","AID3222"
"CID3705","AID603"
"CID7061","AID603"
"CID1403","AID2932"
"CID4935","AID2932"
"CID5181","AID2932"
"CID1403","AID594"
"CID4935","AID594"
"CID5181","AID594"
"CID447","AID1416"
"CID447","AID3392"
"CID5787","AID2818"
"CID8143","AID2818"
"CID8461","AID2818"
"CID5435","AID2415"
"CID5435","AID3195"
"CID5435","AID3318"
"CID5435","AID339"
"CID1785","AID2887"
"CID5905","AID3756"
"CID7631","AID2843"
"CID7631","AID358"
"CID5725","AID3014"
"CID5725","AID3736"
"CID7233","AID3220"
"CID5083","AID1749"
"CID5083","AID690"
"CID4407","AID1575"
"CID6257","AID1575"
"CID4407","AID3751"
"CID6257","AID3751"
"CID4133","AID3873"
"CID1251","AID2481"
"CID5465","AID2481"
"CID7261","AID2481"
"CID8091","AID2481"
"CID861","AID37"
"CID5535","AID37"
"CID7201","AID37"
"CID861","AID782"
"CID5535","AID782"
"CID7201","AID782"
"CID8465","AID287"
"CID8511","AID287"
"CID485","AID1379"
"CID485","AID2519"
"CID485","AID3008"
"CID485","AID744"
"CID2377","AID1119"
"CID6247","AID1119"
"CID2377","AID1981"
"CID6247","AID1981"
"CID477","AID1071"
"CID697","AID1071"
"CID2635","AID1071"
"CID477","AID3036"
"CID697","AID3036"
"CID2635","AID3036"
"CID2161","AID1322"
"CID7541","AID1322"
"CID2161","AID3423"
"CID7541","AID3423"
"CID575","AID999"
"CID6011","AID999"
"CID6551","AID999"
"CID8421","AID999"
"CID4065","AID3211"
"CID5091","AID3211"
"CID4065","AID373"
"CID5091","AID373"
"CID4443","AID3520"
"CID1751","AID3219"
"CID3511","AID3219"
"CID5891","AID3219"
"CID8465","AID3219"
"CID8987","AID3219"
"CID1751","AID924"
"CID3511","AID924"
"CID5891","AID924"
"CID8465","AID924"
"CID8987","AID924"
"CID911","AID1284"
"CID5357","AID1284"
"CID1153","AID1942"
"CID8615","AID1942"
"CID1153","AID2505"
"CID8615","AID2505"
"CID1153","AID3274"
"CID8615","AID3274"
"CID1153","AID3636"
"CID8615","AID3636"
"CID3303","AID100"
"CID3303","AID1116"
"CID3303","AID2367"
"CID3303","AID2374"
"CID1171","AID1217"
"CID3511","AID1217"
"CID5285","AID1217"
"CID6737","AID1217"
"CID1171","AID2827"
"CID3511","AID2827"
"CID5285","AID2827"
"CID6737","AID2827"
"CID1171","AID3251"
"CID3511","AID3251"
"CID5285","AID3251"
"CID6737","AID3251"
"CID1171","AID400"
"CID3511","AID400"
"CID5285","AID400"
"CID6737","AID400"
"CID95","AID374"
"CID3703","AID374"
"CID7545","AID374"
"CID815","AID3591"
"CID5047","AID3591"
"CID7941","AID3591"
"CID1951","AID171"
"CID6535","AID171"
"CID1951","AID3366"
"CID6535","AID3366"
"CID7173","AID1633"
"CID7173","AID994"
"CID8553","AID1421"
"CID431","AID3892"
"CID1285","AID3892"
"CID4671","AID1658"
"CID4671","AID2336"
"CID4671","AID277"
"CID4671","AID947"
"CID1285","AID1638"
"CID5797","AID1638"
"CID1337","AID2355"
"CID2255","AID2355"
"CID3681","AID2355"
"CID7093","AID2355"
"CID1337","AID3061"
"CID2255","AID3061"
"CID3681","AID3061"
"CID7093","AID3061"
"CID1337","AID3955"
"CID2255","AID3955"
"CID3681","AID3955"
"CID7093","AID3955"
"CID2295","AID3297"
"CID2555","AID3297"
"CID8575","AID3297"
"CID3033","AID3454"
"CID7011","AID336"
"CID7011","AID895"
"CID5605","AID1259"
"CID6797","AID1259"
"CID5103","AID1782"
"CID8323","AID1782"
"CID5103","AID2969"
"CID8323","AID2969"
"CID7113","AID1528"
"CID7113","AID2723"
"CID8277","AID3791"
"CID8277","AID503"
"CID7663","AID1147"
"CID7663","AID3878"
"CID7665","AID3487"
"CID7665","AID976"
"CID2743","AID2293"
"CID7553","AID2293"
"CID2743","AID2547"
"CID7553","AID2547"
"CID2743","AID2970"
"CID7553","AID2970"
"CID2743","AID937"
"CID7553","AID937"
"CID5707","AID3541"
"CID5707","AID554"
"CID2783","AID2150"
"CID8123","AID2150"
"CID2783","AID2573"
"CID8123","AID2573"
"CID2783","AID767"
"CID8123","AID767"
"CID2783","AID96"
"CID8123","AID96"
"CID7561","AID1705"
"CID6533","AID1356"
"CID1331","AID1085"
"CID2141","AID1085"
"CID5093","AID1085"
"CID3567","AID742"
"CID8691","AID742"
"CID7067","AID3245"
"CID5001","AID1037"
"CID5001","AID1228"
"CID5001","AID2670"
"CID5001","AID3448"
"CID6585","AID3608"
"CID6983","AID1895"
"CID8137","AID1895"
"CID6273","AID1209"
"CID8237","AID3102"
"CID2021","AID1666"
"CID7151","AID1666"
"CID6527","AID2682"
"CID7575","AID2682"
"CID3067","AID2027"
"CID7537","AID2027"
"CID1437","AID1402"
"CID2035","AID1402"
"CID3705","AID1402"
"CID5647","AID1402"
"CID1437","AID1945"
"CID2035","AID1945"
"CID3705","AID1945"
"CID5647","AID1945"
"CID1437","AID2999"
"CID2035","AID2999"
"CID3705","AID2999"
"CID5647","AID2999"
"CID1437","AID3881"
"CID2035","AID3881"
"CID3705","AID3881"
"CID5647","AID3881"
"CID1673","AID1418"
"CID2877","AID1418"
"CID7013","AID1418"
"CID4073","AID461"
"CID5567","AID461"
"CID8307","AID3218"
"CID8307","AID738"
"CID43","AID2874"
"CID5953","AID2874"
"CID6903","AID2874"
"CID43","AID570"
"CID5953","AID570"
"CID6903","AID570"
"CID1365","AID1817"
"CID1163","AID1872"
"CID7907","AID1872"
"CID3275","AID120"
"CID3275","AID2498"
"CID1821","AID207"
"CID1821","AID3535"
"CID323","AID3890"
"CID323","AID886"
"CID2171","AID1461"
"CID6977","AID1461"
"CID2171","AID3369"
"CID6977","AID3369"
"CID477","AID1466"
"CID5083","AID1466"
"CID5403","AID1466"
"CID1093","AID1648"
"CID2027","AID1648"
"CID7681","AID1648"
"CID1093","AID2960"
"CID2027","AID2960"
"CID7681","AID2960"
"CID7767","AID3706"
"CID7767","AID806"
"CID21","AID3842"
"CID4713","AID3594"
"CID5643","AID3594"
"CID4713","AID775"
"CID5643","AID775"
"CID4713","AID797"
"CID5643","AID797"
"CID4713","AID988"
"CID5643","AID988"
"CID2311","AID141"
"CID2887","AID141"
"CID6207","AID141"
"CID2311","AID901"
"CID2887","AID901"
"CID6207","AID901"
"CID2627","AID2286"
"CID3261","AID2286"
"CID2627","AID244"
"CID3261","AID244"
"CID1491","AID1491"
"CID2711","AID1491"
"CID3453","AID1491"
"CID1491","AID2491"
"CID2711","AID2491"
"CID3453","AID2491"
"CID1491","AID3365"
"CID2711","AID3365"
"CID3453","AID3365"
"CID1491","AID3658"
"CID2711","AID3658"
"CID3453","AID3658"
"CID2295","AID2350"
"CID5791","AID2350"
"CID6307","AID2350"
"CID2295","AID24"
"CID5791","AID24"
"CID6307","AID24"
"CID2603","AID575"
"CID161","AID2061"
"CID3957","AID2061"
"CID6477","AID2061"
"CID161","AID387"
"CID3957","AID387"
"CID6477","AID387"
"CID161","AID789"
"CID3957","AID789"
"CID6477","AID789"
"CID5943","AID1437"
"CID5943","AID2320"
"CID5943","AID3212"
"CID5943","AID434"
"CID47","AID3455"
"CID307","AID3455"
"CID775","AID3455"
"CID8425","AID3455"
"CID47","AID849"
"CID307","AID849"
"CID775","AID849"
"CID8425","AID849"
"CID1205","AID2915"
"CID1885","AID2915"
"CID3851","AID2915"
"CID6397","AID2915"
"CID1205","AID3334"
"CID1885","AID3334"
"CID3851","AID3334"
"CID6397","AID3334"
"CID1205","AID3429"
"CID1885","AID3429"
"CID3851","AID3429"
"CID6397","AID3429"
"CID1205","AID966"
"CID1885","AID966"
