CLASSNAME,SUBCOMPONENTID
PCA7215,SCP213
PCA68,SCP215
PCA13,SCP217
PCA16,SCP218
PCA38,SCP219
PCA3062,SCP220
PCA186,SCP220
PCA1882,SCP220
PCA3627,SCP221
PCA511,SCP221
PCA4846,SCP221
PCA30,SCP226
PCA1,SCP229
PCA7025,SCP231
PCA591,SCP231
PCA2232,SCP231
PCA7516,SCP237
PCA4164,SCP237
PCA4900,SCP237
PCA5410,SCP240
PCA9765,SCP240
PCA6084,SCP240
PCA46,SCP245
PCA4592,SCP247
PCA9724,SCP247
PCA9435,SCP247
PCA31,SCP248
PCA9746,SCP252
PCA2699,SCP252
PCA3377,SCP252
PCA4,SCP253
PCA311,SCP256
PCA9917,SCP256
PCA929,SCP256
PCA19,SCP257
PCA16,SCP260
PCA53,SCP267
PCA710,SCP274
PCA4065,SCP274
PCA5859,SCP274
PCA4957,SCP278
PCA1712,SCP278
PCA4820,SCP278
PCA1293,SCP280
PCA8858,SCP280
PCA7604,SCP280
PCA11,SCP283
PCA52,SCP284
PCA69,SCP292
PCA9,SCP296
PCA7740,SCP299
PCA4367,SCP299
PCA2023,SCP299
PCA58,SCP300
PCA52,SCP302
PCA948,SCP306
PCA1303,SCP306
PCA918,SCP306
PCA3608,SCP307
PCA1661,SCP307
PCA6137,SCP307
PCA55,SCP308
PCA816,SCP309
PCA6616,SCP309
PCA6273,SCP309
PCA56,SCP310
PCA994,SCP312
PCA6969,SCP312
PCA6399,SCP312
PCA6787,SCP314
PCA6338,SCP314
PCA4567,SCP314
PCA3215,SCP316
PCA8372,SCP316
PCA701,SCP316
PCA42,SCP317
PCA3924,SCP319
PCA9817,SCP319
PCA2269,SCP319
PCA54,SCP320
PCA4461,SCP322
PCA4864,SCP322
PCA373,SCP322
PCA55,SCP328
PCA8249,SCP329
PCA5901,SCP329
PCA7370,SCP329
PCA67,SCP332
PCA15,SCP338
PCA9003,SCP341
PCA2117,SCP341
PCA4688,SCP341
PCA22,SCP342
PCA15,SCP343
PCA52,SCP345
PCA5246,SCP345
PCA1773,SCP345
PCA9283,SCP347
PCA6943,SCP347
PCA9970,SCP347
PCA10,SCP348
PCA2976,SCP350
PCA1768,SCP350
PCA3313,SCP350
PCA241,SCP355
PCA6768,SCP355
PCA8745,SCP355
PCA70,SCP357
PCA19,SCP358
PCA68,SCP361
PCA3500,SCP364
PCA1589,SCP364
PCA5102,SCP364
PCA42,SCP369
PCA4529,SCP371
PCA2008,SCP371
PCA5521,SCP371
PCA69,SCP372
PCA61,SCP373
PCA3688,SCP375
PCA9373,SCP375
PCA2948,SCP375
PCA3759,SCP376
PCA830,SCP376
PCA1077,SCP376
PCA43,SCP381
PCA4247,SCP385
PCA23,SCP385
PCA4109,SCP385
PCA3368,SCP386
PCA603,SCP386
PCA1308,SCP386
PCA12,SCP387
PCA10,SCP393
PCA7761,SCP395
PCA9499,SCP395
PCA3824,SCP395
PCA3227,SCP397
PCA1031,SCP397
PCA4666,SCP397
PCA7,SCP398
PCA33,SCP401
PCA27,SCP402
PCA2522,SCP403
PCA4178,SCP403
PCA1058,SCP403
PCA1589,SCP404
PCA5047,SCP404
PCA2900,SCP404
PCA35,SCP410
PCA3481,SCP412
PCA1054,SCP412
PCA318,SCP412
PCA3544,SCP416
PCA2184,SCP416
PCA9395,SCP416
PCA3585,SCP418
PCA4273,SCP418
PCA6121,SCP418
PCA5786,SCP419
PCA266,SCP419
PCA6283,SCP419
PCA6017,SCP420
PCA502,SCP420
PCA1626,SCP420
PCA59,SCP421
PCA9148,SCP422
PCA1651,SCP422
PCA5437,SCP422
PCA2397,SCP427
PCA3022,SCP427
PCA8639,SCP427
PCA19,SCP428
PCA1155,SCP431
PCA3621,SCP431
PCA6783,SCP431
PCA49,SCP433
PCA8536,SCP436
PCA9720,SCP436
PCA5331,SCP436
PCA8378,SCP438
PCA4832,SCP438
PCA5342,SCP438
PCA5,SCP439
PCA17,SCP442
PCA7607,SCP444
PCA329,SCP444
PCA3424,SCP444
PCA28,SCP445
PCA3167,SCP448
PCA1058,SCP448
PCA9904,SCP448
PCA5573,SCP453
PCA9089,SCP453
PCA3261,SCP453
PCA58,SCP456
PCA8290,SCP462
PCA7502,SCP462
PCA7321,SCP462
PCA55,SCP475
PCA1363,SCP476
PCA3055,SCP476
PCA4447,SCP476
PCA2166,SCP477
PCA959,SCP477
PCA7956,SCP477
PCA4502,SCP478
PCA9836,SCP478
PCA5225,SCP478
PCA1458,SCP480
PCA9305,SCP480
PCA4344,SCP480
PCA30,SCP481
PCA6196,SCP484
PCA9891,SCP484
PCA633,SCP484
PCA8667,SCP485
PCA7189,SCP485
PCA2874,SCP485
PCA41,SCP486
PCA19,SCP488
PCA724,SCP489
PCA1684,SCP489
PCA8134,SCP489
PCA38,SCP492
PCA1125,SCP495
PCA9482,SCP495
PCA9409,SCP495
PCA64,SCP496
PCA3,SCP498
PCA9250,SCP501
PCA4418,SCP501
PCA3963,SCP501
PCA5665,SCP514
PCA4040,SCP514
PCA6577,SCP514
PCA8617,SCP516
PCA9341,SCP516
PCA7976,SCP516
PCA18,SCP518
PCA24,SCP530
PCA41,SCP531
PCA53,SCP533
PCA13,SCP534
PCA8332,SCP538
PCA9627,SCP538
PCA8413,SCP538
PCA64,SCP539
PCA31,SCP543
PCA4,SCP546
PCA7647,SCP547
PCA8817,SCP547
PCA485,SCP547
PCA1629,SCP553
PCA5716,SCP553
PCA4563,SCP553
PCA28,SCP557
PCA6522,SCP558
PCA942,SCP558
PCA3788,SCP558
PCA5932,SCP561
PCA6160,SCP561
PCA9792,SCP561
PCA6526,SCP567
PCA601,SCP567
PCA910,SCP567
PCA54,SCP569
PCA4,SCP570
PCA8210,SCP571
PCA7737,SCP571
PCA5748,SCP571
PCA56,SCP572
PCA9828,SCP578
PCA8999,SCP578
PCA9551,SCP578
PCA24,SCP581
PCA3063,SCP583
PCA8884,SCP583
PCA2385,SCP583
PCA390,SCP586
PCA7840,SCP586
PCA2814,SCP586
PCA8,SCP587
PCA4370,SCP592
PCA7992,SCP592
PCA3443,SCP592
PCA702,SCP593
PCA4036,SCP593
PCA5909,SCP593
PCA22,SCP594
PCA48,SCP595
PCA1927,SCP596
PCA6235,SCP596
PCA6276,SCP596
PCA6671,SCP597
PCA4363,SCP597
PCA443,SCP597
PCA3904,SCP599
PCA7271,SCP599
PCA9194,SCP599
PCA7,SCP600
PCA8242,SCP605
PCA5674,SCP605
PCA9873,SCP605
PCA8784,SCP608
PCA4799,SCP608
PCA3740,SCP608
PCA817,SCP609
PCA3446,SCP609
PCA1208,SCP609
PCA1213,SCP612
PCA9965,SCP612
PCA1103,SCP612
PCA4900,SCP616
PCA3957,SCP616
PCA5508,SCP616
PCA51,SCP620
PCA120,SCP622
PCA1616,SCP622
PCA6423,SCP622
PCA3985,SCP625
PCA6934,SCP625
PCA9854,SCP625
PCA49,SCP627
PCA58,SCP628
PCA9209,SCP629
PCA9105,SCP629
PCA9039,SCP629
PCA9,SCP633
PCA15,SCP635
PCA7097,SCP640
PCA9636,SCP640
PCA2649,SCP640
PCA3062,SCP641
PCA9357,SCP641
PCA8873,SCP641
PCA61,SCP642
PCA10,SCP643
PCA3895,SCP651
PCA4335,SCP651
PCA286,SCP651
PCA3203,SCP654
PCA2884,SCP654
PCA6420,SCP654
PCA26,SCP655
PCA3543,SCP656
PCA6305,SCP656
PCA1075,SCP656
PCA2914,SCP659
PCA694,SCP659
PCA928,SCP659
PCA44,SCP662
PCA5433,SCP663
PCA4928,SCP663
PCA7540,SCP663
PCA4872,SCP667
PCA4145,SCP667
PCA2662,SCP667
PCA70,SCP673
PCA2606,SCP677
PCA8000,SCP677
PCA8873,SCP677
PCA9,SCP678
PCA52,SCP680
PCA70,SCP681
PCA6910,SCP682
PCA9179,SCP682
PCA9005,SCP682
PCA4490,SCP683
PCA5843,SCP683
PCA7429,SCP683
PCA36,SCP686
PCA6,SCP687
PCA5,SCP689
PCA3214,SCP691
PCA5157,SCP691
PCA9226,SCP691
PCA19,SCP692
PCA4424,SCP694
PCA8371,SCP694
PCA5115,SCP694
PCA36,SCP695
PCA8412,SCP698
PCA8068,SCP698
PCA7188,SCP698
PCA1226,SCP699
PCA1821,SCP699
PCA5367,SCP699
PCA7018,SCP700
PCA5529,SCP700
PCA1897,SCP700
PCA8,SCP701
PCA35,SCP705
PCA663,SCP708
PCA5950,SCP708
PCA9901,SCP708
PCA6454,SCP709
PCA5794,SCP709
PCA740,SCP709
PCA62,SCP710
PCA7,SCP712
PCA35,SCP717
PCA959,SCP719
PCA245,SCP719
PCA9674,SCP719
PCA7530,SCP720
PCA4593,SCP720
PCA5993,SCP720
PCA12,SCP721
PCA4058,SCP723
PCA5510,SCP723
PCA4055,SCP723
PCA54,SCP733
PCA6892,SCP733
PCA8481,SCP733
PCA285,SCP734
PCA2803,SCP734
PCA7983,SCP734
PCA30,SCP735
PCA36,SCP739
PCA6158,SCP741
PCA3925,SCP741
PCA5387,SCP741
PCA9750,SCP743
PCA3238,SCP743
PCA1876,SCP743
PCA4037,SCP744
PCA8912,SCP744
PCA9725,SCP744
PCA921,SCP753
PCA9098,SCP753
PCA759,SCP753
PCA66,SCP754
PCA31,SCP755
PCA62,SCP756
PCA5478,SCP757
PCA8844,SCP757
PCA2034,SCP757
PCA5322,SCP758
PCA5641,SCP758
PCA4637,SCP758
PCA68,SCP759
PCA4635,SCP762
PCA5593,SCP762
PCA5431,SCP762
PCA4611,SCP763
PCA6489,SCP763
PCA8520,SCP763
PCA485,SCP767
PCA2245,SCP767
PCA2059,SCP767
PCA7,SCP768
PCA3490,SCP771
PCA9025,SCP771
PCA5818,SCP771
PCA2,SCP773
PCA47,SCP782
PCA45,SCP785
PCA8,SCP786
PCA8405,SCP787
PCA2846,SCP787
PCA8566,SCP787
PCA31,SCP790
PCA64,SCP791
PCA4698,SCP793
PCA9357,SCP793
PCA3077,SCP793
PCA55,SCP803
PCA3,SCP805
PCA38,SCP807
PCA19,SCP808
PCA8378,SCP819
PCA6802,SCP819
PCA2326,SCP819
PCA7543,SCP820
PCA3696,SCP820
PCA7549,SCP820
PCA650,SCP824
PCA3523,SCP824
PCA2468,SCP824
PCA31,SCP825
PCA64,SCP830
PCA5753,SCP831
PCA9043,SCP831
PCA8257,SCP831
PCA9029,SCP833
PCA9646,SCP833
PCA8676,SCP833
PCA47,SCP834
PCA1537,SCP835
PCA1208,SCP835
PCA9509,SCP835
PCA43,SCP836
PCA70,SCP837
PCA2636,SCP839
PCA7472,SCP839
PCA4927,SCP839
PCA57,SCP844
PCA6417,SCP845
PCA6677,SCP845
PCA3014,SCP845
PCA1022,SCP846
PCA2825,SCP846
PCA5124,SCP846
PCA1892,SCP848
PCA7477,SCP848
PCA8229,SCP848
PCA58,SCP849
PCA3339,SCP850
PCA9223,SCP850
PCA3448,SCP850
PCA9034,SCP851
PCA6054,SCP851
PCA9051,SCP851
PCA3972,SCP854
PCA9401,SCP854
PCA1355,SCP854
PCA32,SCP857
PCA49,SCP858
PCA4905,SCP861
PCA2614,SCP861
PCA5625,SCP861
PCA3242,SCP864
PCA5310,SCP864
PCA2141,SCP864
PCA19,SCP870
PCA50,SCP871
PCA9109,SCP872
PCA9160,SCP872
PCA648,SCP872
PCA52,SCP873
PCA9865,SCP874
PCA3396,SCP874
PCA9139,SCP874
PCA33,SCP875
PCA50,SCP876
PCA2753,SCP879
PCA1510,SCP879
PCA8784,SCP879
PCA511,SCP884
PCA2186,SCP884
PCA1719,SCP884
PCA8571,SCP886
PCA7295,SCP886
PCA5829,SCP886
PCA9785,SCP889
PCA4920,SCP889
PCA3433,SCP889
PCA6766,SCP890
PCA4218,SCP890
PCA7699,SCP890
PCA7808,SCP891
PCA4342,SCP891
PCA9058,SCP891
PCA5775,SCP892
PCA4079,SCP892
PCA8686,SCP892
PCA1810,SCP896
PCA8490,SCP896
PCA3902,SCP896
PCA797,SCP898
PCA2940,SCP898
PCA8046,SCP898
PCA689,SCP903
PCA324,SCP903
PCA7639,SCP903
PCA722,SCP906
PCA7558,SCP906
PCA5249,SCP906
PCA5245,SCP907
PCA4316,SCP907
PCA6539,SCP907
PCA2,SCP908
PCA5377,SCP909
PCA1458,SCP909
PCA4177,SCP909
PCA64,SCP911
PCA59,SCP912
PCA29,SCP914
PCA8,SCP920
PCA31,SCP924
PCA22,SCP925
PCA8226,SCP926
PCA6426,SCP926
PCA777,SCP926
PCA14,SCP928
PCA254,SCP929
PCA4973,SCP929
PCA4731,SCP929
PCA17,SCP931
PCA5075,SCP934
PCA8033,SCP934
PCA7181,SCP934
PCA5170,SCP936
PCA7534,SCP936
PCA4291,SCP936
PCA32,SCP937
PCA5,SCP938
PCA4951,SCP944
PCA8778,SCP944
PCA3492,SCP944
PCA567,SCP945
PCA245,SCP945
PCA9901,SCP945
PCA7918,SCP946
PCA2680,SCP946
PCA4522,SCP946
PCA23,SCP949
PCA28,SCP951
PCA9669,SCP957
PCA622,SCP957
PCA4090,SCP957
PCA3117,SCP959
PCA5357,SCP959
PCA4327,SCP959
PCA26,SCP961
PCA6900,SCP964
PCA6125,SCP964
PCA722,SCP964
PCA34,SCP965
PCA8649,SCP966
PCA3136,SCP966
PCA9014,SCP966
PCA48,SCP968
PCA3225,SCP970
PCA1226,SCP970
PCA8120,SCP970
PCA4901,SCP971
PCA7065,SCP971
PCA2657,SCP971
PCA67,SCP972
PCA21,SCP973
PCA2427,SCP974
PCA1429,SCP974
PCA1228,SCP974
PCA64,SCP975
PCA2852,SCP977
PCA3825,SCP977
PCA9585,SCP977
PCA55,SCP979
PCA9,SCP983
PCA53,SCP984
PCA31,SCP987
PCA5965,SCP990
PCA7472,SCP990
PCA9664,SCP990
PCA10,SCP992
PCA44,SCP993
PCA28,SCP994
PCA5301,SCP995
PCA5851,SCP995
PCA8930,SCP995
PCA43,SCP1002
PCA1726,SCP1006
PCA3877,SCP1006
PCA8197,SCP1006
PCA3988,SCP1008
PCA5100,SCP1008
PCA199,SCP1008
PCA5907,SCP1009
PCA387,SCP1009
PCA1039,SCP1009
PCA8524,SCP1011
PCA9377,SCP1011
PCA5386,SCP1011
PCA27,SCP1012
PCA63,SCP1014
PCA21,SCP1016
PCA4076,SCP1019
PCA7499,SCP1019
PCA9867,SCP1019
PCA7498,SCP1021
PCA8898,SCP1021
PCA2389,SCP1021
PCA6800,SCP1022
PCA8243,SCP1022
PCA396,SCP1022
PCA5107,SCP1025
PCA2691,SCP1025
PCA4381,SCP1025
PCA70,SCP1026
PCA1155,SCP1027
PCA9574,SCP1027
PCA3206,SCP1027
PCA543,SCP1029
PCA6441,SCP1029
PCA9954,SCP1029
PCA3,SCP1032
PCA31,SCP1033
PCA23,SCP1035
PCA3044,SCP1037
PCA5489,SCP1037
PCA2429,SCP1037
PCA8,SCP1038
PCA46,SCP1041
PCA5042,SCP1043
PCA5523,SCP1043
PCA5418,SCP1043
PCA1951,SCP1047
PCA2583,SCP1047
PCA7076,SCP1047
PCA7367,SCP1052
PCA4059,SCP1052
PCA5166,SCP1052
PCA9256,SCP1054
PCA3750,SCP1054
PCA6261,SCP1054
PCA4347,SCP1055
PCA258,SCP1055
PCA8458,SCP1055
PCA66,SCP1057
PCA13,SCP1059
PCA1715,SCP1061
PCA7515,SCP1061
PCA5744,SCP1061
PCA42,SCP1065
PCA36,SCP1070
PCA4060,SCP1073
PCA1245,SCP1073
PCA3114,SCP1073
PCA2875,SCP1074
PCA5267,SCP1074
PCA9733,SCP1074
PCA9473,SCP1077
PCA6136,SCP1077
PCA8716,SCP1077
PCA33,SCP1079
PCA5099,SCP1083
PCA9851,SCP1083
PCA528,SCP1083
PCA34,SCP1084
PCA56,SCP1087
PCA4075,SCP1089
PCA7314,SCP1089
PCA6632,SCP1089
PCA6,SCP1090
PCA4,SCP1095
PCA26,SCP1100
PCA8853,SCP1103
PCA3580,SCP1103
PCA8575,SCP1103
PCA6284,SCP1104
PCA6676,SCP1104
PCA472,SCP1104
PCA62,SCP1106
PCA7655,SCP1109
PCA9444,SCP1109
PCA241,SCP1109
PCA6334,SCP1113
PCA5396,SCP1113
PCA2765,SCP1113
PCA5011,SCP1118
PCA2798,SCP1118
PCA9224,SCP1118
PCA66,SCP1120
PCA6631,SCP1122
PCA3753,SCP1122
PCA3838,SCP1122
PCA18,SCP1123
PCA9241,SCP1130
PCA4152,SCP1130
PCA1489,SCP1130
PCA37,SCP1131
PCA62,SCP1133
PCA2545,SCP1134
PCA9933,SCP1134
PCA1402,SCP1134
PCA46,SCP1135
PCA2381,SCP1137
PCA4613,SCP1137
PCA7721,SCP1137
PCA10,SCP1139
PCA8038,SCP1140
PCA4320,SCP1140
PCA7273,SCP1140
PCA1456,SCP1143
PCA290,SCP1143
PCA6590,SCP1143
PCA1534,SCP1147
PCA2393,SCP1147
PCA6295,SCP1147
PCA417,SCP1151
PCA9873,SCP1151
PCA6057,SCP1151
PCA35,SCP1153
PCA7398,SCP1156
PCA1191,SCP1156
PCA5361,SCP1156
PCA4,SCP1157
PCA7043,SCP1158
PCA7537,SCP1158
PCA7569,SCP1158
PCA48,SCP1161
PCA29,SCP1162
PCA8015,SCP1163
PCA6848,SCP1163
PCA4365,SCP1163
PCA2393,SCP1167
PCA895,SCP1167
PCA3330,SCP1167
PCA9709,SCP1170
PCA2141,SCP1170
PCA1960,SCP1170
PCA41,SCP1175
PCA17,SCP1180
PCA2764,SCP1186
PCA6149,SCP1186
PCA9096,SCP1186
PCA8,SCP1188
PCA1,SCP1189
PCA5700,SCP1192
PCA7726,SCP1192
PCA6368,SCP1192
PCA51,SCP1195
PCA8692,SCP1198
PCA4068,SCP1198
PCA6062,SCP1198
PCA50,SCP1199
PCA9242,SCP1200
PCA4059,SCP1200
PCA8219,SCP1200
PCA9742,SCP1201
PCA3147,SCP1201
PCA5722,SCP1201
PCA70,SCP1204
PCA1269,SCP1205
PCA6799,SCP1205
PCA7439,SCP1205
PCA45,SCP1210
PCA963,SCP1212
PCA1972,SCP1212
PCA5281,SCP1212
PCA2332,SCP1214
PCA9897,SCP1214
PCA4754,SCP1214
PCA59,SCP1216
PCA20,SCP1217
PCA26,SCP1218
PCA15,SCP1220
PCA13,SCP1223
PCA54,SCP1226
PCA34,SCP1229
PCA5278,SCP1232
PCA3555,SCP1232
PCA6580,SCP1232
PCA1375,SCP1237
PCA8313,SCP1237
PCA673,SCP1237
PCA48,SCP1240
PCA2,SCP1245
PCA8072,SCP1250
PCA6198,SCP1250
PCA1101,SCP1250
PCA47,SCP1255
PCA6,SCP1257
PCA9408,SCP1264
PCA897,SCP1264
PCA3396,SCP1264
PCA6,SCP1265
PCA22,SCP1266
PCA6046,SCP1268
PCA4068,SCP1268
PCA3947,SCP1268
PCA1,SCP1270
PCA56,SCP1273
PCA54,SCP1274
PCA6082,SCP1276
PCA357,SCP1276
PCA3983,SCP1276
PCA7427,SCP1280
PCA3004,SCP1280
PCA4024,SCP1280
PCA67,SCP1281
PCA65,SCP1282
PCA456,SCP1285
PCA636,SCP1285
PCA5309,SCP1285
PCA15,SCP1286
PCA45,SCP1288
PCA26,SCP1291
PCA3806,SCP1297
PCA4451,SCP1297
PCA9368,SCP1297
PCA4274,SCP1301
PCA3312,SCP1301
PCA1250,SCP1301
PCA3248,SCP1305
PCA9801,SCP1305
PCA4158,SCP1305
PCA9863,SCP1311
PCA835,SCP1311
PCA2360,SCP1311
PCA9069,SCP1312
PCA8279,SCP1312
PCA3403,SCP1312
PCA536,SCP1317
PCA6307,SCP1317
PCA2643,SCP1317
PCA50,SCP1318
PCA42,SCP1320
PCA67,SCP1324
PCA1546,SCP1330
PCA8681,SCP1330
PCA9658,SCP1330
PCA2595,SCP1332
PCA9500,SCP1332
PCA3045,SCP1332
PCA9419,SCP1337
PCA3423,SCP1337
PCA1895,SCP1337
PCA23,SCP1339
PCA30,SCP1341
PCA9064,SCP1342
PCA6409,SCP1342
PCA691,SCP1342
PCA5202,SCP1346
PCA8201,SCP1346
PCA8592,SCP1346
PCA31,SCP1348
PCA24,SCP1349
PCA1804,SCP1350
PCA964,SCP1350
PCA8884,SCP1350
PCA40,SCP1353
PCA18,SCP1354
PCA4795,SCP1362
PCA4021,SCP1362
PCA5614,SCP1362
PCA4256,SCP1363
PCA7042,SCP1363
PCA9836,SCP1363
PCA23,SCP1364
PCA2,SCP1367
PCA5453,SCP1369
PCA6075,SCP1369
PCA8189,SCP1369
PCA5470,SCP1377
PCA4021,SCP1377
PCA4812,SCP1377
PCA979,SCP1381
PCA3820,SCP1381
PCA3066,SCP1381
PCA56,SCP1382
PCA5666,SCP1386
PCA6584,SCP1386
PCA3717,SCP1386
PCA14,SCP1387
PCA24,SCP1388
PCA70,SCP1391
PCA19,SCP1392
PCA45,SCP1394
PCA67,SCP1396
PCA1161,SCP1399
PCA3189,SCP1399
PCA2122,SCP1399
PCA58,SCP1402
PCA9,SCP1404
PCA29,SCP1405
PCA34,SCP1408
PCA2,SCP1411
PCA56,SCP1416
PCA7873,SCP1429
PCA558,SCP1429
PCA3907,SCP1429
PCA37,SCP1432
PCA7713,SCP1434
PCA5003,SCP1434
PCA6745,SCP1434
PCA63,SCP1438
PCA3476,SCP1442
PCA27,SCP1442
PCA2734,SCP1442
PCA1608,SCP1443
PCA698,SCP1443
PCA3960,SCP1443
PCA1407,SCP1446
PCA8326,SCP1446
PCA5305,SCP1446
PCA49,SCP1448
PCA7570,SCP1449
PCA4508,SCP1449
PCA3984,SCP1449
PCA8961,SCP1450
PCA1129,SCP1450
PCA2088,SCP1450
PCA5386,SCP1451
PCA720,SCP1451
PCA196,SCP1451
PCA6395,SCP1452
PCA7697,SCP1452
PCA3791,SCP1452
PCA69,SCP1455
PCA11,SCP1458
PCA7246,SCP1461
PCA4166,SCP1461
PCA3328,SCP1461
PCA319,SCP1464
PCA8272,SCP1464
PCA5689,SCP1464
PCA7865,SCP1468
PCA5001,SCP1468
PCA532,SCP1468
PCA6,SCP1470
PCA1334,SCP1478
PCA9810,SCP1478
PCA4285,SCP1478
PCA30,SCP1480
PCA3149,SCP1481
PCA4913,SCP1481
PCA836,SCP1481
PCA43,SCP1482
PCA10,SCP1484
PCA52,SCP1488
PCA2419,SCP1491
PCA9807,SCP1491
PCA698,SCP1491
PCA24,SCP1494
PCA27,SCP1496
PCA8244,SCP1499
PCA30,SCP1499
PCA534,SCP1499
PCA1187,SCP1502
PCA5122,SCP1502
PCA3180,SCP1502
PCA890,SCP1504
PCA8326,SCP1504
PCA4245,SCP1504
PCA4738,SCP1505
PCA493,SCP1505
PCA24,SCP1505
PCA6,SCP1506
PCA16,SCP1507
PCA8452,SCP1508
PCA6052,SCP1508
PCA6717,SCP1508
PCA27,SCP1510
PCA63,SCP1514
PCA5,SCP1518
PCA6477,SCP1520
PCA9646,SCP1520
PCA9412,SCP1520
PCA5290,SCP1525
PCA2472,SCP1525
PCA4495,SCP1525
PCA15,SCP1529
PCA3615,SCP1535
PCA1635,SCP1535
PCA3369,SCP1535
PCA7235,SCP1536
PCA4646,SCP1536
PCA78,SCP1536
PCA29,SCP1537
PCA7459,SCP1541
PCA4092,SCP1541
PCA6230,SCP1541
PCA1,SCP1543
PCA3972,SCP1545
PCA7780,SCP1545
PCA8534,SCP1545
PCA41,SCP1547
PCA5084,SCP1549
PCA2433,SCP1549
PCA483,SCP1549
PCA5,SCP1550
PCA38,SCP1552
PCA47,SCP1553
PCA9134,SCP1560
PCA3894,SCP1560
PCA1942,SCP1560
PCA4775,SCP1563
PCA4904,SCP1563
PCA9858,SCP1563
PCA41,SCP1564
PCA56,SCP1566
PCA2081,SCP1568
PCA5650,SCP1568
PCA4334,SCP1568
PCA883,SCP1573
PCA4299,SCP1573
PCA4609,SCP1573
PCA9,SCP1575
PCA9322,SCP1576
PCA4869,SCP1576
PCA7057,SCP1576
PCA20,SCP1577
PCA1134,SCP1578
PCA2836,SCP1578
