"SUBCOMPONENTID","COMPONENTID"
"SCP539","CP601"
"SCP541","CP66"
"SCP542","CP5231"
"SCP542","CP9125"
"SCP542","CP6239"
"SCP543","CP50"
"SCP544","CP6575"
"SCP544","CP3318"
"SCP544","CP9800"
"SCP545","CP4070"
"SCP545","CP4863"
"SCP545","CP1891"
"SCP548","CP8804"
"SCP548","CP6446"
"SCP548","CP2681"
"SCP552","CP4271"
"SCP552","CP8543"
"SCP552","CP1680"
"SCP553","CP70"
"SCP554","CP26"
"SCP557","CP27"
"SCP559","CP13"
"SCP561","CP20"
"SCP562","CP6233"
"SCP562","CP7317"
"SCP562","CP557"
"SCP563","CP26"
"SCP572","CP22"
"SCP573","CP4675"
"SCP573","CP6269"
"SCP573","CP6627"
"SCP574","CP1809"
"SCP574","CP9819"
"SCP574","CP2613"
"SCP579","CP57"
"SCP580","CP5014"
"SCP580","CP606"
"SCP580","CP3317"
"SCP582","CP47"
"SCP584","CP64"
"SCP587","CP30"
"SCP590","CP1669"
"SCP590","CP9989"
"SCP590","CP5667"
"SCP591","CP2511"
"SCP591","CP7545"
"SCP591","CP383"
"SCP592","CP33"
"SCP596","CP4"
"SCP598","CP43"
"SCP604","CP31"
"SCP606","CP7995"
"SCP606","CP7025"
"SCP606","CP8428"
"SCP609","CP61"
"SCP610","CP8"
"SCP611","CP55"
"SCP612","CP352"
"SCP612","CP1632"
"SCP612","CP9910"
"SCP619","CP3706"
"SCP619","CP834"
"SCP619","CP2196"
"SCP620","CP30"
"SCP622","CP9737"
"SCP622","CP5926"
"SCP622","CP15"
"SCP623","CP8061"
"SCP623","CP4608"
"SCP623","CP8545"
"SCP624","CP28"
"SCP625","CP2524"
"SCP625","CP6705"
"SCP625","CP8503"
"SCP628","CP7"
"SCP630","CP44"
"SCP631","CP29"
"SCP632","CP6813"
"SCP632","CP2362"
"SCP632","CP9160"
"SCP634","CP8518"
"SCP634","CP7286"
"SCP634","CP6903"
"SCP636","CP9561"
"SCP636","CP3619"
"SCP636","CP9101"
"SCP643","CP3011"
"SCP643","CP1760"
"SCP643","CP5518"
"SCP650","CP9317"
"SCP650","CP5335"
"SCP650","CP2331"
"SCP652","CP2127"
"SCP652","CP4489"
"SCP652","CP9642"
"SCP653","CP64"
"SCP654","CP58"
"SCP656","CP1"
"SCP657","CP16"
"SCP659","CP8381"
"SCP659","CP6450"
"SCP659","CP3005"
"SCP660","CP5967"
"SCP660","CP4503"
"SCP660","CP8155"
"SCP661","CP7976"
"SCP661","CP8520"
"SCP661","CP7837"
"SCP665","CP25"
"SCP666","CP7212"
"SCP666","CP1841"
"SCP666","CP7506"
"SCP667","CP4368"
"SCP667","CP4261"
"SCP667","CP2913"
"SCP668","CP56"
"SCP672","CP8"
"SCP677","CP8"
"SCP678","CP9019"
"SCP678","CP8567"
"SCP678","CP6887"
"SCP679","CP5937"
"SCP679","CP2554"
"SCP679","CP6332"
"SCP683","CP5798"
"SCP683","CP9168"
"SCP683","CP4083"
"SCP685","CP5052"
"SCP685","CP1189"
"SCP685","CP7045"
"SCP687","CP4"
"SCP692","CP51"
"SCP694","CP4366"
"SCP694","CP403"
"SCP694","CP5953"
"SCP697","CP23"
"SCP698","CP2006"
"SCP698","CP4979"
"SCP698","CP7053"
"SCP699","CP31"
"SCP702","CP23"
"SCP703","CP6935"
"SCP703","CP4952"
"SCP703","CP6717"
"SCP709","CP36"
"SCP711","CP9059"
"SCP711","CP7929"
"SCP711","CP1909"
"SCP716","CP1310"
"SCP716","CP1379"
"SCP716","CP7855"
"SCP717","CP15"
"SCP721","CP3"
"SCP722","CP53"
"SCP724","CP2352"
"SCP724","CP1897"
"SCP724","CP4750"
"SCP729","CP41"
"SCP731","CP24"
"SCP732","CP1023"
"SCP732","CP7350"
"SCP732","CP700"
"SCP735","CP44"
"SCP736","CP48"
"SCP738","CP33"
"SCP739","CP9149"
"SCP739","CP3343"
"SCP739","CP238"
"SCP741","CP8270"
"SCP741","CP9622"
"SCP741","CP9000"
"SCP742","CP6753"
"SCP742","CP2945"
"SCP742","CP641"
"SCP745","CP25"
"SCP746","CP5290"
"SCP746","CP1879"
"SCP746","CP6969"
"SCP748","CP2730"
"SCP748","CP322"
"SCP748","CP6030"
"SCP752","CP21"
"SCP753","CP9481"
"SCP753","CP8268"
"SCP753","CP2715"
"SCP756","CP14"
"SCP757","CP31"
"SCP758","CP1979"
"SCP758","CP2016"
"SCP758","CP5439"
"SCP759","CP37"
"SCP761","CP58"
"SCP763","CP7670"
"SCP763","CP2748"
"SCP763","CP1368"
"SCP764","CP17"
"SCP767","CP5519"
"SCP767","CP3891"
"SCP767","CP1778"
"SCP772","CP57"
"SCP782","CP188"
"SCP782","CP7167"
"SCP782","CP7904"
"SCP789","CP3879"
"SCP789","CP3549"
"SCP789","CP4592"
"SCP790","CP55"
"SCP791","CP1650"
"SCP791","CP8471"
"SCP791","CP6742"
"SCP793","CP45"
"SCP794","CP8257"
"SCP794","CP2444"
"SCP794","CP3764"
"SCP795","CP4462"
"SCP795","CP580"
"SCP795","CP2883"
"SCP800","CP5959"
"SCP800","CP3735"
"SCP800","CP7856"
"SCP805","CP39"
"SCP807","CP62"
"SCP811","CP14"
"SCP812","CP4038"
"SCP812","CP4304"
"SCP812","CP8977"
"SCP815","CP1270"
"SCP815","CP5659"
"SCP815","CP3373"
"SCP816","CP7517"
"SCP816","CP4979"
"SCP816","CP2372"
"SCP819","CP7082"
"SCP819","CP9608"
"SCP819","CP6001"
"SCP822","CP31"
"SCP825","CP756"
"SCP825","CP3463"
"SCP825","CP5567"
"SCP826","CP4554"
"SCP826","CP3232"
"SCP826","CP2328"
"SCP832","CP6"
"SCP832","CP7348"
"SCP832","CP9223"
"SCP833","CP41"
"SCP834","CP26"
"SCP839","CP17"
"SCP841","CP3"
"SCP844","CP67"
"SCP845","CP49"
"SCP846","CP43"
"SCP847","CP590"
"SCP847","CP1777"
"SCP847","CP6723"
"SCP848","CP18"
"SCP850","CP5115"
"SCP850","CP7720"
"SCP850","CP8001"
"SCP851","CP7021"
"SCP851","CP8322"
"SCP851","CP5155"
"SCP853","CP9205"
"SCP853","CP7276"
"SCP853","CP3097"
"SCP861","CP3524"
"SCP861","CP3910"
"SCP861","CP3660"
"SCP862","CP58"
"SCP865","CP182"
"SCP865","CP244"
"SCP865","CP8333"
"SCP866","CP2112"
"SCP866","CP9849"
"SCP866","CP2387"
"SCP867","CP2366"
"SCP867","CP9351"
"SCP867","CP9437"
"SCP869","CP4689"
"SCP869","CP5988"
"SCP869","CP6796"
"SCP870","CP4"
"SCP872","CP3"
"SCP874","CP9142"
"SCP874","CP4653"
"SCP874","CP6891"
"SCP876","CP7182"
"SCP876","CP1680"
"SCP876","CP3728"
"SCP877","CP36"
"SCP878","CP4905"
"SCP878","CP589"
"SCP878","CP5742"
"SCP883","CP63"
"SCP887","CP6285"
"SCP887","CP29"
"SCP887","CP6777"
"SCP888","CP7511"
"SCP888","CP1652"
"SCP888","CP6684"
"SCP889","CP7145"
"SCP889","CP6239"
"SCP889","CP4613"
"SCP890","CP3061"
"SCP890","CP5518"
"SCP890","CP6628"
"SCP895","CP44"
"SCP897","CP10"
"SCP901","CP45"
"SCP906","CP3762"
"SCP906","CP4724"
"SCP906","CP3275"
"SCP907","CP55"
"SCP908","CP26"
"SCP909","CP35"
"SCP910","CP9275"
"SCP910","CP949"
"SCP910","CP4760"
"SCP911","CP8978"
"SCP911","CP4564"
"SCP911","CP1134"
"SCP913","CP37"
"SCP916","CP67"
"SCP920","CP60"
"SCP921","CP4498"
"SCP921","CP3935"
"SCP921","CP1006"
"SCP923","CP1113"
"SCP923","CP1083"
"SCP923","CP1523"
"SCP924","CP276"
"SCP924","CP1884"
"SCP924","CP2549"
"SCP926","CP46"
"SCP927","CP17"
"SCP928","CP49"
"SCP929","CP860"
"SCP929","CP4125"
"SCP929","CP2335"
"SCP930","CP7664"
"SCP930","CP6424"
"SCP930","CP6966"
"SCP933","CP4294"
"SCP933","CP1354"
"SCP933","CP6013"
"SCP934","CP7757"
"SCP934","CP4691"
"SCP934","CP2777"
"SCP936","CP47"
"SCP940","CP7110"
"SCP940","CP1362"
"SCP940","CP7909"
"SCP949","CP8707"
"SCP949","CP6875"
"SCP949","CP4190"
"SCP954","CP15"
"SCP955","CP51"
"SCP959","CP59"
"SCP960","CP8476"
"SCP960","CP230"
"SCP960","CP400"
"SCP966","CP31"
"SCP969","CP2844"
"SCP969","CP5729"
"SCP969","CP146"
"SCP971","CP6220"
"SCP971","CP6778"
"SCP971","CP9004"
"SCP972","CP28"
"SCP973","CP49"
"SCP981","CP51"
"SCP982","CP3988"
"SCP982","CP7238"
"SCP982","CP94"
"SCP984","CP63"
"SCP986","CP68"
"SCP987","CP3258"
"SCP987","CP3316"
"SCP987","CP5312"
"SCP989","CP7678"
"SCP989","CP3511"
"SCP989","CP9994"
"SCP990","CP5195"
"SCP990","CP6934"
"SCP990","CP816"
"SCP993","CP58"
"SCP996","CP36"
"SCP997","CP9062"
"SCP997","CP7400"
"SCP997","CP1707"
"SCP998","CP4"
"SCP999","CP3908"
"SCP999","CP9609"
"SCP999","CP5590"
"SCP1001","CP2562"
"SCP1001","CP9648"
"SCP1001","CP1096"
"SCP1002","CP13"
"SCP1007","CP57"
"SCP1009","CP4911"
"SCP1009","CP4900"
"SCP1009","CP9470"
"SCP1011","CP32"
"SCP1014","CP2923"
"SCP1014","CP9667"
"SCP1014","CP3935"
"SCP1016","CP65"
"SCP1017","CP14"
"SCP1018","CP7278"
"SCP1018","CP8224"
"SCP1018","CP2224"
"SCP1020","CP3252"
"SCP1020","CP7763"
"SCP1020","CP1984"
"SCP1024","CP42"
"SCP1025","CP67"
"SCP1027","CP55"
"SCP1028","CP6245"
"SCP1028","CP5170"
"SCP1028","CP3921"
"SCP1030","CP5"
"SCP1034","CP4878"
"SCP1034","CP1059"
"SCP1034","CP9916"
"SCP1037","CP1811"
"SCP1037","CP9656"
"SCP1037","CP5971"
"SCP1051","CP17"
"SCP1052","CP2061"
"SCP1052","CP9693"
"SCP1052","CP104"
"SCP1054","CP9544"
"SCP1054","CP5240"
"SCP1054","CP1068"
"SCP1055","CP70"
"SCP1057","CP2223"
"SCP1057","CP4393"
"SCP1057","CP4693"
"SCP1059","CP57"
"SCP1060","CP7299"
"SCP1060","CP8231"
"SCP1060","CP1682"
"SCP1062","CP59"
"SCP1072","CP8071"
"SCP1072","CP784"
"SCP1072","CP111"
"SCP1073","CP54"
"SCP1075","CP48"
"SCP1077","CP3432"
"SCP1077","CP5488"
"SCP1077","CP6964"
"SCP1078","CP6815"
"SCP1078","CP6804"
"SCP1078","CP3169"
"SCP1079","CP5011"
"SCP1079","CP3734"
"SCP1079","CP9700"
"SCP1080","CP6835"
"SCP1080","CP9019"
"SCP1080","CP6339"
"SCP1083","CP20"
"SCP1084","CP60"
"SCP1086","CP2458"
"SCP1086","CP9333"
"SCP1086","CP5630"
"SCP1091","CP3489"
"SCP1091","CP7696"
"SCP1091","CP3845"
"SCP1092","CP5630"
"SCP1092","CP6093"
"SCP1092","CP660"
"SCP1094","CP4"
"SCP1096","CP50"
"SCP1102","CP7"
"SCP1104","CP2"
"SCP1106","CP7586"
"SCP1106","CP8528"
"SCP1106","CP5036"
"SCP1107","CP32"
"SCP1109","CP5121"
"SCP1109","CP3562"
"SCP1109","CP4056"
"SCP1112","CP3169"
"SCP1112","CP477"
"SCP1112","CP3833"
"SCP1113","CP1593"
"SCP1113","CP3132"
"SCP1113","CP1655"
"SCP1114","CP2468"
"SCP1114","CP1001"
"SCP1114","CP7888"
"SCP1117","CP6"
"SCP1122","CP43"
"SCP1123","CP27"
"SCP1124","CP4843"
"SCP1124","CP5415"
"SCP1124","CP273"
"SCP1125","CP9052"
"SCP1125","CP3461"
"SCP1125","CP7979"
"SCP1126","CP6"
"SCP1127","CP4084"
"SCP1127","CP7884"
"SCP1127","CP482"
"SCP1132","CP34"
"SCP1133","CP6897"
"SCP1133","CP654"
"SCP1133","CP6429"
"SCP1138","CP1127"
"SCP1138","CP2822"
"SCP1138","CP7006"
"SCP1139","CP68"
"SCP1142","CP4823"
"SCP1142","CP7216"
"SCP1142","CP6879"
"SCP1143","CP69"
"SCP1144","CP21"
"SCP1145","CP66"
"SCP1146","CP7996"
"SCP1146","CP2036"
"SCP1146","CP2061"
"SCP1147","CP54"
"SCP1148","CP3882"
"SCP1148","CP3491"
"SCP1148","CP9129"
"SCP1149","CP1136"
"SCP1149","CP2159"
"SCP1149","CP1683"
"SCP1151","CP57"
"SCP1152","CP6144"
"SCP1152","CP8551"
"SCP1152","CP3346"
"SCP1156","CP9996"
"SCP1156","CP2761"
"SCP1156","CP8925"
"SCP1162","CP42"
"SCP1163","CP7695"
"SCP1163","CP5923"
"SCP1163","CP5630"
"SCP1174","CP50"
"SCP1175","CP8"
"SCP1178","CP15"
"SCP1179","CP5450"
"SCP1179","CP9559"
"SCP1179","CP3230"
"SCP1180","CP1544"
"SCP1180","CP7170"
"SCP1180","CP1286"
"SCP1182","CP66"
"SCP1183","CP38"
"SCP1185","CP52"
"SCP1186","CP68"
"SCP1188","CP5582"
"SCP1188","CP8133"
"SCP1188","CP791"
"SCP1190","CP33"
"SCP1194","CP22"
"SCP1197","CP3647"
"SCP1197","CP1859"
"SCP1197","CP6453"
"SCP1199","CP27"
"SCP1200","CP3223"
"SCP1200","CP2953"
"SCP1200","CP8218"
"SCP1201","CP8434"
"SCP1201","CP6318"
"SCP1201","CP5284"
"SCP1202","CP5515"
"SCP1202","CP6746"
"SCP1202","CP2402"
"SCP1203","CP5380"
"SCP1203","CP1179"
"SCP1203","CP3603"
"SCP1206","CP45"
"SCP1207","CP562"
"SCP1207","CP6532"
"SCP1207","CP120"
"SCP1208","CP5534"
"SCP1208","CP814"
"SCP1208","CP4333"
"SCP1209","CP69"
"SCP1210","CP41"
"SCP1211","CP16"
"SCP1217","CP2219"
"SCP1217","CP8310"
"SCP1217","CP3698"
"SCP1220","CP5791"
"SCP1220","CP6516"
"SCP1220","CP4879"
"SCP1221","CP25"
"SCP1225","CP1504"
"SCP1225","CP2107"
"SCP1225","CP3254"
"SCP1226","CP7622"
"SCP1226","CP5203"
"SCP1226","CP3676"
"SCP1228","CP47"
"SCP1230","CP8910"
"SCP1230","CP7251"
"SCP1230","CP128"
"SCP1231","CP1165"
"SCP1231","CP67"
"SCP1231","CP7979"
"SCP1232","CP50"
"SCP1235","CP8701"
"SCP1235","CP3111"
"SCP1235","CP3033"
"SCP1236","CP3858"
"SCP1236","CP6789"
"SCP1236","CP3410"
"SCP1237","CP1"
"SCP1239","CP65"
"SCP1240","CP16"
"SCP1241","CP12"
"SCP1243","CP30"
"SCP1246","CP20"
"SCP1247","CP9539"
"SCP1247","CP6919"
"SCP1247","CP2237"
"SCP1252","CP56"
"SCP1253","CP7511"
"SCP1253","CP1511"
"SCP1253","CP6355"
"SCP1257","CP45"
"SCP1258","CP50"
"SCP1259","CP7494"
"SCP1259","CP9862"
"SCP1259","CP4393"
"SCP1260","CP7"
"SCP1265","CP43"
"SCP1268","CP10"
"SCP1270","CP62"
"SCP1276","CP6694"
"SCP1276","CP1820"
"SCP1276","CP4991"
"SCP1277","CP44"
"SCP1279","CP65"
"SCP1280","CP4834"
"SCP1280","CP3482"
"SCP1280","CP6259"
"SCP1282","CP5885"
"SCP1282","CP2711"
"SCP1282","CP1234"
"SCP1283","CP3858"
"SCP1283","CP3486"
"SCP1283","CP4035"
"SCP1287","CP1797"
"SCP1287","CP6406"
"SCP1287","CP3728"
"SCP1292","CP7253"
"SCP1292","CP6812"
"SCP1292","CP602"
"SCP1295","CP6214"
"SCP1295","CP7613"
"SCP1295","CP9341"
"SCP1296","CP5763"
"SCP1296","CP1995"
"SCP1296","CP1740"
"SCP1304","CP52"
"SCP1305","CP2723"
"SCP1305","CP6502"
"SCP1305","CP6945"
"SCP1306","CP3016"
"SCP1306","CP6653"
"SCP1306","CP8314"
"SCP1310","CP65"
"SCP1310","CP7729"
"SCP1310","CP8970"
"SCP1311","CP52"
"SCP1312","CP5766"
"SCP1312","CP1663"
"SCP1312","CP8366"
"SCP1313","CP29"
"SCP1316","CP1720"
"SCP1316","CP7635"
"SCP1316","CP1000"
"SCP1317","CP8772"
"SCP1317","CP4491"
"SCP1317","CP876"
"SCP1321","CP5964"
"SCP1321","CP8138"
"SCP1321","CP5064"
"SCP1322","CP6745"
"SCP1322","CP3447"
"SCP1322","CP6132"
"SCP1323","CP4177"
"SCP1323","CP2982"
"SCP1323","CP4346"
"SCP1325","CP57"
"SCP1328","CP38"
"SCP1330","CP9235"
"SCP1330","CP7666"
"SCP1330","CP9442"
"SCP1332","CP9459"
"SCP1332","CP583"
"SCP1332","CP7866"
"SCP1333","CP41"
"SCP1335","CP64"
"SCP1337","CP38"
"SCP1341","CP62"
"SCP1342","CP43"
"SCP1343","CP50"
"SCP1343","CP4381"
"SCP1343","CP6570"
"SCP1345","CP7503"
"SCP1345","CP9550"
"SCP1345","CP8200"
"SCP1346","CP4396"
"SCP1346","CP2128"
"SCP1346","CP5008"
"SCP1347","CP20"
"SCP1348","CP3249"
"SCP1348","CP7555"
"SCP1348","CP6099"
"SCP1353","CP1776"
"SCP1353","CP7024"
"SCP1353","CP9097"
"SCP1354","CP8212"
"SCP1354","CP7256"
"SCP1354","CP5314"
"SCP1357","CP59"
"SCP1359","CP7207"
"SCP1359","CP2050"
"SCP1359","CP5394"
