"COMPONENTID","ID"
"CP154","R6.3.0(1)"
"CP154","R6.1.0(1)"
"CP155","R4.1.0(2)"
"CP155","R5.9.0(6)"
"CP155","R5.9.0(1)"
"CP156","R5.7.0(5)"
"CP159","R4.1.0(1)"
"CP159","R6.1.0(1)"
"CP159","R7.1.0(3)"
"CP162","R5.7.0(5)"
"CP166","R6.3.0(1)"
"CP173","R5.4.4(3)"
"CP174","R5.5.0(9)"
"CP175","R5.9.0(1)"
"CP177","R5.4.4(3)"
"CP177","R6.3.0(9)"
"CP177","R5.7.0(1)"
"CP178","R6.2.0(8)"
"CP178","R4.1.0(2)"
"CP178","R4.1.0(1)"
"CP183","R5.4.4(3)"
"CP183","R5.8.0(1)"
"CP183","R6.4.0(6)"
"CP184","R5.4.4(3)"
"CP188","R5.6.0(8)"
"CP188","R4.1.0(1)"
"CP188","R6.1.0(1)"
"CP189","R6.5.0(1)"
"CP189","R5.6.0(8)"
"CP189","R7.3.0(4)"
"CP190","R6.3.0(1)"
"CP190","R5.6.0(8)"
"CP190","R5.7.0(1)"
"CP193","R5.6.0(1)"
"CP193","R5.4.4(3)"
"CP193","R6.3.0(1)"
"CP194","R5.1.0(1)"
"CP195","R5.5.0(1)"
"CP195","R7.1.0(3)"
"CP195","R6.1.0(1)"
"CP196","R6.4.0(6)"
"CP198","R6.3.0(8)"
"CP198","R6.4.0(6)"
"CP198","R6.4.0(1)"
"CP200","R6.1.0(1)"
"CP201","R5.6.0(8)"
"CP203","R5.7.0(5)"
"CP204","R5.5.0(9)"
"CP207","R5.1.0(1)"
"CP213","R7.3.0(4)"
"CP213","R5.7.0(5)"
"CP213","R6.4.0(1)"
"CP215","R6.4.0(7)"
"CP215","R6.4.0(1)"
"CP215","R6.2.0(8)"
"CP216","R6.3.0(8)"
"CP220","R5.6.0(8)"
"CP226","R6.3.0(9)"
"CP227","R7.1.0(3)"
"CP227","R5.6.0(1)"
"CP227","R6.3.0(9)"
"CP234","R6.3.0(8)"
"CP234","R7.1.0(3)"
"CP234","R6.1.0(1)"
"CP236","R6.4.0(1)"
"CP236","R6.3.0(8)"
"CP236","R5.7.0(1)"
"CP237","R5.5.0(9)"
"CP238","R6.4.0(6)"
"CP240","R6.4.0(7)"
"CP245","R6.2.0(1)"
"CP245","R6.5.0(1)"
"CP245","R6.3.0(1)"
"CP251","R6.4.0(1)"
"CP251","R5.9.0(6)"
"CP251","R4.1.0(1)"
"CP252","R6.4.0(7)"
"CP252","R6.2.0(1)"
"CP252","R6.4.0(1)"
"CP255","R5.5.0(1)"
"CP255","R6.3.0(8)"
"CP255","R5.4.4(3)"
"CP265","R7.1.0(3)"
"CP270","R4.1.0(2)"
"CP271","R6.4.0(6)"
"CP271","R6.1.0(1)"
"CP271","R5.5.0(1)"
"CP272","R5.9.0(6)"
"CP273","R4.1.0(2)"
"CP274","R6.5.0(1)"
"CP275","R5.1.0(1)"
"CP275","R5.9.0(1)"
"CP275","R6.5.0(1)"
"CP277","R5.8.0(1)"
"CP277","R6.5.0(1)"
"CP277","R6.3.0(1)"
"CP281","R4.1.0(1)"
"CP284","R5.9.0(1)"
"CP287","R6.2.0(8)"
"CP287","R5.7.0(5)"
"CP287","R4.1.0(1)"
"CP288","R4.1.0(1)"
"CP288","R5.5.0(9)"
"CP288","R5.8.0(9)"
"CP291","R4.1.0(2)"
"CP294","R6.3.0(8)"
"CP296","R5.7.0(5)"
"CP296","R6.3.0(8)"
"CP296","R6.2.0(8)"
"CP300","R5.9.0(1)"
"CP300","R6.3.0(1)"
"CP300","R5.6.0(1)"
"CP302","R7.1.0(3)"
"CP302","R6.4.0(7)"
"CP302","R5.1.0(1)"
"CP303","R5.9.0(1)"
"CP304","R7.1.0(3)"
"CP309","R4.1.0(2)"
"CP313","R7.1.0(3)"
"CP314","R6.3.0(9)"
"CP314","R4.1.0(1)"
"CP314","R7.1.0(3)"
"CP316","R7.3.0(4)"
"CP320","R5.8.0(9)"
"CP320","R7.3.0(4)"
"CP320","R6.2.0(8)"
"CP321","R5.9.0(1)"
"CP321","R6.2.0(8)"
"CP321","R5.7.0(1)"
"CP322","R7.1.0(3)"
"CP322","R6.2.0(1)"
"CP322","R5.7.0(1)"
"CP323","R6.2.0(1)"
"CP325","R6.3.0(8)"
"CP328","R6.3.0(9)"
"CP328","R5.4.4(3)"
"CP328","R6.4.0(1)"
"CP331","R5.5.0(9)"
"CP331","R5.8.0(1)"
"CP331","R5.9.0(6)"
"CP332","R6.4.0(7)"
"CP332","R5.7.0(5)"
"CP332","R5.8.0(1)"
"CP336","R4.1.0(2)"
"CP338","R5.8.0(1)"
"CP338","R5.5.0(1)"
"CP338","R6.3.0(1)"
"CP344","R7.3.0(4)"
"CP351","R4.1.0(1)"
"CP351","R5.7.0(1)"
"CP351","R6.3.0(8)"
"CP355","R6.3.0(1)"
"CP355","R5.6.0(8)"
"CP355","R6.5.0(1)"
"CP359","R5.4.4(3)"
"CP363","R6.4.0(1)"
"CP363","R6.3.0(1)"
"CP363","R6.1.0(1)"
"CP364","R5.8.0(1)"
"CP364","R5.1.0(1)"
"CP364","R6.5.0(1)"
"CP366","R5.5.0(9)"
"CP368","R5.5.0(1)"
"CP369","R5.8.0(9)"
"CP370","R5.6.0(8)"
"CP376","R6.2.0(1)"
"CP376","R5.4.4(3)"
"CP376","R5.5.0(1)"
"CP380","R5.7.0(1)"
"CP381","R5.4.4(3)"
"CP381","R4.1.0(2)"
"CP381","R5.5.0(1)"
"CP382","R7.1.0(3)"
"CP383","R4.1.0(1)"
"CP384","R7.3.0(4)"
"CP384","R5.8.0(1)"
"CP384","R5.8.0(9)"
"CP385","R7.3.0(4)"
"CP385","R6.4.0(1)"
"CP385","R6.5.0(1)"
"CP390","R6.1.0(1)"
"CP390","R5.7.0(1)"
"CP390","R6.2.0(1)"
"CP392","R6.2.0(8)"
"CP392","R5.8.0(1)"
"CP392","R5.6.0(1)"
"CP393","R5.7.0(1)"
"CP393","R5.5.0(9)"
"CP393","R5.8.0(1)"
"CP396","R6.2.0(1)"
"CP402","R6.4.0(6)"
"CP404","R4.1.0(1)"
"CP405","R6.1.0(1)"
"CP405","R5.7.0(1)"
"CP405","R6.4.0(1)"
"CP410","R6.3.0(9)"
"CP410","R6.2.0(1)"
"CP410","R5.9.0(1)"
"CP412","R7.1.0(3)"
"CP415","R6.3.0(8)"
"CP417","R6.4.0(6)"
"CP417","R5.8.0(1)"
"CP417","R5.6.0(8)"
"CP430","R5.9.0(1)"
"CP431","R6.5.0(1)"
"CP434","R6.1.0(1)"
"CP434","R6.2.0(8)"
"CP434","R5.5.0(1)"
"CP435","R4.1.0(1)"
"CP435","R6.2.0(8)"
"CP435","R5.8.0(9)"
"CP438","R6.5.0(1)"
"CP439","R6.3.0(1)"
"CP439","R4.1.0(1)"
"CP439","R5.8.0(1)"
"CP441","R6.4.0(1)"
"CP447","R5.5.0(1)"
"CP447","R6.3.0(8)"
"CP447","R7.1.0(3)"
"CP448","R6.5.0(1)"
"CP448","R5.9.0(1)"
"CP448","R7.1.0(3)"
"CP451","R4.1.0(1)"
"CP454","R5.5.0(1)"
"CP464","R6.2.0(8)"
"CP466","R6.2.0(1)"
"CP469","R7.3.0(4)"
"CP471","R4.1.0(2)"
"CP471","R6.4.0(6)"
"CP471","R5.6.0(8)"
"CP472","R6.5.0(1)"
"CP474","R5.7.0(1)"
"CP474","R5.1.0(1)"
"CP474","R6.3.0(9)"
"CP475","R6.3.0(1)"
"CP475","R6.4.0(1)"
"CP475","R6.1.0(1)"
"CP477","R6.3.0(9)"
"CP478","R6.1.0(1)"
"CP478","R6.4.0(7)"
"CP478","R7.1.0(3)"
"CP480","R6.4.0(1)"
"CP482","R6.3.0(9)"
"CP488","R5.6.0(8)"
"CP492","R6.1.0(1)"
"CP494","R6.1.0(1)"
"CP497","R7.3.0(4)"
"CP500","R5.1.0(1)"
"CP501","R7.3.0(4)"
"CP501","R6.2.0(8)"
"CP501","R5.8.0(9)"
"CP502","R5.6.0(1)"
"CP502","R5.4.4(3)"
"CP502","R4.1.0(2)"
"CP507","R5.8.0(1)"
"CP507","R7.3.0(4)"
"CP507","R5.7.0(5)"
"CP509","R5.9.0(1)"
"CP512","R6.2.0(8)"
"CP520","R6.4.0(1)"
"CP520","R6.4.0(6)"
"CP520","R5.6.0(1)"
"CP524","R7.1.0(3)"
"CP525","R5.8.0(9)"
"CP525","R5.6.0(1)"
"CP525","R6.5.0(1)"
"CP526","R5.7.0(1)"
"CP528","R5.6.0(1)"
"CP528","R5.7.0(5)"
"CP528","R6.5.0(1)"
"CP532","R6.5.0(1)"
"CP532","R5.5.0(1)"
"CP532","R5.4.4(3)"
"CP533","R5.7.0(1)"
"CP533","R5.5.0(1)"
"CP533","R4.1.0(1)"
"CP534","R5.1.0(1)"
"CP535","R6.4.0(6)"
"CP535","R6.4.0(7)"
"CP535","R5.6.0(1)"
"CP537","R5.6.0(1)"
"CP537","R5.1.0(1)"
"CP537","R5.8.0(9)"
"CP541","R4.1.0(2)"
"CP544","R5.6.0(8)"
"CP548","R5.8.0(9)"
"CP548","R6.4.0(7)"
"CP548","R5.6.0(1)"
"CP554","R5.5.0(1)"
"CP554","R5.6.0(1)"
"CP554","R6.1.0(1)"
"CP557","R5.9.0(6)"
"CP557","R4.1.0(1)"
"CP557","R5.6.0(8)"
"CP558","R6.4.0(6)"
"CP560","R6.5.0(1)"
"CP561","R6.1.0(1)"
"CP561","R5.5.0(9)"
"CP561","R5.6.0(1)"
"CP562","R5.5.0(1)"
"CP564","R5.9.0(6)"
"CP565","R6.1.0(1)"
"CP566","R6.2.0(8)"
"CP566","R6.4.0(1)"
"CP566","R5.4.4(3)"
"CP567","R5.8.0(9)"
"CP568","R5.1.0(1)"
"CP568","R5.6.0(8)"
"CP568","R7.1.0(3)"
"CP569","R6.3.0(1)"
"CP571","R5.7.0(5)"
"CP571","R5.6.0(8)"
"CP571","R6.2.0(1)"
"CP572","R6.2.0(1)"
"CP572","R6.3.0(8)"
"CP572","R6.2.0(8)"
"CP574","R5.7.0(1)"
"CP576","R5.4.4(3)"
"CP577","R6.4.0(7)"
"CP577","R5.9.0(1)"
"CP577","R6.3.0(1)"
"CP579","R6.3.0(9)"
"CP579","R5.8.0(1)"
"CP579","R5.4.4(3)"
"CP580","R5.7.0(1)"
"CP580","R5.8.0(1)"
"CP580","R6.4.0(7)"
"CP581","R7.1.0(3)"
"CP588","R5.1.0(1)"
"CP589","R6.2.0(1)"
"CP591","R6.2.0(1)"
"CP592","R5.6.0(1)"
"CP592","R4.1.0(1)"
"CP592","R5.7.0(5)"
"CP593","R5.8.0(1)"
"CP593","R5.7.0(5)"
"CP593","R5.9.0(6)"
"CP595","R7.3.0(4)"
"CP595","R5.9.0(6)"
"CP595","R6.3.0(9)"
"CP596","R7.3.0(4)"
"CP601","R6.3.0(9)"
"CP602","R4.1.0(1)"
"CP602","R5.9.0(1)"
"CP602","R6.3.0(1)"
"CP603","R6.5.0(1)"
"CP604","R4.1.0(1)"
"CP604","R6.4.0(6)"
"CP604","R5.9.0(6)"
"CP607","R6.3.0(9)"
"CP608","R6.3.0(1)"
"CP612","R6.3.0(1)"
"CP612","R6.4.0(1)"
"CP612","R7.1.0(3)"
"CP613","R6.1.0(1)"
"CP614","R5.5.0(1)"
"CP615","R6.2.0(1)"
"CP616","R5.7.0(1)"
"CP619","R5.8.0(1)"
"CP625","R6.3.0(1)"
"CP625","R6.3.0(8)"
"CP625","R5.9.0(6)"
"CP626","R5.7.0(5)"
"CP626","R4.1.0(1)"
"CP626","R7.1.0(3)"
"CP629","R5.5.0(1)"
"CP630","R7.3.0(4)"
"CP630","R4.1.0(1)"
"CP630","R6.2.0(1)"
"CP631","R5.5.0(9)"
"CP637","R5.5.0(9)"
"CP643","R6.3.0(9)"
"CP643","R6.1.0(1)"
"CP643","R5.8.0(9)"
"CP646","R6.4.0(7)"
"CP646","R5.1.0(1)"
"CP646","R4.1.0(1)"
"CP647","R5.1.0(1)"
"CP650","R5.6.0(8)"
"CP651","R5.8.0(1)"
"CP656","R5.1.0(1)"
"CP658","R5.1.0(1)"
"CP659","R4.1.0(1)"
"CP659","R7.1.0(3)"
"CP659","R5.4.4(3)"
"CP662","R5.8.0(9)"
"CP665","R6.1.0(1)"
"CP666","R6.1.0(1)"
"CP666","R5.1.0(1)"
"CP666","R6.2.0(1)"
"CP667","R5.6.0(1)"
"CP667","R6.2.0(8)"
"CP667","R6.3.0(1)"
"CP670","R6.2.0(1)"
"CP671","R5.9.0(6)"
"CP673","R5.8.0(9)"
"CP674","R5.5.0(9)"
"CP674","R5.7.0(1)"
"CP674","R6.4.0(1)"
"CP683","R6.1.0(1)"
"CP683","R5.4.4(3)"
"CP683","R7.3.0(4)"
"CP695","R6.3.0(1)"
"CP695","R5.5.0(1)"
"CP695","R7.3.0(4)"
"CP699","R6.1.0(1)"
"CP699","R6.2.0(1)"
"CP699","R6.4.0(1)"
"CP700","R6.4.0(6)"
"CP700","R4.1.0(2)"
"CP700","R7.3.0(4)"
"CP706","R5.5.0(9)"
"CP708","R4.1.0(1)"
"CP712","R4.1.0(1)"
"CP720","R6.3.0(1)"
"CP722","R5.9.0(1)"
"CP722","R6.2.0(8)"
"CP722","R5.7.0(1)"
"CP723","R5.1.0(1)"
"CP726","R5.8.0(1)"
"CP726","R5.5.0(1)"
"CP726","R6.4.0(1)"
"CP727","R5.4.4(3)"
"CP727","R6.1.0(1)"
"CP727","R6.4.0(1)"
"CP728","R6.2.0(1)"
"CP728","R5.4.4(3)"
"CP728","R6.4.0(6)"
"CP730","R5.7.0(5)"
"CP736","R7.3.0(4)"
"CP739","R4.1.0(1)"
"CP739","R5.7.0(5)"
"CP739","R6.2.0(1)"
"CP743","R6.4.0(7)"
"CP743","R4.1.0(2)"
"CP743","R6.3.0(9)"
"CP744","R5.6.0(8)"
"CP744","R5.7.0(5)"
"CP744","R5.4.4(3)"
"CP749","R6.3.0(9)"
"CP749","R5.7.0(1)"
"CP749","R6.3.0(8)"
"CP750","R5.9.0(6)"
"CP755","R6.3.0(9)"
"CP756","R6.2.0(8)"
"CP758","R6.4.0(1)"
"CP758","R5.9.0(6)"
"CP758","R6.2.0(1)"
"CP761","R5.6.0(8)"
"CP761","R6.1.0(1)"
"CP761","R6.3.0(1)"
"CP765","R6.4.0(7)"
"CP765","R5.9.0(1)"
"CP765","R6.4.0(6)"
"CP772","R6.2.0(8)"
"CP774","R5.6.0(8)"
"CP775","R6.2.0(1)"
"CP775","R5.6.0(8)"
"CP775","R5.9.0(6)"
"CP777","R5.7.0(1)"
"CP777","R6.3.0(9)"
"CP777","R7.1.0(3)"
"CP780","R6.4.0(1)"
"CP783","R5.6.0(8)"
"CP785","R6.4.0(1)"
"CP786","R5.4.4(3)"
"CP786","R4.1.0(2)"
"CP786","R5.7.0(1)"
"CP787","R5.8.0(9)"
"CP787","R5.5.0(1)"
"CP787","R7.1.0(3)"
"CP794","R5.8.0(9)"
"CP794","R5.7.0(5)"
"CP794","R5.9.0(1)"
"CP797","R6.3.0(9)"
"CP801","R4.1.0(1)"
"CP801","R7.1.0(3)"
"CP801","R5.1.0(1)"
"CP802","R6.4.0(1)"
"CP804","R6.4.0(6)"
"CP804","R4.1.0(2)"
"CP804","R5.8.0(9)"
"CP806","R5.7.0(5)"
"CP806","R5.6.0(1)"
"CP806","R6.3.0(9)"
"CP807","R5.6.0(1)"
"CP808","R5.8.0(9)"
"CP808","R6.4.0(1)"
"CP808","R5.1.0(1)"
"CP810","R4.1.0(2)"
"CP810","R5.6.0(1)"
"CP810","R4.1.0(1)"
"CP811","R6.1.0(1)"
"CP812","R5.1.0(1)"
"CP813","R5.9.0(1)"
"CP813","R5.5.0(9)"
"CP813","R6.1.0(1)"
"CP814","R5.9.0(6)"
"CP816","R6.4.0(7)"
"CP818","R5.8.0(9)"
"CP819","R6.2.0(8)"
"CP819","R5.8.0(9)"
"CP819","R6.2.0(1)"
"CP822","R6.4.0(6)"
"CP822","R5.7.0(5)"
"CP822","R5.4.4(3)"
"CP823","R5.5.0(9)"
"CP831","R5.5.0(1)"
"CP834","R6.3.0(9)"
"CP834","R7.3.0(4)"
"CP834","R5.6.0(8)"
"CP836","R6.2.0(8)"
"CP836","R5.1.0(1)"
"CP836","R6.3.0(8)"
"CP837","R4.1.0(1)"
"CP838","R5.6.0(8)"
"CP839","R5.8.0(1)"
"CP842","R5.7.0(5)"
"CP842","R6.3.0(1)"
"CP842","R6.4.0(1)"
"CP846","R5.9.0(6)"
"CP848","R6.2.0(8)"
"CP848","R5.8.0(9)"
"CP848","R5.5.0(9)"
"CP849","R6.3.0(1)"
"CP849","R6.5.0(1)"
"CP849","R5.8.0(1)"
"CP851","R6.1.0(1)"
"CP853","R5.8.0(1)"
"CP859","R7.3.0(4)"
"CP863","R6.2.0(1)"
"CP863","R5.9.0(1)"
"CP863","R5.4.4(3)"
"CP867","R5.4.4(3)"
"CP867","R6.3.0(1)"
"CP867","R4.1.0(2)"
"CP869","R6.3.0(1)"
"CP871","R7.3.0(4)"
"CP873","R6.5.0(1)"
"CP873","R5.8.0(1)"
"CP873","R5.1.0(1)"
"CP874","R6.3.0(9)"
"CP874","R6.5.0(1)"
"CP874","R4.1.0(2)"
"CP875","R7.1.0(3)"
"CP876","R4.1.0(2)"
"CP876","R6.2.0(1)"
"CP876","R5.7.0(1)"
"CP878","R6.3.0(8)"
"CP881","R5.1.0(1)"
"CP881","R5.8.0(1)"
"CP881","R5.7.0(1)"
"CP882","R5.6.0(1)"
"CP882","R7.3.0(4)"
"CP882","R5.8.0(1)"
"CP886","R4.1.0(1)"
"CP886","R7.3.0(4)"
"CP886","R6.3.0(9)"
"CP887","R6.3.0(9)"
"CP887","R5.5.0(9)"
"CP887","R6.2.0(8)"
"CP890","R6.4.0(7)"
"CP890","R5.6.0(8)"
"CP890","R7.1.0(3)"
"CP894","R6.4.0(7)"
"CP895","R6.4.0(7)"
"CP899","R4.1.0(2)"
"CP899","R6.1.0(1)"
"CP899","R5.6.0(8)"
"CP905","R6.3.0(1)"
"CP905","R6.3.0(9)"
"CP905","R6.1.0(1)"
"CP907","R6.2.0(8)"
"CP907","R5.9.0(1)"
"CP907","R5.6.0(8)"
"CP909","R6.4.0(6)"
"CP909","R5.9.0(6)"
"CP909","R6.2.0(8)"
"CP910","R4.1.0(2)"
"CP910","R6.4.0(1)"
"CP910","R5.9.0(6)"
"CP911","R6.2.0(8)"
"CP912","R6.4.0(7)"
"CP912","R7.3.0(4)"
"CP912","R5.7.0(5)"
"CP915","R6.5.0(1)"
"CP924","R7.1.0(3)"
"CP929","R5.5.0(9)"
"CP929","R6.4.0(1)"
"CP929","R7.1.0(3)"
"CP930","R6.5.0(1)"
"CP930","R5.1.0(1)"
"CP930","R6.3.0(9)"
"CP931","R5.1.0(1)"
"CP931","R5.9.0(1)"
"CP931","R6.4.0(1)"
"CP939","R7.3.0(4)"
"CP939","R6.4.0(6)"
"CP939","R5.5.0(1)"
"CP943","R6.4.0(6)"
"CP952","R5.5.0(1)"
"CP958","R6.3.0(8)"
"CP958","R5.5.0(1)"
"CP958","R6.2.0(8)"
"CP959","R5.4.4(3)"
"CP959","R7.1.0(3)"
"CP959","R5.8.0(1)"
"CP969","R5.7.0(1)"
"CP969","R6.3.0(8)"
"CP969","R5.6.0(8)"
"CP972","R5.5.0(9)"
"CP972","R6.4.0(1)"
"CP972","R6.5.0(1)"
"CP974","R5.7.0(1)"
"CP974","R6.5.0(1)"
"CP974","R5.7.0(5)"
"CP976","R6.2.0(8)"
"CP978","R6.4.0(1)"
"CP978","R4.1.0(2)"
"CP978","R5.8.0(1)"
"CP980","R7.1.0(3)"
"CP980","R6.3.0(8)"
"CP980","R5.5.0(1)"
"CP981","R6.4.0(6)"
"CP982","R5.7.0(1)"
"CP982","R5.9.0(1)"
"CP982","R4.1.0(2)"
"CP985","R5.5.0(1)"
"CP986","R5.9.0(6)"
"CP986","R5.5.0(9)"
"CP986","R6.3.0(9)"
"CP990","R6.4.0(7)"
"CP990","R6.4.0(6)"
"CP990","R6.2.0(1)"
"CP994","R5.5.0(1)"
"CP994","R6.5.0(1)"
"CP994","R4.1.0(2)"
"CP996","R6.2.0(8)"
"CP996","R6.3.0(8)"
"CP996","R6.4.0(1)"
"CP998","R6.5.0(1)"
"CP998","R5.6.0(1)"
"CP998","R6.4.0(6)"
"CP999","R6.1.0(1)"
"CP1000","R5.8.0(9)"
"CP1001","R5.8.0(1)"
"CP1001","R7.3.0(4)"
"CP1001","R4.1.0(1)"
"CP1002","R5.8.0(9)"
"CP1003","R5.4.4(3)"
"CP1003","R7.3.0(4)"
"CP1003","R5.8.0(9)"
"CP1013","R5.6.0(8)"
"CP1015","R6.4.0(1)"
"CP1015","R5.6.0(8)"
"CP1015","R6.2.0(1)"
"CP1016","R5.4.4(3)"
"CP1018","R6.3.0(9)"
"CP1019","R6.2.0(1)"
"CP1019","R4.1.0(1)"
"CP1019","R5.9.0(1)"
"CP1020","R5.6.0(1)"
"CP1024","R5.8.0(9)"
"CP1024","R5.7.0(5)"
"CP1024","R5.1.0(1)"
"CP1025","R5.7.0(1)"
"CP1026","R6.4.0(7)"
"CP1028","R5.7.0(5)"
"CP1028","R7.3.0(4)"
"CP1028","R5.7.0(1)"
"CP1031","R5.7.0(1)"
"CP1033","R4.1.0(1)"
"CP1035","R5.5.0(9)"
"CP1040","R5.9.0(1)"
"CP1041","R7.3.0(4)"
"CP1042","R6.2.0(8)"
"CP1043","R5.4.4(3)"
"CP1043","R6.2.0(1)"
"CP1043","R6.3.0(8)"
"CP1047","R5.9.0(6)"
"CP1050","R5.5.0(9)"
"CP1050","R5.5.0(1)"
"CP1050","R6.3.0(9)"
"CP1062","R4.1.0(1)"
"CP1065","R5.9.0(6)"
"CP1065","R5.6.0(8)"
"CP1065","R4.1.0(2)"
"CP1066","R5.8.0(1)"
"CP1067","R5.6.0(1)"
"CP1067","R5.7.0(5)"
"CP1067","R6.1.0(1)"
"CP1069","R5.5.0(9)"
"CP1072","R6.2.0(8)"
"CP1072","R5.7.0(1)"
"CP1072","R5.6.0(1)"
"CP1073","R6.2.0(8)"
"CP1074","R5.5.0(1)"
"CP1075","R5.9.0(1)"
"CP1075","R5.4.4(3)"
"CP1075","R5.9.0(6)"
"CP1076","R7.3.0(4)"
"CP1076","R6.1.0(1)"
"CP1076","R7.1.0(3)"
"CP1082","R6.3.0(1)"
"CP1087","R5.5.0(1)"
"CP1087","R6.3.0(1)"
"CP1087","R6.4.0(6)"
"CP1088","R6.3.0(8)"
"CP1088","R5.8.0(9)"
"CP1088","R7.1.0(3)"
"CP1091","R5.5.0(1)"
"CP1091","R5.8.0(1)"
"CP1091","R5.9.0(1)"
"CP1094","R5.5.0(9)"
"CP1097","R5.9.0(6)"
"CP1099","R6.3.0(9)"
"CP1099","R6.4.0(7)"
"CP1099","R6.5.0(1)"
"CP1100","R5.4.4(3)"
"CP1100","R5.1.0(1)"
"CP1100","R5.9.0(6)"
"CP1101","R5.5.0(9)"
"CP1101","R6.3.0(8)"
"CP1101","R6.5.0(1)"
"CP1104","R5.4.4(3)"
"CP1105","R6.2.0(1)"
"CP1112","R4.1.0(2)"
