UC_ID,UC_TITLE,UC_PrC,UC_PoC,UC_STEPS
UC_ID45,Over-Flow Rate Alarm2,UC_ID7936,UC_ID5128,Air-in-line Embolism2
UC_ID46,Drug Library Hard Limit2,UC_ID6378,UC_ID4342,Over-Flow Rate Alarm2
UC_ID47,Clinician Authentication Failure2,UC_ID7084,UC_ID3327,Downstream Occlusion2
UC_ID48,Maximum Safe Dose2,UC_ID2885,UC_ID6987,Power-On Self Test Failure2
UC_ID49,Drug Library Not Present or Corrupted2,UC_ID4669,UC_ID6721,Bolus request too soon2
UC_ID50,ICE Failure2,UC_ID4656,UC_ID9880,Pump Overheating2
UC_ID51,Patient Authentication Failure2,UC_ID8074,UC_ID5201,Patient Authentication Failure2
UC_ID52,Pump Overheating2,UC_ID4261,UC_ID878,Under-Flow Rate Alarm2
UC_ID53,Bolus request too soon2,UC_ID2,UC_ID5572,Internal Electronic Failure2
UC_ID54,Upstream Occlusion2,UC_ID9113,UC_ID7099,Prescription Authentication Failure2
UC_ID55,Drug Library Soft Limit2,UC_ID159,UC_ID6732,Drug Library Hard Limit2
UC_ID56,Internal Electronic Failure2,UC_ID196,UC_ID3839,Sound Failure2
UC_ID57,Sound Failure2,UC_ID5290,UC_ID7348,Drug Library Not Present or Corrupted2
UC_ID58,Pump Overheating3,UC_ID7795,UC_ID6906,Clinician Authentication Failure3
UC_ID59,Clinician Authentication Failure3,UC_ID2090,UC_ID4231,Air-in-line Embolism3
UC_ID60,Over-Flow Rate Alarm3,UC_ID9619,UC_ID6512,Drug Library Not Present or Corrupted3
UC_ID61,Power-On Self Test Failure3,UC_ID5312,UC_ID8860,Downstream Occlusion3
UC_ID62,Pump Priming Failure3,UC_ID7990,UC_ID9782,Over-Flow Rate Alarm3
UC_ID63,Downstream Occlusion3,UC_ID9234,UC_ID5235,Pump Overheating3
UC_ID64,Internal Electronic Failure3,UC_ID3193,UC_ID2510,Internal Electronic Failure3
UC_ID65,Under-Flow Rate Alarm3,UC_ID6425,UC_ID2677,Drug Library Hard Limit3
UC_ID66,Prescription Authentication Failure3,UC_ID4807,UC_ID1298,Power-On Self Test Failure3
UC_ID67,Air-in-line Embolism3,UC_ID6929,UC_ID4882,Drug Library Soft Limit3
UC_ID68,Patient Authentication Failure3,UC_ID1713,UC_ID3521,Bolus request too soon3
UC_ID69,Drug Library Not Present or Corrupted3,UC_ID9415,UC_ID1534,Pump Priming Failure3
UC_ID70,Upstream Occlusion3,UC_ID2539,UC_ID8140,ICE Failure3
UC_ID71,Drug Library Hard Limit3,UC_ID577,UC_ID4755,Sound Failure3
UC_ID72,Maximum Safe Dose3,UC_ID1445,UC_ID4701,Upstream Occlusion3
UC_ID73,ICE Failure3,UC_ID6041,UC_ID9803,Prescription Authentication Failure3
UC_ID74,Sound Failure3,UC_ID1201,UC_ID9811,Under-Flow Rate Alarm3
UC_ID75,Bolus request too soon3,UC_ID93,UC_ID2895,Patient Authentication Failure3
UC_ID76,Drug Library Soft Limit3,UC_ID5422,UC_ID8953,Maximum Safe Dose3
UC_ID77,Sound Failure4,UC_ID9355,UC_ID6995,Internal Electronic Failure4
UC_ID78,Under-Flow Rate Alarm4,UC_ID7185,UC_ID3143,Downstream Occlusion4
UC_ID79,Clinician Authentication Failure4,UC_ID445,UC_ID8355,Upstream Occlusion4
UC_ID80,Air-in-line Embolism4,UC_ID9459,UC_ID3330,Drug Library Not Present or Corrupted4
UC_ID81,Pump Overheating4,UC_ID9206,UC_ID7560,Pump Overheating4
UC_ID82,Maximum Safe Dose4,UC_ID6466,UC_ID2308,Maximum Safe Dose4
UC_ID83,Internal Electronic Failure4,UC_ID2948,UC_ID8797,Patient Authentication Failure4
UC_ID84,ICE Failure4,UC_ID7427,UC_ID1727,Air-in-line Embolism4
UC_ID85,Pump Priming Failure4,UC_ID8568,UC_ID1707,Over-Flow Rate Alarm4
UC_ID86,Drug Library Soft Limit4,UC_ID3840,UC_ID8247,Sound Failure4
UC_ID87,Prescription Authentication Failure4,UC_ID7964,UC_ID6745,Pump Priming Failure4
UC_ID88,Downstream Occlusion4,UC_ID9249,UC_ID5748,Prescription Authentication Failure4
UC_ID89,Drug Library Hard Limit4,UC_ID3050,UC_ID8147,Clinician Authentication Failure4
UC_ID90,Patient Authentication Failure4,UC_ID5751,UC_ID6381,Under-Flow Rate Alarm4
UC_ID91,Upstream Occlusion4,UC_ID9235,UC_ID708,Power-On Self Test Failure4
UC_ID92,Bolus request too soon4,UC_ID4247,UC_ID7003,Bolus request too soon4
UC_ID93,Drug Library Not Present or Corrupted4,UC_ID1916,UC_ID2691,Drug Library Soft Limit4
UC_ID94,Power-On Self Test Failure4,UC_ID3724,UC_ID8991,Drug Library Hard Limit4
UC_ID95,Over-Flow Rate Alarm4,UC_ID3426,UC_ID3239,ICE Failure4
UC_ID96,Downstream Occlusion5,UC_ID810,UC_ID9439,Prescription Authentication Failure5
UC_ID97,Internal Electronic Failure5,UC_ID4655,UC_ID7928,Pump Priming Failure5
UC_ID98,ICE Failure5,UC_ID7955,UC_ID2264,Under-Flow Rate Alarm5
UC_ID99,Patient Authentication Failure5,UC_ID1087,UC_ID1078,Pump Overheating5
UC_ID100,Maximum Safe Dose5,UC_ID7405,UC_ID602,Internal Electronic Failure5
UC_ID101,Clinician Authentication Failure5,UC_ID8455,UC_ID2815,Maximum Safe Dose5
UC_ID102,Drug Library Soft Limit5,UC_ID2760,UC_ID2580,Upstream Occlusion5
UC_ID103,Over-Flow Rate Alarm5,UC_ID7404,UC_ID4793,Drug Library Not Present or Corrupted5
UC_ID104,Upstream Occlusion5,UC_ID5467,UC_ID6793,Drug Library Soft Limit5
UC_ID105,Pump Priming Failure5,UC_ID2051,UC_ID1323,Power-On Self Test Failure5
UC_ID106,Prescription Authentication Failure5,UC_ID4804,UC_ID5781,Sound Failure5
UC_ID107,Air-in-line Embolism5,UC_ID5438,UC_ID3316,Patient Authentication Failure5
UC_ID108,Sound Failure5,UC_ID8400,UC_ID2942,Air-in-line Embolism5
UC_ID109,Drug Library Not Present or Corrupted5,UC_ID1183,UC_ID5777,Clinician Authentication Failure5
UC_ID110,Power-On Self Test Failure5,UC_ID7507,UC_ID2644,ICE Failure5
UC_ID111,Pump Overheating5,UC_ID735,UC_ID7210,Drug Library Hard Limit5
UC_ID112,Drug Library Hard Limit5,UC_ID2076,UC_ID7828,Over-Flow Rate Alarm5
UC_ID113,Bolus request too soon5,UC_ID6097,UC_ID5219,Bolus request too soon5
UC_ID114,Under-Flow Rate Alarm5,UC_ID1544,UC_ID9696,Downstream Occlusion5
UC_ID115,Maximum Safe Dose6,UC_ID2305,UC_ID9196,Sound Failure6
UC_ID116,ICE Failure6,UC_ID3999,UC_ID1710,Maximum Safe Dose6
UC_ID117,Pump Overheating6,UC_ID5218,UC_ID9241,Downstream Occlusion6
UC_ID118,Under-Flow Rate Alarm6,UC_ID7223,UC_ID3687,Under-Flow Rate Alarm6
UC_ID119,Drug Library Hard Limit6,UC_ID453,UC_ID5270,Upstream Occlusion6
UC_ID120,Bolus request too soon6,UC_ID8572,UC_ID7412,Power-On Self Test Failure6
UC_ID121,Air-in-line Embolism6,UC_ID7650,UC_ID2534,Bolus request too soon6
UC_ID122,Drug Library Soft Limit6,UC_ID2495,UC_ID5905,Over-Flow Rate Alarm6
UC_ID123,Power-On Self Test Failure6,UC_ID615,UC_ID4125,Drug Library Soft Limit6
UC_ID124,Internal Electronic Failure6,UC_ID5502,UC_ID7812,Patient Authentication Failure6
UC_ID125,Sound Failure6,UC_ID280,UC_ID8330,Internal Electronic Failure6
UC_ID126,Prescription Authentication Failure6,UC_ID6952,UC_ID9783,Prescription Authentication Failure6
UC_ID127,Pump Priming Failure6,UC_ID236,UC_ID5498,ICE Failure6
UC_ID128,Drug Library Not Present or Corrupted6,UC_ID1505,UC_ID8042,Clinician Authentication Failure6
UC_ID129,Patient Authentication Failure6,UC_ID416,UC_ID1328,Drug Library Not Present or Corrupted6
UC_ID130,Clinician Authentication Failure6,UC_ID2160,UC_ID3580,Drug Library Hard Limit6
UC_ID131,Downstream Occlusion6,UC_ID8283,UC_ID9738,Air-in-line Embolism6
UC_ID132,Over-Flow Rate Alarm6,UC_ID6498,UC_ID2956,Pump Priming Failure6
UC_ID133,Upstream Occlusion6,UC_ID8081,UC_ID5778,Pump Overheating6
UC_ID134,Prescription Authentication Failure7,UC_ID7277,UC_ID5361,Air-in-line Embolism7
UC_ID135,Upstream Occlusion7,UC_ID1080,UC_ID503,Patient Authentication Failure7
UC_ID136,Sound Failure7,UC_ID9545,UC_ID3360,ICE Failure7
UC_ID137,Clinician Authentication Failure7,UC_ID1138,UC_ID9565,Over-Flow Rate Alarm7
UC_ID138,Internal Electronic Failure7,UC_ID3490,UC_ID9270,Drug Library Hard Limit7
UC_ID139,ICE Failure7,UC_ID2604,UC_ID1401,Under-Flow Rate Alarm7
UC_ID140,Over-Flow Rate Alarm7,UC_ID4296,UC_ID3248,Bolus request too soon7
UC_ID141,Pump Priming Failure7,UC_ID4255,UC_ID419,Pump Priming Failure7
UC_ID142,Patient Authentication Failure7,UC_ID4650,UC_ID3117,Upstream Occlusion7
UC_ID143,Maximum Safe Dose7,UC_ID4621,UC_ID5738,Internal Electronic Failure7
UC_ID144,Pump Overheating7,UC_ID6830,UC_ID808,Maximum Safe Dose7
UC_ID145,Under-Flow Rate Alarm7,UC_ID3837,UC_ID3034,Drug Library Not Present or Corrupted7
UC_ID146,Drug Library Not Present or Corrupted7,UC_ID4662,UC_ID5622,Pump Overheating7
UC_ID147,Power-On Self Test Failure7,UC_ID2778,UC_ID9459,Downstream Occlusion7
UC_ID148,Drug Library Hard Limit7,UC_ID5798,UC_ID9100,Clinician Authentication Failure7
UC_ID149,Drug Library Soft Limit7,UC_ID722,UC_ID9081,Sound Failure7
UC_ID150,Bolus request too soon7,UC_ID3260,UC_ID6813,Drug Library Soft Limit7
UC_ID151,Downstream Occlusion7,UC_ID7684,UC_ID2668,Power-On Self Test Failure7
UC_ID152,Air-in-line Embolism7,UC_ID3982,UC_ID56,Prescription Authentication Failure7
UC_ID153,Pump Overheating8,UC_ID3691,UC_ID8707,ICE Failure8
UC_ID154,Maximum Safe Dose8,UC_ID8245,UC_ID1358,Pump Priming Failure8
UC_ID155,Under-Flow Rate Alarm8,UC_ID3031,UC_ID3004,Upstream Occlusion8
UC_ID156,Drug Library Hard Limit8,UC_ID6740,UC_ID4732,Power-On Self Test Failure8
UC_ID157,Prescription Authentication Failure8,UC_ID2499,UC_ID9536,Drug Library Soft Limit8
UC_ID158,Sound Failure8,UC_ID4275,UC_ID2860,Downstream Occlusion8
UC_ID159,Bolus request too soon8,UC_ID7203,UC_ID8458,Patient Authentication Failure8
UC_ID160,Upstream Occlusion8,UC_ID2715,UC_ID8421,Under-Flow Rate Alarm8
UC_ID161,Drug Library Not Present or Corrupted8,UC_ID1727,UC_ID4516,Drug Library Not Present or Corrupted8
UC_ID162,Clinician Authentication Failure8,UC_ID2031,UC_ID9988,Clinician Authentication Failure8
UC_ID163,Air-in-line Embolism8,UC_ID8547,UC_ID5977,Over-Flow Rate Alarm8
UC_ID164,Patient Authentication Failure8,UC_ID4856,UC_ID9497,Bolus request too soon8
UC_ID165,Over-Flow Rate Alarm8,UC_ID1062,UC_ID4163,Internal Electronic Failure8
UC_ID166,Pump Priming Failure8,UC_ID7283,UC_ID89,Maximum Safe Dose8
UC_ID167,Downstream Occlusion8,UC_ID8113,UC_ID2936,Sound Failure8
UC_ID168,Internal Electronic Failure8,UC_ID5063,UC_ID1639,Drug Library Hard Limit8
UC_ID169,Power-On Self Test Failure8,UC_ID8273,UC_ID7288,Prescription Authentication Failure8
UC_ID170,ICE Failure8,UC_ID8484,UC_ID3366,Pump Overheating8
UC_ID171,Drug Library Soft Limit8,UC_ID656,UC_ID4776,Air-in-line Embolism8
UC_ID172,Internal Electronic Failure9,UC_ID6555,UC_ID3531,Bolus request too soon9
UC_ID173,Pump Overheating9,UC_ID1442,UC_ID8669,Pump Overheating9
UC_ID174,ICE Failure9,UC_ID5634,UC_ID4934,Patient Authentication Failure9
UC_ID175,Power-On Self Test Failure9,UC_ID8555,UC_ID2969,Drug Library Not Present or Corrupted9
UC_ID176,Over-Flow Rate Alarm9,UC_ID8012,UC_ID7013,Internal Electronic Failure9
UC_ID177,Drug Library Hard Limit9,UC_ID2833,UC_ID1437,Downstream Occlusion9
UC_ID178,Upstream Occlusion9,UC_ID8600,UC_ID5671,Upstream Occlusion9
UC_ID179,Maximum Safe Dose9,UC_ID8650,UC_ID1285,Over-Flow Rate Alarm9
UC_ID180,Drug Library Soft Limit9,UC_ID3517,UC_ID2184,Power-On Self Test Failure9
UC_ID181,Under-Flow Rate Alarm9,UC_ID8089,UC_ID1046,Air-in-line Embolism9
UC_ID182,Drug Library Not Present or Corrupted9,UC_ID8134,UC_ID5494,Drug Library Hard Limit9
UC_ID183,Downstream Occlusion9,UC_ID9305,UC_ID9438,Maximum Safe Dose9
UC_ID184,Bolus request too soon9,UC_ID5368,UC_ID7316,Under-Flow Rate Alarm9
UC_ID185,Air-in-line Embolism9,UC_ID7465,UC_ID85,Prescription Authentication Failure9
UC_ID186,Pump Priming Failure9,UC_ID184,UC_ID3258,Sound Failure9
UC_ID187,Sound Failure9,UC_ID8946,UC_ID8019,Clinician Authentication Failure9
UC_ID188,Patient Authentication Failure9,UC_ID6000,UC_ID1850,Drug Library Soft Limit9
UC_ID189,Prescription Authentication Failure9,UC_ID2970,UC_ID6012,Pump Priming Failure9
UC_ID190,Clinician Authentication Failure9,UC_ID8375,UC_ID3697,ICE Failure9
UC_ID191,Maximum Safe Dose10,UC_ID9971,UC_ID7064,Under-Flow Rate Alarm10
UC_ID192,Drug Library Soft Limit10,UC_ID1973,UC_ID1481,Downstream Occlusion10
UC_ID193,Drug Library Hard Limit10,UC_ID8508,UC_ID7302,Maximum Safe Dose10
UC_ID194,Pump Priming Failure10,UC_ID6774,UC_ID1333,Drug Library Not Present or Corrupted10
UC_ID195,ICE Failure10,UC_ID6348,UC_ID1234,Pump Priming Failure10
UC_ID196,Bolus request too soon10,UC_ID8577,UC_ID9431,Over-Flow Rate Alarm10
UC_ID197,Over-Flow Rate Alarm10,UC_ID2583,UC_ID2813,ICE Failure10
UC_ID198,Upstream Occlusion10,UC_ID8531,UC_ID1874,Drug Library Hard Limit10
UC_ID199,Pump Overheating10,UC_ID424,UC_ID8587,Pump Overheating10
UC_ID200,Internal Electronic Failure10,UC_ID3037,UC_ID2474,Sound Failure10
UC_ID201,Drug Library Not Present or Corrupted10,UC_ID3529,UC_ID2331,Bolus request too soon10
UC_ID202,Prescription Authentication Failure10,UC_ID5919,UC_ID2527,Upstream Occlusion10
UC_ID203,Patient Authentication Failure10,UC_ID8007,UC_ID8116,Patient Authentication Failure10
UC_ID204,Power-On Self Test Failure10,UC_ID6859,UC_ID8527,Air-in-line Embolism10
UC_ID205,Clinician Authentication Failure10,UC_ID5597,UC_ID3960,Internal Electronic Failure10
UC_ID206,Sound Failure10,UC_ID1325,UC_ID6005,Prescription Authentication Failure10
UC_ID207,Air-in-line Embolism10,UC_ID7872,UC_ID1785,Drug Library Soft Limit10
UC_ID208,Under-Flow Rate Alarm10,UC_ID2730,UC_ID9927,Power-On Self Test Failure10
UC_ID209,Downstream Occlusion10,UC_ID6241,UC_ID5172,Clinician Authentication Failure10
UC_ID210,Under-Flow Rate Alarm11,UC_ID2701,UC_ID8534,Maximum Safe Dose11
UC_ID211,Patient Authentication Failure11,UC_ID6728,UC_ID536,Upstream Occlusion11
UC_ID212,Air-in-line Embolism11,UC_ID2753,UC_ID5714,Over-Flow Rate Alarm11
UC_ID213,Drug Library Soft Limit11,UC_ID4227,UC_ID6894,Sound Failure11
UC_ID214,Pump Priming Failure11,UC_ID2143,UC_ID687,Clinician Authentication Failure11
UC_ID215,Drug Library Not Present or Corrupted11,UC_ID5704,UC_ID2116,Power-On Self Test Failure11
UC_ID216,ICE Failure11,UC_ID1342,UC_ID7921,Pump Overheating11
UC_ID217,Maximum Safe Dose11,UC_ID9623,UC_ID5705,Pump Priming Failure11
UC_ID218,Over-Flow Rate Alarm11,UC_ID2007,UC_ID6948,Downstream Occlusion11
UC_ID219,Upstream Occlusion11,UC_ID9138,UC_ID6317,Under-Flow Rate Alarm11
UC_ID220,Sound Failure11,UC_ID6006,UC_ID319,Patient Authentication Failure11
UC_ID221,Internal Electronic Failure11,UC_ID7724,UC_ID2245,Air-in-line Embolism11
UC_ID222,Prescription Authentication Failure11,UC_ID9931,UC_ID5085,Bolus request too soon11
UC_ID223,Downstream Occlusion11,UC_ID8016,UC_ID3317,Drug Library Hard Limit11
UC_ID224,Drug Library Hard Limit11,UC_ID9595,UC_ID3337,Prescription Authentication Failure11
UC_ID225,Power-On Self Test Failure11,UC_ID4366,UC_ID7384,Internal Electronic Failure11
UC_ID226,Clinician Authentication Failure11,UC_ID9616,UC_ID8996,Drug Library Not Present or Corrupted11
UC_ID227,Pump Overheating11,UC_ID7760,UC_ID2532,Drug Library Soft Limit11
UC_ID228,Bolus request too soon11,UC_ID3408,UC_ID5125,ICE Failure11
UC_ID229,Clinician Authentication Failure12,UC_ID5018,UC_ID2188,Pump Priming Failure12
UC_ID230,Patient Authentication Failure12,UC_ID7771,UC_ID5139,Under-Flow Rate Alarm12
UC_ID231,Over-Flow Rate Alarm12,UC_ID4072,UC_ID2508,Sound Failure12
UC_ID232,Maximum Safe Dose12,UC_ID634,UC_ID8419,Internal Electronic Failure12
UC_ID233,Bolus request too soon12,UC_ID4729,UC_ID7059,Bolus request too soon12
UC_ID234,Pump Priming Failure12,UC_ID4100,UC_ID1577,Prescription Authentication Failure12
UC_ID235,Pump Overheating12,UC_ID9194,UC_ID5625,Downstream Occlusion12
UC_ID236,Internal Electronic Failure12,UC_ID9776,UC_ID4778,Upstream Occlusion12
UC_ID237,Drug Library Soft Limit12,UC_ID9070,UC_ID2336,Drug Library Soft Limit12
UC_ID238,ICE Failure12,UC_ID8230,UC_ID781,Air-in-line Embolism12
UC_ID239,Prescription Authentication Failure12,UC_ID48,UC_ID9530,Clinician Authentication Failure12
UC_ID240,Air-in-line Embolism12,UC_ID6547,UC_ID3449,ICE Failure12
UC_ID241,Power-On Self Test Failure12,UC_ID6587,UC_ID5635,Pump Overheating12
UC_ID242,Under-Flow Rate Alarm12,UC_ID3527,UC_ID9371,Over-Flow Rate Alarm12
UC_ID243,Drug Library Not Present or Corrupted12,UC_ID9356,UC_ID8908,Maximum Safe Dose12
UC_ID244,Sound Failure12,UC_ID2345,UC_ID4841,Patient Authentication Failure12
UC_ID245,Downstream Occlusion12,UC_ID2811,UC_ID3911,Drug Library Not Present or Corrupted12
UC_ID246,Drug Library Hard Limit12,UC_ID1816,UC_ID471,Drug Library Hard Limit12
UC_ID247,Upstream Occlusion12,UC_ID5624,UC_ID8919,Power-On Self Test Failure12
UC_ID248,Pump Overheating13,UC_ID8898,UC_ID2310,Maximum Safe Dose13
UC_ID249,Over-Flow Rate Alarm13,UC_ID4463,UC_ID3321,ICE Failure13
UC_ID250,Pump Priming Failure13,UC_ID7776,UC_ID7530,Patient Authentication Failure13
UC_ID251,Drug Library Hard Limit13,UC_ID3378,UC_ID9698,Clinician Authentication Failure13
UC_ID252,Prescription Authentication Failure13,UC_ID7423,UC_ID9823,Drug Library Not Present or Corrupted13
UC_ID253,Under-Flow Rate Alarm13,UC_ID9631,UC_ID4261,Pump Priming Failure13
UC_ID254,Downstream Occlusion13,UC_ID802,UC_ID9357,Drug Library Hard Limit13
UC_ID255,Maximum Safe Dose13,UC_ID7777,UC_ID8287,Pump Overheating13
UC_ID256,Internal Electronic Failure13,UC_ID8800,UC_ID4543,Drug Library Soft Limit13
UC_ID257,ICE Failure13,UC_ID6529,UC_ID6881,Sound Failure13
UC_ID258,Power-On Self Test Failure13,UC_ID9452,UC_ID1484,Bolus request too soon13
UC_ID259,Sound Failure13,UC_ID1747,UC_ID3313,Power-On Self Test Failure13
UC_ID260,Clinician Authentication Failure13,UC_ID228,UC_ID6964,Air-in-line Embolism13
UC_ID261,Drug Library Not Present or Corrupted13,UC_ID5723,UC_ID6843,Prescription Authentication Failure13
UC_ID262,Bolus request too soon13,UC_ID9191,UC_ID2395,Upstream Occlusion13
UC_ID263,Drug Library Soft Limit13,UC_ID7987,UC_ID8927,Over-Flow Rate Alarm13
UC_ID264,Upstream Occlusion13,UC_ID7951,UC_ID1091,Internal Electronic Failure13
UC_ID265,Patient Authentication Failure13,UC_ID3713,UC_ID4809,Downstream Occlusion13
UC_ID266,Air-in-line Embolism13,UC_ID7920,UC_ID1356,Under-Flow Rate Alarm13
UC_ID267,Drug Library Soft Limit14,UC_ID1670,UC_ID2793,Internal Electronic Failure14
UC_ID268,Air-in-line Embolism14,UC_ID4587,UC_ID4172,Under-Flow Rate Alarm14
UC_ID269,Clinician Authentication Failure14,UC_ID6471,UC_ID867,Over-Flow Rate Alarm14
UC_ID270,Pump Priming Failure14,UC_ID3652,UC_ID7667,Prescription Authentication Failure14
UC_ID271,Prescription Authentication Failure14,UC_ID8798,UC_ID1394,Drug Library Soft Limit14
UC_ID272,Downstream Occlusion14,UC_ID5046,UC_ID6717,Clinician Authentication Failure14
UC_ID273,Under-Flow Rate Alarm14,UC_ID3210,UC_ID6110,ICE Failure14
UC_ID274,Internal Electronic Failure14,UC_ID9653,UC_ID1347,Drug Library Not Present or Corrupted14
UC_ID275,Over-Flow Rate Alarm14,UC_ID8979,UC_ID7742,Pump Priming Failure14
UC_ID276,Sound Failure14,UC_ID4298,UC_ID7136,Downstream Occlusion14
UC_ID277,Power-On Self Test Failure14,UC_ID4180,UC_ID9690,Maximum Safe Dose14
UC_ID278,Bolus request too soon14,UC_ID3084,UC_ID2359,Patient Authentication Failure14
UC_ID279,Drug Library Not Present or Corrupted14,UC_ID5351,UC_ID1022,Pump Overheating14
UC_ID280,Drug Library Hard Limit14,UC_ID3625,UC_ID9761,Sound Failure14
UC_ID281,Pump Overheating14,UC_ID6707,UC_ID7452,Drug Library Hard Limit14
UC_ID282,Maximum Safe Dose14,UC_ID8321,UC_ID8331,Upstream Occlusion14
UC_ID283,ICE Failure14,UC_ID4471,UC_ID9205,Air-in-line Embolism14
UC_ID284,Patient Authentication Failure14,UC_ID7018,UC_ID7258,Bolus request too soon14
UC_ID285,Upstream Occlusion14,UC_ID9990,UC_ID603,Power-On Self Test Failure14
UC_ID286,Internal Electronic Failure15,UC_ID8865,UC_ID7130,Power-On Self Test Failure15
UC_ID287,Power-On Self Test Failure15,UC_ID3754,UC_ID3820,Drug Library Soft Limit15
UC_ID288,ICE Failure15,UC_ID9155,UC_ID2017,Drug Library Hard Limit15
UC_ID289,Drug Library Hard Limit15,UC_ID8415,UC_ID7097,ICE Failure15
UC_ID290,Downstream Occlusion15,UC_ID392,UC_ID614,Sound Failure15
UC_ID291,Sound Failure15,UC_ID698,UC_ID5792,Upstream Occlusion15
UC_ID292,Upstream Occlusion15,UC_ID2183,UC_ID5716,Prescription Authentication Failure15
UC_ID293,Drug Library Soft Limit15,UC_ID8342,UC_ID3235,Pump Overheating15
UC_ID294,Maximum Safe Dose15,UC_ID9988,UC_ID1213,Drug Library Not Present or Corrupted15
UC_ID295,Pump Overheating15,UC_ID6208,UC_ID504,Maximum Safe Dose15
UC_ID296,Drug Library Not Present or Corrupted15,UC_ID2125,UC_ID6473,Bolus request too soon15
UC_ID297,Clinician Authentication Failure15,UC_ID6711,UC_ID442,Patient Authentication Failure15
