R_ID,RA_ID
R_ID283,RA_ID750
R_ID286,RA_ID305
R_ID286,RA_ID597
R_ID286,RA_ID744
R_ID286,RA_ID746
R_ID288,RA_ID262
R_ID293,RA_ID235
R_ID293,RA_ID607
R_ID294,RA_ID419
R_ID295,RA_ID4
R_ID298,RA_ID190
R_ID300,RA_ID380
R_ID300,RA_ID403
R_ID300,RA_ID411
R_ID300,RA_ID418
R_ID310,RA_ID704
R_ID312,RA_ID294
R_ID315,RA_ID621
R_ID317,RA_ID3
R_ID331,RA_ID779
R_ID332,RA_ID448
R_ID333,RA_ID42
R_ID333,RA_ID454
R_ID335,RA_ID115
R_ID336,RA_ID235
R_ID336,RA_ID241
R_ID347,RA_ID611
R_ID349,RA_ID27
R_ID354,RA_ID542
R_ID358,RA_ID283
R_ID363,RA_ID248
R_ID363,RA_ID388
R_ID376,RA_ID363
R_ID379,RA_ID211
R_ID382,RA_ID601
R_ID384,RA_ID377
R_ID387,RA_ID360
R_ID389,RA_ID334
R_ID394,RA_ID183
R_ID396,RA_ID183
R_ID396,RA_ID527
R_ID397,RA_ID689
R_ID401,RA_ID609
R_ID404,RA_ID34
R_ID407,RA_ID103
R_ID407,RA_ID769
R_ID407,RA_ID782
R_ID408,RA_ID382
R_ID408,RA_ID558
R_ID411,RA_ID242
R_ID412,RA_ID532
R_ID413,RA_ID67
R_ID420,RA_ID470
R_ID424,RA_ID448
R_ID432,RA_ID540
R_ID432,RA_ID687
R_ID432,RA_ID756
R_ID433,RA_ID506
R_ID434,RA_ID143
R_ID443,RA_ID208
R_ID443,RA_ID689
R_ID444,RA_ID377
R_ID444,RA_ID656
R_ID444,RA_ID661
R_ID444,RA_ID95
R_ID447,RA_ID556
R_ID448,RA_ID311
R_ID448,RA_ID334
R_ID448,RA_ID473
R_ID449,RA_ID340
R_ID454,RA_ID310
R_ID459,RA_ID372
R_ID459,RA_ID541
R_ID465,RA_ID367
R_ID469,RA_ID214
R_ID469,RA_ID623
R_ID474,RA_ID459
R_ID474,RA_ID599
R_ID474,RA_ID628
R_ID474,RA_ID682
R_ID487,RA_ID256
R_ID488,RA_ID422
R_ID489,RA_ID795
R_ID499,RA_ID545
R_ID508,RA_ID230
R_ID509,RA_ID358
R_ID509,RA_ID678
R_ID511,RA_ID283
R_ID511,RA_ID594
R_ID514,RA_ID683
R_ID521,RA_ID260
R_ID523,RA_ID487
R_ID525,RA_ID114
R_ID525,RA_ID420
R_ID526,RA_ID19
R_ID526,RA_ID441
R_ID526,RA_ID658
R_ID529,RA_ID146
R_ID530,RA_ID7
R_ID532,RA_ID361
R_ID532,RA_ID467
R_ID532,RA_ID728
R_ID533,RA_ID640
R_ID533,RA_ID67
R_ID537,RA_ID428
R_ID545,RA_ID319
R_ID545,RA_ID68
R_ID546,RA_ID571
R_ID548,RA_ID114
R_ID552,RA_ID251
R_ID552,RA_ID775
R_ID565,RA_ID500
R_ID566,RA_ID184
R_ID566,RA_ID99
R_ID568,RA_ID517
R_ID570,RA_ID585
R_ID570,RA_ID756
R_ID579,RA_ID123
R_ID579,RA_ID554
R_ID580,RA_ID10
R_ID580,RA_ID773
R_ID581,RA_ID479
R_ID581,RA_ID535
R_ID583,RA_ID468
R_ID588,RA_ID745
R_ID591,RA_ID375
R_ID600,RA_ID42
R_ID600,RA_ID642
R_ID600,RA_ID73
R_ID601,RA_ID300
R_ID603,RA_ID564
R_ID603,RA_ID758
R_ID607,RA_ID212
R_ID610,RA_ID263
R_ID610,RA_ID474
R_ID612,RA_ID675
R_ID613,RA_ID123
R_ID613,RA_ID483
R_ID613,RA_ID540
R_ID614,RA_ID121
R_ID614,RA_ID68
R_ID615,RA_ID722
R_ID616,RA_ID590
R_ID618,RA_ID391
R_ID618,RA_ID68
R_ID618,RA_ID88
R_ID621,RA_ID743
R_ID622,RA_ID696
R_ID623,RA_ID181
R_ID623,RA_ID507
R_ID623,RA_ID741
R_ID625,RA_ID529
R_ID627,RA_ID206
R_ID627,RA_ID218
R_ID627,RA_ID396
R_ID634,RA_ID629
R_ID635,RA_ID1
R_ID635,RA_ID393
R_ID637,RA_ID19
R_ID641,RA_ID253
R_ID642,RA_ID165
R_ID642,RA_ID702
R_ID646,RA_ID738
R_ID647,RA_ID738
R_ID647,RA_ID746
R_ID653,RA_ID242
R_ID654,RA_ID2
R_ID655,RA_ID373
R_ID655,RA_ID629
R_ID661,RA_ID500
R_ID662,RA_ID498
R_ID665,RA_ID248
R_ID667,RA_ID411
R_ID667,RA_ID462
R_ID668,RA_ID25
R_ID670,RA_ID279
R_ID677,RA_ID17
R_ID677,RA_ID193
R_ID677,RA_ID308
R_ID677,RA_ID631
R_ID680,RA_ID606
R_ID680,RA_ID683
R_ID693,RA_ID496
R_ID696,RA_ID183
R_ID696,RA_ID41
R_ID696,RA_ID623
R_ID697,RA_ID205
R_ID701,RA_ID767
R_ID704,RA_ID489
R_ID706,RA_ID738
R_ID715,RA_ID202
R_ID715,RA_ID303
R_ID717,RA_ID737
R_ID720,RA_ID382
R_ID726,RA_ID103
R_ID727,RA_ID212
R_ID727,RA_ID382
R_ID727,RA_ID539
R_ID727,RA_ID742
R_ID731,RA_ID553
R_ID731,RA_ID685
R_ID731,RA_ID731
R_ID733,RA_ID226
R_ID733,RA_ID392
R_ID733,RA_ID47
R_ID747,RA_ID36
R_ID757,RA_ID68
R_ID757,RA_ID786
R_ID758,RA_ID757
R_ID760,RA_ID364
R_ID762,RA_ID528
R_ID763,RA_ID440
R_ID774,RA_ID515
R_ID774,RA_ID730
R_ID776,RA_ID419
R_ID776,RA_ID519
R_ID776,RA_ID616
R_ID776,RA_ID690
R_ID777,RA_ID314
R_ID782,RA_ID201
R_ID787,RA_ID694
R_ID790,RA_ID565
R_ID790,RA_ID700
R_ID791,RA_ID319
R_ID791,RA_ID546
R_ID795,RA_ID659
R_ID796,RA_ID245
R_ID796,RA_ID433
R_ID801,RA_ID312
R_ID801,RA_ID730
R_ID802,RA_ID606
R_ID803,RA_ID615
R_ID803,RA_ID798
R_ID810,RA_ID187
R_ID812,RA_ID13
R_ID812,RA_ID264
R_ID812,RA_ID31
R_ID824,RA_ID142
R_ID824,RA_ID41
R_ID827,RA_ID593
R_ID830,RA_ID309
R_ID833,RA_ID299
R_ID837,RA_ID417
R_ID840,RA_ID226
R_ID840,RA_ID572
R_ID840,RA_ID695
R_ID840,RA_ID716
R_ID842,RA_ID128
R_ID842,RA_ID482
R_ID849,RA_ID100
R_ID849,RA_ID135
R_ID851,RA_ID153
R_ID851,RA_ID219
R_ID853,RA_ID653
R_ID854,RA_ID580
R_ID859,RA_ID403
R_ID860,RA_ID527
R_ID860,RA_ID616
R_ID860,RA_ID771
R_ID862,RA_ID101
R_ID862,RA_ID714
R_ID867,RA_ID295
R_ID869,RA_ID339
R_ID873,RA_ID426
R_ID873,RA_ID725
R_ID877,RA_ID373
R_ID877,RA_ID41
R_ID877,RA_ID612
R_ID877,RA_ID637
R_ID879,RA_ID424
R_ID879,RA_ID70
R_ID887,RA_ID16
R_ID887,RA_ID483
R_ID889,RA_ID403
R_ID889,RA_ID679
R_ID889,RA_ID716
R_ID896,RA_ID246
R_ID899,RA_ID729
R_ID899,RA_ID742
R_ID903,RA_ID239
R_ID903,RA_ID373
R_ID903,RA_ID765
R_ID909,RA_ID556
R_ID910,RA_ID125
R_ID915,RA_ID123
R_ID915,RA_ID339
R_ID918,RA_ID22
R_ID918,RA_ID73
R_ID919,RA_ID114
R_ID919,RA_ID164
R_ID919,RA_ID649
R_ID920,RA_ID249
R_ID920,RA_ID78
R_ID924,RA_ID368
R_ID924,RA_ID435
R_ID938,RA_ID646
R_ID939,RA_ID127
R_ID939,RA_ID352
R_ID943,RA_ID27
R_ID945,RA_ID754
R_ID946,RA_ID307
R_ID949,RA_ID227
R_ID952,RA_ID454
R_ID954,RA_ID684
R_ID957,RA_ID293
R_ID971,RA_ID20
R_ID981,RA_ID63
R_ID983,RA_ID788
R_ID986,RA_ID618
R_ID991,RA_ID10
R_ID993,RA_ID115
R_ID993,RA_ID40
R_ID996,RA_ID319
R_ID1006,RA_ID665
R_ID1009,RA_ID445
R_ID1009,RA_ID574
R_ID1010,RA_ID40
R_ID1016,RA_ID262
R_ID1016,RA_ID77
R_ID1020,RA_ID198
R_ID1020,RA_ID20
R_ID1021,RA_ID384
R_ID1023,RA_ID169
R_ID1024,RA_ID158
R_ID1029,RA_ID521
R_ID1030,RA_ID368
R_ID1038,RA_ID108
R_ID1038,RA_ID175
R_ID1038,RA_ID259
R_ID1044,RA_ID379
R_ID1046,RA_ID228
R_ID1046,RA_ID412
R_ID1046,RA_ID493
R_ID1053,RA_ID134
R_ID1053,RA_ID380
R_ID1053,RA_ID693
R_ID1058,RA_ID549
R_ID1061,RA_ID89
R_ID1075,RA_ID210
R_ID1075,RA_ID60
R_ID1082,RA_ID112
R_ID1082,RA_ID489
R_ID1082,RA_ID96
R_ID1088,RA_ID567
R_ID1107,RA_ID224
R_ID1107,RA_ID675
R_ID1113,RA_ID488
R_ID1116,RA_ID292
R_ID1116,RA_ID308
R_ID1120,RA_ID45
R_ID1120,RA_ID498
R_ID1120,RA_ID640
R_ID1121,RA_ID243
R_ID1125,RA_ID164
R_ID1125,RA_ID694
R_ID1126,RA_ID790
R_ID1128,RA_ID793
R_ID1129,RA_ID690
R_ID1130,RA_ID436
R_ID1130,RA_ID666
R_ID1130,RA_ID699
R_ID1130,RA_ID736
R_ID1136,RA_ID19
R_ID1148,RA_ID444
R_ID1154,RA_ID7
R_ID1158,RA_ID99
R_ID1164,RA_ID159
R_ID1169,RA_ID232
R_ID1173,RA_ID168
R_ID1179,RA_ID787
R_ID1187,RA_ID344
R_ID1188,RA_ID275
R_ID1194,RA_ID637
R_ID1195,RA_ID216
R_ID1196,RA_ID389
R_ID1197,RA_ID375
R_ID1198,RA_ID354
R_ID1198,RA_ID409
R_ID1198,RA_ID766
R_ID1216,RA_ID745
R_ID1219,RA_ID428
R_ID1219,RA_ID590
R_ID1221,RA_ID711
R_ID1223,RA_ID114
R_ID1225,RA_ID705
R_ID1229,RA_ID221
R_ID1231,RA_ID341
R_ID1236,RA_ID544
R_ID1240,RA_ID348
R_ID1242,RA_ID228
R_ID1246,RA_ID761
R_ID1252,RA_ID357
R_ID1254,RA_ID299
R_ID1261,RA_ID306
R_ID1265,RA_ID756
R_ID1266,RA_ID704
R_ID1270,RA_ID19
R_ID1270,RA_ID249
R_ID1270,RA_ID53
R_ID1276,RA_ID440
R_ID1280,RA_ID645
R_ID1281,RA_ID255
R_ID1281,RA_ID388
R_ID1287,RA_ID160
R_ID1287,RA_ID555
R_ID1289,RA_ID263
R_ID1290,RA_ID102
R_ID1292,RA_ID628
R_ID1293,RA_ID608
R_ID1302,RA_ID727
R_ID1304,RA_ID32
R_ID1309,RA_ID677
R_ID1316,RA_ID688
R_ID1316,RA_ID740
R_ID1319,RA_ID396
R_ID1320,RA_ID174
R_ID1324,RA_ID653
R_ID1326,RA_ID80
R_ID1331,RA_ID551
R_ID1336,RA_ID717
R_ID1341,RA_ID466
R_ID1354,RA_ID96
R_ID1356,RA_ID52
R_ID1357,RA_ID281
R_ID1357,RA_ID533
R_ID1357,RA_ID536
R_ID1360,RA_ID119
R_ID1361,RA_ID54
R_ID1363,RA_ID394
R_ID1363,RA_ID436
R_ID1363,RA_ID439
R_ID1371,RA_ID181
R_ID1372,RA_ID262
R_ID1374,RA_ID95
R_ID1375,RA_ID648
R_ID1376,RA_ID514
R_ID1380,RA_ID443
R_ID1384,RA_ID711
R_ID1395,RA_ID678
R_ID1396,RA_ID44
R_ID1399,RA_ID174
R_ID1409,RA_ID137
R_ID1409,RA_ID243
R_ID1409,RA_ID347
R_ID1409,RA_ID472
R_ID1414,RA_ID312
R_ID1415,RA_ID697
R_ID1417,RA_ID284
R_ID1417,RA_ID50
R_ID1417,RA_ID87
R_ID1421,RA_ID90
R_ID1426,RA_ID178
R_ID1430,RA_ID329
R_ID1430,RA_ID379
R_ID1430,RA_ID78
R_ID1436,RA_ID195
R_ID1436,RA_ID359
R_ID1436,RA_ID360
R_ID1437,RA_ID180
R_ID1437,RA_ID654
R_ID1440,RA_ID246
R_ID1441,RA_ID569
R_ID1459,RA_ID723
R_ID1461,RA_ID398
R_ID1463,RA_ID266
R_ID1463,RA_ID74
R_ID1478,RA_ID138
R_ID1485,RA_ID385
R_ID1486,RA_ID260
R_ID1487,RA_ID49
R_ID1488,RA_ID15
R_ID1489,RA_ID727
R_ID1494,RA_ID465
R_ID1501,RA_ID594
R_ID1502,RA_ID726
R_ID1506,RA_ID334
R_ID1506,RA_ID348
R_ID1506,RA_ID679
R_ID1506,RA_ID88
R_ID1508,RA_ID647
R_ID1514,RA_ID135
R_ID1514,RA_ID782
R_ID1515,RA_ID717
R_ID1522,RA_ID358
R_ID1527,RA_ID434
R_ID1532,RA_ID178
R_ID1535,RA_ID113
R_ID1535,RA_ID210
R_ID1535,RA_ID432
R_ID1535,RA_ID564
R_ID1536,RA_ID229
R_ID1541,RA_ID481
R_ID1545,RA_ID671
R_ID1553,RA_ID624
R_ID1559,RA_ID310
R_ID1566,RA_ID205
R_ID1571,RA_ID740
R_ID1576,RA_ID633
R_ID1577,RA_ID777
R_ID1586,RA_ID339
R_ID1587,RA_ID239
R_ID1591,RA_ID112
R_ID1599,RA_ID74
R_ID1600,RA_ID327
R_ID1604,RA_ID151
R_ID1608,RA_ID520
R_ID1608,RA_ID69
R_ID1612,RA_ID196
R_ID1620,RA_ID554
R_ID1621,RA_ID470
R_ID1624,RA_ID128
R_ID1624,RA_ID28
R_ID1624,RA_ID536
R_ID1624,RA_ID756
R_ID1625,RA_ID396
R_ID1628,RA_ID618
R_ID1630,RA_ID694
R_ID1631,RA_ID556
R_ID1632,RA_ID788
R_ID1635,RA_ID470
R_ID1641,RA_ID561
R_ID1681,RA_ID706
R_ID1685,RA_ID798
R_ID1686,RA_ID299
R_ID1690,RA_ID239
R_ID1692,RA_ID790
R_ID1695,RA_ID465
R_ID1698,RA_ID152
R_ID1707,RA_ID353
R_ID1708,RA_ID489
R_ID1708,RA_ID661
R_ID1708,RA_ID726
R_ID1710,RA_ID631
R_ID1712,RA_ID106
R_ID1712,RA_ID290
R_ID1712,RA_ID551
R_ID1712,RA_ID659
R_ID1714,RA_ID100
R_ID1715,RA_ID399
R_ID1718,RA_ID52
R_ID1718,RA_ID583
R_ID1724,RA_ID525
R_ID1724,RA_ID589
R_ID1724,RA_ID654
R_ID1725,RA_ID186
R_ID1725,RA_ID344
R_ID1726,RA_ID642
R_ID1730,RA_ID174
R_ID1730,RA_ID33
R_ID1747,RA_ID427
R_ID1748,RA_ID335
R_ID1753,RA_ID27
R_ID1755,RA_ID632
R_ID1760,RA_ID688
R_ID1760,RA_ID783
R_ID1773,RA_ID2
R_ID1776,RA_ID406
R_ID1776,RA_ID441
R_ID1781,RA_ID309
R_ID1781,RA_ID357
R_ID1781,RA_ID389
R_ID1781,RA_ID620
R_ID1791,RA_ID99
R_ID1798,RA_ID613
R_ID1798,RA_ID623
R_ID1798,RA_ID643
R_ID1800,RA_ID181
R_ID1800,RA_ID592
R_ID1800,RA_ID676
R_ID1802,RA_ID166
R_ID1804,RA_ID47
R_ID1805,RA_ID34
R_ID1805,RA_ID573
R_ID1805,RA_ID642
R_ID1805,RA_ID8
R_ID1807,RA_ID325
R_ID1807,RA_ID559
R_ID1807,RA_ID649
R_ID1811,RA_ID239
R_ID1811,RA_ID508
R_ID1811,RA_ID520
R_ID1811,RA_ID663
R_ID1819,RA_ID27
R_ID1819,RA_ID596
R_ID1819,RA_ID764
R_ID1819,RA_ID84
R_ID1825,RA_ID384
R_ID1826,RA_ID662
R_ID1835,RA_ID660
R_ID1836,RA_ID220
R_ID1837,RA_ID345
R_ID1837,RA_ID90
R_ID1843,RA_ID152
R_ID1844,RA_ID24
R_ID1847,RA_ID161
R_ID1848,RA_ID65
R_ID1849,RA_ID9
R_ID1856,RA_ID501
R_ID1857,RA_ID550
R_ID1862,RA_ID277
R_ID1863,RA_ID247
R_ID1863,RA_ID376
R_ID1864,RA_ID546
R_ID1866,RA_ID796
R_ID1867,RA_ID181
R_ID1867,RA_ID426
R_ID1867,RA_ID432
R_ID1867,RA_ID531
R_ID1873,RA_ID614
R_ID1874,RA_ID327
R_ID1875,RA_ID408
R_ID1880,RA_ID181
R_ID1880,RA_ID714
R_ID1881,RA_ID28
R_ID1881,RA_ID633
R_ID1883,RA_ID425
R_ID1891,RA_ID152
R_ID1891,RA_ID211
R_ID1891,RA_ID411
R_ID1900,RA_ID223
R_ID1900,RA_ID351
R_ID1900,RA_ID791
R_ID1900,RA_ID98
R_ID1912,RA_ID253
R_ID1912,RA_ID336
R_ID1918,RA_ID116
R_ID1918,RA_ID493
R_ID1918,RA_ID682
R_ID1919,RA_ID554
R_ID1920,RA_ID325
R_ID1922,RA_ID542
R_ID1923,RA_ID148
R_ID1932,RA_ID620
R_ID1933,RA_ID421
R_ID1936,RA_ID344
R_ID1937,RA_ID136
R_ID1937,RA_ID521
R_ID1937,RA_ID687
R_ID1952,RA_ID351
R_ID1962,RA_ID702
R_ID1970,RA_ID190
R_ID1970,RA_ID715
R_ID1978,RA_ID352
R_ID1985,RA_ID285
R_ID1986,RA_ID209
R_ID1988,RA_ID529
R_ID1996,RA_ID598
R_ID1998,RA_ID47
R_ID1998,RA_ID682
R_ID1999,RA_ID362
R_ID2012,RA_ID449
R_ID2014,RA_ID596
R_ID2014,RA_ID682
R_ID2014,RA_ID732
R_ID2016,RA_ID673
R_ID2016,RA_ID725
R_ID2018,RA_ID732
R_ID2020,RA_ID199
R_ID2021,RA_ID549
R_ID2023,RA_ID220
R_ID2023,RA_ID225
R_ID2023,RA_ID338
R_ID2025,RA_ID373
R_ID2025,RA_ID452
R_ID2028,RA_ID580
R_ID2028,RA_ID594
R_ID2029,RA_ID60
R_ID2030,RA_ID190
R_ID2030,RA_ID609
R_ID2036,RA_ID104
R_ID2036,RA_ID40
R_ID2038,RA_ID351
R_ID2038,RA_ID93
R_ID2039,RA_ID619
R_ID2051,RA_ID135
R_ID2051,RA_ID203
R_ID2051,RA_ID54
R_ID2051,RA_ID593
R_ID2052,RA_ID686
R_ID2056,RA_ID678
R_ID2058,RA_ID624
R_ID2059,RA_ID559
R_ID2061,RA_ID122
R_ID2061,RA_ID551
R_ID2061,RA_ID622
R_ID2061,RA_ID739
R_ID2067,RA_ID416
R_ID2067,RA_ID599
R_ID2071,RA_ID792
R_ID2075,RA_ID362
R_ID2080,RA_ID284
R_ID2089,RA_ID104
R_ID2095,RA_ID163
R_ID2096,RA_ID242
R_ID2097,RA_ID794
R_ID2107,RA_ID558
R_ID2108,RA_ID585
R_ID2109,RA_ID7
R_ID2111,RA_ID125
R_ID2114,RA_ID133
R_ID2114,RA_ID640
R_ID2125,RA_ID532
R_ID2126,RA_ID616
R_ID2132,RA_ID166
R_ID2132,RA_ID184
R_ID2132,RA_ID334
R_ID2132,RA_ID94
R_ID2134,RA_ID589
R_ID2134,RA_ID77
R_ID2139,RA_ID436
R_ID2145,RA_ID373
R_ID2145,RA_ID79
R_ID2153,RA_ID556
R_ID2154,RA_ID235
R_ID2154,RA_ID420
R_ID2154,RA_ID436
R_ID2155,RA_ID472
R_ID2156,RA_ID321
R_ID2160,RA_ID101
R_ID2160,RA_ID773
R_ID2160,RA_ID796
R_ID2163,RA_ID117
R_ID2163,RA_ID182
R_ID2166,RA_ID313
R_ID2172,RA_ID437
R_ID2174,RA_ID235
R_ID2180,RA_ID336
R_ID2182,RA_ID228
R_ID2183,RA_ID156
R_ID2192,RA_ID753
R_ID2195,RA_ID190
R_ID2195,RA_ID648
R_ID2196,RA_ID282
R_ID2196,RA_ID354
R_ID2223,RA_ID124
R_ID2223,RA_ID180
R_ID2223,RA_ID377
R_ID2223,RA_ID621
R_ID2227,RA_ID406
R_ID2231,RA_ID735
R_ID2239,RA_ID68
R_ID2240,RA_ID210
R_ID2240,RA_ID431
R_ID2248,RA_ID88
R_ID2251,RA_ID721
R_ID2259,RA_ID234
R_ID2259,RA_ID57
R_ID2259,RA_ID97
R_ID2271,RA_ID706
R_ID2273,RA_ID226
R_ID2276,RA_ID533
R_ID2287,RA_ID774
R_ID2291,RA_ID174
R_ID2297,RA_ID130
R_ID2313,RA_ID170
R_ID2313,RA_ID404
R_ID2316,RA_ID338
R_ID2318,RA_ID501
R_ID2322,RA_ID575
R_ID2323,RA_ID442
R_ID2323,RA_ID498
R_ID2326,RA_ID583
R_ID2327,RA_ID559
R_ID2330,RA_ID91
R_ID2333,RA_ID273
R_ID2334,RA_ID535
R_ID2340,RA_ID355
R_ID2345,RA_ID555
R_ID2345,RA_ID756
R_ID2346,RA_ID574
R_ID2347,RA_ID218
R_ID2347,RA_ID361
R_ID2347,RA_ID410
R_ID2353,RA_ID553
R_ID2353,RA_ID715
R_ID2357,RA_ID502
R_ID2357,RA_ID617
R_ID2364,RA_ID617
R_ID2368,RA_ID299
R_ID2368,RA_ID50
R_ID2368,RA_ID745
R_ID2370,RA_ID468
R_ID2375,RA_ID12
R_ID2375,RA_ID781
R_ID2376,RA_ID288
R_ID2376,RA_ID614
R_ID2378,RA_ID80
R_ID2379,RA_ID71
R_ID2383,RA_ID787
R_ID2390,RA_ID273
R_ID2390,RA_ID407
R_ID2390,RA_ID485
R_ID2392,RA_ID621
R_ID2401,RA_ID457
R_ID2401,RA_ID70
R_ID2408,RA_ID84
R_ID2416,RA_ID385
R_ID2425,RA_ID678
R_ID2427,RA_ID284
R_ID2438,RA_ID772
R_ID2444,RA_ID495
R_ID2445,RA_ID112
R_ID2445,RA_ID586
R_ID2445,RA_ID741
R_ID2445,RA_ID781
R_ID2447,RA_ID553
R_ID2447,RA_ID664
R_ID2450,RA_ID335
R_ID2462,RA_ID248
R_ID2462,RA_ID262
R_ID2462,RA_ID355
R_ID2467,RA_ID15
R_ID2469,RA_ID210
R_ID2469,RA_ID319
R_ID2483,RA_ID702
R_ID2490,RA_ID518
R_ID2491,RA_ID337
R_ID2496,RA_ID185
R_ID2497,RA_ID292
R_ID2503,RA_ID388
R_ID2505,RA_ID157
R_ID2505,RA_ID189
R_ID2510,RA_ID455
R_ID2512,RA_ID595
R_ID2521,RA_ID439
R_ID2524,RA_ID122
R_ID2524,RA_ID52
R_ID2525,RA_ID167
R_ID2527,RA_ID225
R_ID2527,RA_ID34
R_ID2530,RA_ID649
R_ID2539,RA_ID107
R_ID2542,RA_ID179
R_ID2544,RA_ID422
R_ID2544,RA_ID563
R_ID2547,RA_ID173
R_ID2547,RA_ID566
R_ID2553,RA_ID21
R_ID2554,RA_ID796
R_ID2584,RA_ID599
R_ID2588,RA_ID265
R_ID2590,RA_ID321
R_ID2590,RA_ID685
R_ID2591,RA_ID2
R_ID2591,RA_ID304
R_ID2591,RA_ID567
R_ID2594,RA_ID560
R_ID2595,RA_ID446
R_ID2596,RA_ID243
R_ID2598,RA_ID222
R_ID2598,RA_ID649
R_ID2599,RA_ID471
R_ID2606,RA_ID662
R_ID2613,RA_ID551
R_ID2624,RA_ID578
R_ID2624,RA_ID729
R_ID2628,RA_ID112
R_ID2628,RA_ID13
R_ID2628,RA_ID477
R_ID2628,RA_ID754
R_ID2630,RA_ID670
R_ID2635,RA_ID221
R_ID2636,RA_ID739
R_ID2643,RA_ID53
R_ID2644,RA_ID629
R_ID2648,RA_ID794
R_ID2650,RA_ID157
R_ID2651,RA_ID481
R_ID2658,RA_ID47
R_ID2660,RA_ID462
R_ID2660,RA_ID528
R_ID2661,RA_ID100
R_ID2665,RA_ID319
R_ID2668,RA_ID294
R_ID2670,RA_ID521
R_ID2677,RA_ID440
R_ID2682,RA_ID375
R_ID2684,RA_ID179
R_ID2691,RA_ID244
R_ID2691,RA_ID39
R_ID2691,RA_ID544
R_ID2691,RA_ID611
R_ID2694,RA_ID334
R_ID2695,RA_ID585
R_ID2695,RA_ID632
R_ID2695,RA_ID64
R_ID2695,RA_ID759
R_ID2696,RA_ID289
R_ID2696,RA_ID587
R_ID2698,RA_ID27
R_ID2698,RA_ID342
R_ID2698,RA_ID486
R_ID2698,RA_ID525
R_ID2708,RA_ID181
R_ID2713,RA_ID183
R_ID2715,RA_ID130
R_ID2715,RA_ID94
R_ID2718,RA_ID105
R_ID2718,RA_ID230
R_ID2721,RA_ID354
R_ID2721,RA_ID369
R_ID2723,RA_ID592
R_ID2727,RA_ID322
R_ID2727,RA_ID762
R_ID2741,RA_ID139
R_ID2742,RA_ID26
R_ID2749,RA_ID686
R_ID2756,RA_ID743
R_ID2757,RA_ID122
R_ID2758,RA_ID356
R_ID2758,RA_ID604
R_ID2764,RA_ID111
R_ID2768,RA_ID583
R_ID2769,RA_ID151
R_ID2769,RA_ID186
R_ID2769,RA_ID272
R_ID2769,RA_ID676
R_ID2770,RA_ID342
R_ID2770,RA_ID383
R_ID2776,RA_ID442
R_ID2780,RA_ID657
R_ID2782,RA_ID737
R_ID2784,RA_ID273
R_ID2785,RA_ID426
R_ID2785,RA_ID691
R_ID2787,RA_ID506
R_ID2789,RA_ID531
R_ID2790,RA_ID319
R_ID2792,RA_ID512
