RA_ID,RA_RISK,RA_DESC,RA_LIKELIHOOD,RA_IMPACT,RA_MITIGATED
RA_ID18,Low,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0",Medium,Low,Y
RA_ID19,Medium,"Occurrence of unavoidable single-event upsets caused by cosmic-ray-induced high- and thermalenergy neutrons must be either masked, or detected to fail-stop0",Medium,Low,Y
RA_ID20,Medium,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",Medium,Catastrophic,Y
RA_ID21,Low,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.0",Medium,Low,Y
RA_ID22,Medium,The event log shall record 30 days of typical events before overwriting oldest event records first.0,Medium,Low,Y
RA_ID23,Low,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,Low,Catastrophic,Y
RA_ID24,Medium,The mechanical pump shall not allow reverse flow from the patient into the pump.0,Low,High,Y
RA_ID25,High,Clinician-requested bolus delivery shall be immediately halted when alarms sound.0,Medium,Low,Y
RA_ID26,Low,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Low,Low,Y
RA_ID27,Medium,The PCA pump shall use a physician’s prescription as device parameters.0,Low,Low,Y
RA_ID28,Low,The Control Panel shall provide means to inactivate audible alarms indefinitely0,High,Low,Y
RA_ID29,Medium,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,Low,Catastrophic,Y
RA_ID30,Medium,"If the drug loaded into the drug reservoir is not present in the drug library or the library does not pass authentication and integrity checks, that the drug is unknown0",High,Low,Y
RA_ID31,Medium,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0",Medium,Low,Y
RA_ID32,Low,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0,Low,Low,Y
RA_ID33,High,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0,Medium,Low,Y
RA_ID34,Medium,"When the stop button is pressed, the current pump stroke shall be completed prior to stopping the pump.0",Low,Low,Y
RA_ID35,Low,The scanner shall read and authenticate information from the drug’s package label0,Low,Low,Y
RA_ID36,Low,"display of visual information, and0",Medium,Low,Y
RA_ID37,Low,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",Low,High,Y
RA_ID38,High,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,Low,Low,Y
RA_ID39,Low,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,Low,High,Y
RA_ID40,Medium,"–removed, must scan Rx from label of drug container0",Low,Low,Y
RA_ID41,High,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.0",Low,Low,Y
RA_ID42,Medium,"–requirement removed, Rx read from drug container by scanner0",Low,Low,Y
RA_ID43,Low,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",Low,Low,Y
RA_ID44,Low,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0",Medium,Low,Y
RA_ID45,Low,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",Low,High,Y
RA_ID46,Low,The scanner shall read and authenticate information from the clinician’s badge0,Low,Low,Y
RA_ID47,Low,"Changing prescription during infusion shall require prescription confirmation61, clinician authentication62, patient authentication63, prescription authentication64 (patient-to-drug match) and drug authentication0",Medium,High,Y
RA_ID48,Medium,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",High,Catastrophic,Y
RA_ID49,Low,sound of audible alarm0,Medium,Low,Y
RA_ID50,Low,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0",Low,Catastrophic,Y
RA_ID51,Low,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.0,Low,Catastrophic,Y
RA_ID52,Low,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0",Medium,Catastrophic,Y
RA_ID53,High,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,Low,High,Y
RA_ID54,Low,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated0",Low,Low,Y
RA_ID55,Low,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0,Low,Catastrophic,Y
RA_ID56,Low,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,Low,Low,Y
RA_ID57,Low,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,Low,Low,Y
RA_ID58,Low,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,Low,Low,Y
RA_ID59,Low,A real-time clock must produce timestamps accurate to 10 ms.0,Medium,Low,Y
RA_ID60,Low,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,Medium,Low,Y
RA_ID61,Medium,Alarms shall be issued in order of occurrence.0,Medium,Low,Y
RA_ID62,Low,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Medium,Low,Y
RA_ID63,Medium,Patient-requested bolus delivery shall be immediately halted when alarms sound.0,Low,Low,Y
RA_ID64,Medium,The PCA pump shall have a stop button0,Low,Low,Y
RA_ID65,Low,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",Medium,Low,Y
RA_ID66,Low,The scanner shall read and authenticate information from the patient’s wristband0,Low,Low,Y
RA_ID67,Low,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",Low,Low,Y
RA_ID68,Medium,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0,High,Low,Y
RA_ID69,Medium,"Alarms shall cause audible alarms signals that meet the requirements of Tables 203 and 204 of standard IEC 60601-1-8 for alarm pulses, bursts, and harmonics.0",High,Catastrophic,Y
RA_ID70,Low,All materials that contact fluid shall be biocompatible0,Low,Low,Y
RA_ID71,Low,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,Low,Low,Y
RA_ID72,Medium,The PCA pump must not leak current greater than 10 mA0,Medium,Low,Y
RA_ID73,High,The control panel must display currently-programmed patient data and physician’s prescription.0,Medium,Low,Y
RA_ID74,Low,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.0,Low,Low,Y
RA_ID75,Low,The PCA pump shall detect downstream occlusion.0,Low,Low,Y
RA_ID76,Low,The Control Panel shall provide means to cancel alarm signal inactivation.0,Medium,Low,Y
RA_ID77,Low,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.0,Low,Low,Y
RA_ID78,Low,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",Low,Catastrophic,Y
RA_ID79,Low,"The mechanical pump shall pump drug at prescribed flow rates for basal, bolus, and KVO infusion when commanded.0",Medium,Low,N
RA_ID80,Low,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.0,Low,High,Y
RA_ID81,Low,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0",Low,Low,Y
RA_ID82,Medium,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,High,Catastrophic,Y
RA_ID83,Medium,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",Low,Catastrophic,Y
RA_ID84,Low,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,Low,Low,Y
RA_ID85,High,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,Low,Low,Y
RA_ID86,Low,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.0,Low,High,Y
RA_ID87,Low,–removed all Rx entry via scanner0,Medium,High,Y
RA_ID88,Medium,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)0,Low,Low,N
RA_ID89,Low,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,Medium,Low,Y
RA_ID90,Medium,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0,Medium,Low,Y
RA_ID91,Medium,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Low,Catastrophic,Y
RA_ID92,Medium,The PCA pump shall implement a safety architecture112 that separates normal operation from fault detection and response.0,Medium,High,Y
RA_ID93,Medium,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.0,Low,Low,Y
RA_ID94,High,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0,Low,Low,Y
RA_ID95,Low,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.0",Low,High,Y
RA_ID96,Low,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.0,Medium,Low,Y
RA_ID97,Low,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.0,Low,High,Y
RA_ID98,Low,The fault log shall record at least 1000 faults before overwriting oldest fault records first.0,Medium,Low,Y
RA_ID99,Medium,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.0",High,Low,Y
RA_ID100,Medium,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",Low,Low,Y
RA_ID101,Low,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,Medium,Catastrophic,Y
RA_ID102,Medium,tactile response (button press).0,Low,Low,Y
RA_ID103,Low,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",Low,High,Y
RA_ID104,Medium,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.0",Low,Low,Y
RA_ID105,Medium,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",Low,Catastrophic,Y
RA_ID106,Medium,An authorized clinician must personally confirm the prescription97 is authentic and meant for the patient to be infused. The routine procedures by which clinicians load the drug reservoir must ensure that the prescription filled by an authorized0,Medium,Low,Y
RA_ID107,Medium,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,Low,Low,Y
RA_ID108,Low,"The PCA pump shall perform a power-on-self-test (POST) to assure system integrity after being turned on, yet before any infusion begins. Failure of POST shall raise a POST alarm, stop pump0",Medium,Low,Y
RA_ID109,Low,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.0",Low,Low,Y
RA_ID110,Low,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)0",High,Low,Y
RA_ID111,Low,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Low,Low,Y
RA_ID112,Low,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,Low,Catastrophic,Y
RA_ID113,Medium,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.0,Low,Low,Y
RA_ID114,Low,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0",Low,Low,Y
RA_ID115,Low,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.0",Low,High,Y
RA_ID116,High,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,High,Low,Y
RA_ID117,Medium,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.1",High,Low,Y
RA_ID118,Low,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.1,Low,Catastrophic,Y
RA_ID119,Low,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.1",Low,Catastrophic,Y
RA_ID120,Low,The PCA pump shall detect upstream occlusion.1,Low,Low,Y
RA_ID121,Low,The fault log shall record at least 1000 faults before overwriting oldest fault records first.1,Low,Catastrophic,Y
RA_ID122,Low,The PCA pump shall detect air-in-line embolism (bubble).1,Low,Low,N
RA_ID123,Low,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment1,Low,Low,Y
RA_ID124,Low,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.1",Medium,Low,Y
RA_ID125,Low,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.1,Low,Low,Y
RA_ID126,Low,The PCA pump shall detect downstream occlusion.1,Low,Low,Y
RA_ID127,Medium,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.1,Low,Catastrophic,Y
RA_ID128,Medium,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.1,Low,Low,Y
RA_ID129,Low,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.1",Medium,Low,Y
RA_ID130,Low,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.1",Low,Catastrophic,Y
RA_ID131,Low,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.1",Low,High,Y
RA_ID132,Low,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.1",Medium,Low,Y
RA_ID133,Low,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.1",Low,Low,N
RA_ID134,Medium,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.1",Low,Low,Y
RA_ID135,Low,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.1,Low,Low,Y
RA_ID136,Medium,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.1,Medium,Low,Y
RA_ID137,Low,sound of audible alarm1,Low,Low,Y
RA_ID138,Low,Patient-requested bolus delivery shall be immediately halted when alarms sound.1,Low,High,Y
RA_ID139,Low,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.1,Low,Low,Y
RA_ID140,High,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.1,Low,Low,Y
RA_ID141,Medium,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.1",Medium,Low,Y
RA_ID142,Low,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.1,Low,Low,Y
RA_ID143,Medium,"The PCA pump shall perform a power-on-self-test (POST) to assure system integrity after being turned on, yet before any infusion begins. Failure of POST shall raise a POST alarm, stop pump1",High,Low,Y
RA_ID144,Medium,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.31,Medium,Low,Y
RA_ID145,Low,The control panel must display currently-programmed patient data and physician’s prescription.1,Low,Catastrophic,Y
RA_ID146,Low,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.1,Low,Low,Y
RA_ID147,Medium,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.1,Low,High,Y
RA_ID148,Low,The Control Panel shall provide means to inactivate audible alarms indefinitely1,Low,Low,Y
RA_ID149,Low,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).1,Medium,Low,Y
RA_ID150,Medium,Component failure must not harm patient (beyond stopping function).1,Low,Low,Y
RA_ID151,High,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.1",Medium,Low,Y
RA_ID152,Low,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)1,Low,Low,N
RA_ID153,Medium,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.1",Medium,Low,Y
RA_ID154,High,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.1",Medium,Low,Y
RA_ID155,Low,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.1,Medium,Low,Y
RA_ID156,Medium,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).1",Low,Low,Y
RA_ID157,Low,"When the stop button is pressed, the current pump stroke shall be completed prior to stopping the pump.1",Low,Low,Y
RA_ID158,Low,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.1,Low,Low,Y
RA_ID159,Low,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.1,Low,Low,Y
RA_ID160,Medium,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)1,Low,Low,Y
RA_ID161,Low,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE1",High,Catastrophic,Y
RA_ID162,Low,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.1,Low,Low,Y
RA_ID163,Low,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.1,Low,Low,Y
RA_ID164,Medium,The PCA pump shall have a stop button1,Low,Low,Y
RA_ID165,Low,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke1",Low,Low,Y
RA_ID166,Low,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.1,Medium,Low,Y
RA_ID167,Low,"During normal use and/or single fault condition of the equipment, continuous reverse delivery115 shall not be possible (from IEC 601-2-24)1",Low,Low,Y
RA_ID168,High,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.1,Low,Catastrophic,Y
RA_ID169,High,"Alarms shall cause audible alarms signals that meet the requirements of Tables 203 and 204 of standard IEC 60601-1-8 for alarm pulses, bursts, and harmonics.1",Low,Low,Y
RA_ID170,Low,The PCA pump must not leak current greater than 10 mA1,Medium,Low,Y
RA_ID171,Low,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).1",Medium,Low,Y
RA_ID172,Low,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.1,Low,Low,Y
RA_ID173,Low,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.1",Medium,Low,Y
RA_ID174,Low,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided1",High,Low,N
RA_ID175,Low,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.1",Medium,Catastrophic,N
RA_ID176,Low,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.1",Low,Low,Y
RA_ID177,Low,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.1",Low,Low,Y
RA_ID178,Low,The event log shall record 30 days of typical events before overwriting oldest event records first.1,Low,Low,Y
RA_ID179,Low,A real-time clock must produce timestamps accurate to 10 ms.1,Low,Low,N
RA_ID180,Low,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions1",Low,Low,Y
RA_ID181,Medium,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.1,Low,Catastrophic,Y
RA_ID182,Low,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.1,Medium,High,Y
RA_ID183,Medium,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.1",Low,High,N
RA_ID184,Low,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.1,Low,Catastrophic,Y
RA_ID185,Low,The scanner shall read and authenticate information from the drug’s package label1,Medium,Low,Y
RA_ID186,High,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated1",Low,Low,Y
RA_ID187,Low,"If the drug loaded into the drug reservoir is not present in the drug library or the library does not pass authentication and integrity checks, that the drug is unknown1",Low,Low,Y
RA_ID188,Medium,–removed all Rx entry via scanner1,Low,Catastrophic,Y
RA_ID189,Low,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.1",Low,Low,Y
RA_ID190,Low,Alarms shall be issued in order of occurrence.1,Low,Catastrophic,Y
RA_ID191,Medium,Clinician-requested bolus delivery shall be immediately halted when alarms sound.1,Low,Low,Y
RA_ID192,Low,The PCA pump shall implement a safety architecture112 that separates normal operation from fault detection and response.1,Low,High,Y
RA_ID193,Low,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.1",Low,Catastrophic,Y
RA_ID194,Medium,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.1",Medium,Low,Y
RA_ID195,Medium,The mechanical pump shall not allow reverse flow from the patient into the pump.1,Medium,Low,Y
RA_ID196,Medium,The PCA pump shall have a start button.1,Low,Low,Y
RA_ID197,Medium,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.1",Low,High,Y
RA_ID198,Low,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow1",Low,Low,Y
RA_ID199,High,The scanner shall read and authenticate information from the patient’s wristband1,Low,Low,Y
RA_ID200,Low,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops1",Low,High,Y
RA_ID201,High,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.1,Medium,Low,Y
RA_ID202,Low,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.1,Low,Low,Y
RA_ID203,Low,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.1,Low,Low,Y
RA_ID204,Low,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi1,Low,Catastrophic,Y
RA_ID205,Low,All materials that contact fluid shall be biocompatible1,Low,Catastrophic,Y
RA_ID206,Low,The PCA pump shall issue alarms and warnings that require clinician attention.1,Medium,Low,N
RA_ID207,Low,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.1,Low,Low,Y
RA_ID208,Low,"–removed, must scan Rx from label of drug container1",Medium,High,Y
RA_ID209,Low,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.1,Medium,Low,Y
RA_ID210,Low,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.1",Low,Catastrophic,Y
RA_ID211,Medium,The PCA pump shall use a physician’s prescription as device parameters.1,Low,Low,Y
