CC_ID,CC_NAME,CC_DATE,CC_VER,CC_DESC,CC_LOC
CC_ID15,CC_NAME1466,2015-08-11,V3,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\SSTableMetadataViewer.java0
CC_ID16,CC_NAME2372,2015-08-17,V6,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\AlterTableStatement.java0
CC_ID17,CC_NAME5250,2015-08-06,V2,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\UserType.java0
CC_ID18,CC_NAME2023,2015-08-25,V5,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\AbstractQueryPager.java0
CC_ID19,CC_NAME9284,2015-08-10,V4,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogArchiver.java0
CC_ID20,CC_NAME6352,2015-08-28,V1,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\UpdateParameters.java0
CC_ID21,CC_NAME7262,2015-08-07,V6,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TCustomServerSocket.java0
CC_ID22,CC_NAME7756,2015-07-08,V1,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\BytesReadTracker.java0
CC_ID23,CC_NAME75,2015-08-28,V1,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\SelectorFactories.java0
CC_ID24,CC_NAME4344,2015-08-10,V0,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\ExcludingBounds.java0
CC_ID25,CC_NAME7119,2015-07-07,V7,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\ProxyHistograms.java0
CC_ID26,CC_NAME275,2015-07-10,V2,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestSynVerbHandler.java0
CC_ID27,CC_NAME3959,2015-07-06,V1,"display of visual information, and0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\metadata\LegacyMetadataSerializer.java0
CC_ID28,CC_NAME8439,2015-07-14,V2,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundDenseCellName.java0
CC_ID29,CC_NAME3626,2015-08-21,V3,Patient-requested bolus delivery shall be immediately halted when alarms sound.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TFramedTransportFactory.java0
CC_ID30,CC_NAME2995,2015-08-19,V3,The scanner shall read and authenticate information from the drug’s package label0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\format\SSTableReader.java0
CC_ID31,CC_NAME3633,2015-07-28,V5,"During normal use and/or single fault condition of the equipment, continuous reverse delivery115 shall not be possible (from IEC 601-2-24)0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\SecondaryIndexSearcher.java0
CC_ID32,CC_NAME5131,2015-07-16,V5,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\OverloadedException.java0
CC_ID33,CC_NAME9187,2015-08-17,V5,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferExpiringCell.java0
CC_ID34,CC_NAME9192,2015-07-15,V4,tactile response (button press).0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\format\big\BigTableScanner.java0
CC_ID35,CC_NAME5533,2015-07-28,V2,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\SlabPool.java0
CC_ID36,CC_NAME1987,2015-08-17,V2,The PCA pump shall issue alarms and warnings that require clinician attention.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\FileCacheService.java0
CC_ID37,CC_NAME6319,2015-07-29,V3,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheSentinel.java0
CC_ID38,CC_NAME2264,2015-08-18,V6,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\RequestExecutionException.java0
CC_ID39,CC_NAME2701,2015-07-07,V3,The control panel must display currently-programmed patient data and physician’s prescription.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\NopCacheProvider.java0
CC_ID40,CC_NAME531,2015-07-09,V5,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamReceiveTask.java0
CC_ID41,CC_NAME9891,2015-08-31,V1,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\RowDataResolver.java0
CC_ID42,CC_NAME2056,2015-07-27,V4,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\CreateTypeStatement.java0
CC_ID43,CC_NAME7607,2015-07-03,V5,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\SafeMemory.java0
CC_ID44,CC_NAME387,2015-07-30,V5,sound of audible alarm0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\GetVersion.java0
CC_ID45,CC_NAME8133,2015-07-21,V3,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\InvalidateRowCache.java0
CC_ID46,CC_NAME9344,2015-07-24,V2,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractComposite.java0
CC_ID47,CC_NAME5740,2015-08-04,V2,"When the stop button is pressed, the current pump stroke shall be completed prior to stopping the pump.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\SetHostStat.java0
CC_ID48,CC_NAME4586,2015-07-01,V0,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\net\OutboundTcpConnectionPool.java0
CC_ID49,CC_NAME7567,2015-07-02,V5,"–removed, must scan Rx from label of drug container0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\metrics\StreamingMetrics.java0
CC_ID50,CC_NAME5221,2015-07-13,V0,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\ColumnFamilyInputFormat.java0
CC_ID51,CC_NAME3142,2015-07-24,V6,The scanner shall read and authenticate information from the clinician’s badge0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\AuthenticationException.java0
CC_ID52,CC_NAME4295,2015-07-09,V4,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\ChannelProxy.java0
CC_ID53,CC_NAME5535,2015-07-27,V5,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\KeyIterator.java0
CC_ID54,CC_NAME2724,2015-07-15,V3,"If delivered basal flow rate exceeds the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow, the pump shall issue an basal over-infusion alarm (EC3.2.7).0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\concurrent\OpOrder.java0
CC_ID55,CC_NAME6509,2015-07-10,V1,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamSummary.java0
CC_ID56,CC_NAME6186,2015-07-16,V2,Each log entry shall have a time stamp81 with its time of occurrence.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StartupCheck.java0
CC_ID57,CC_NAME859,2015-07-07,V2,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheProvider.java0
CC_ID58,CC_NAME7533,2015-08-25,V1,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\CounterColumnType.java0
CC_ID59,CC_NAME2198,2015-08-25,V3,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\Composite.java0
CC_ID60,CC_NAME6750,2015-08-13,V3,An authorized clinician must personally confirm the prescription97 is authentic and meant for the patient to be infused. The routine procedures by which clinicians load the drug reservoir must ensure that the prescription filled by an authorized0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompositesBuilder.java0
CC_ID61,CC_NAME91,2015-08-28,V4,"Occurrence of unavoidable single-event upsets caused by cosmic-ray-induced high- and thermalenergy neutrons must be either masked, or detected to fail-stop0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\BooleanSerializer.java0
CC_ID62,CC_NAME2466,2015-08-17,V2,"If the drug loaded into the drug reservoir is not present in the drug library or the library does not pass authentication and integrity checks, that the drug is unknown0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\EstimatedHistogram.java0
CC_ID63,CC_NAME1033,2015-08-04,V0,"–requirement removed, Rx read from drug container by scanner0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\streaming\StreamTransferTask.java0
CC_ID64,CC_NAME3721,2015-07-02,V0,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\CRC32Factory.java0
CC_ID65,CC_NAME174,2015-07-21,V2,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnCondition.java0
CC_ID66,CC_NAME4461,2015-07-14,V0,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemtableCleanerThread.java0
CC_ID67,CC_NAME5859,2015-08-19,V4,The PCA pump shall detect upstream occlusion.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\RangeKeySample.java0
CC_ID68,CC_NAME3825,2015-07-03,V6,"The PCA pump shall perform a power-on-self-test (POST) to assure system integrity after being turned on, yet before any infusion begins. Failure of POST shall raise a POST alarm, stop pump0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\SelectStatement.java0
CC_ID69,CC_NAME9630,2015-08-03,V3,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\PrimaryKeyRestrictionSet.java0
CC_ID70,CC_NAME7708,2015-08-18,V6,The PCA pump shall use a physician’s prescription as device parameters.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tracing\Tracing.java0
CC_ID71,CC_NAME4571,2015-08-28,V0,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\TruncateException.java0
CC_ID72,CC_NAME321,2015-08-28,V3,The PCA pump shall detect battery failure and issue a battery failure alarm0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\ISSTableSerializer.java0
CC_ID73,CC_NAME9969,2015-08-10,V3,Component failure must not harm patient (beyond stopping function).0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\DropKeyspaceStatement.java0
CC_ID74,CC_NAME2873,2015-07-16,V3,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\repair\StreamingRepairTask.java0
CC_ID75,CC_NAME8037,2015-07-21,V6,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\CompressedPoolingSegmentedFile.java0
CC_ID76,CC_NAME3121,2015-07-14,V7,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnRegular.java0
CC_ID77,CC_NAME5964,2015-08-03,V1,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\client\RingCache.java0
CC_ID78,CC_NAME9757,2015-08-07,V1,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\compress\CompressionParameters.java0
CC_ID79,CC_NAME6419,2015-07-20,V1,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tracing\ExpiredTraceState.java0
CC_ID80,CC_NAME8221,2015-07-28,V6,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\ColumnStats.java0
CC_ID81,CC_NAME4859,2015-07-29,V2,Clinician-requested bolus delivery shall be immediately halted when alarms sound.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\metrics\CommitLogMetrics.java0
CC_ID82,CC_NAME1812,2015-07-27,V2,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\keys\KeysIndex.java0
CC_ID83,CC_NAME5161,2015-07-27,V2,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\ActiveRepairService.java0
CC_ID84,CC_NAME2746,2015-08-13,V6,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\DatacenterSyncWriteResponseHandler.java0
CC_ID85,CC_NAME6672,2015-07-06,V0,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\CFMetaData.java0
CC_ID86,CC_NAME2668,2015-07-08,V2,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\QueryState.java0
CC_ID87,CC_NAME6518,2015-08-17,V1,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\pager\SliceQueryPager.java0
CC_ID88,CC_NAME2576,2015-07-15,V4,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\NativeDecoratedKey.java0
CC_ID89,CC_NAME5128,2015-08-13,V1,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\concurrent\Locks.java0
CC_ID90,CC_NAME3728,2015-07-08,V2,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\AbstractRestriction.java0
CC_ID91,CC_NAME1060,2015-08-07,V5,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Permission.java0
CC_ID92,CC_NAME5101,2015-08-12,V0,–removed all Rx entry via scanner0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\EnableBackup.java0
CC_ID93,CC_NAME7126,2015-07-21,V1,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutorMBean.java0
CC_ID94,CC_NAME7171,2015-07-06,V6,The ICE interface shall transmit encrypted and authenticated alarms and warnings to the ICE system.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\BufferedDataOutputStreamPlus.java0
CC_ID95,CC_NAME8325,2015-08-07,V3,The PCA pump shall detect air-in-line embolism (bubble).0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\AlterKeyspaceStatement.java0
CC_ID96,CC_NAME2130,2015-08-21,V5,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ICache.java0
CC_ID97,CC_NAME1771,2015-07-07,V5,The drug reservoir shall measure its contents.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\TokenSerializer.java0
CC_ID98,CC_NAME8931,2015-08-05,V4,The PCA pump shall have a stop button0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\ICompressedFile.java0
CC_ID99,CC_NAME858,2015-07-21,V2,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\AbstractCompactedRow.java0
CC_ID100,CC_NAME84,2015-07-23,V5,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\Compact.java0
CC_ID101,CC_NAME5871,2015-07-28,V5,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferDeletedCell.java0
CC_ID102,CC_NAME1007,2015-08-26,V5,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\ThrottledReader.java0
CC_ID103,CC_NAME415,2015-07-31,V6,A real-time clock must produce timestamps accurate to 10 ms.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnPartitionKey.java0
CC_ID104,CC_NAME6751,2015-07-17,V3,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\ClientState.java0
CC_ID105,CC_NAME5669,2015-07-21,V4,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\transport\messages\SupportedMessage.java0
CC_ID106,CC_NAME171,2015-07-23,V3,tactile response (button press).1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemtableBufferAllocator.java0
CC_ID107,CC_NAME6063,2015-08-07,V5,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\DropAggregateStatement.java0
CC_ID108,CC_NAME677,2015-07-03,V0,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\locator\LocalStrategy.java0
CC_ID109,CC_NAME4634,2015-08-18,V4,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\metadata\MetadataSerializer.java0
CC_ID110,CC_NAME8168,2015-07-17,V1,"Occurrence of unavoidable single-event upsets caused by cosmic-ray-induced high- and thermalenergy neutrons must be either masked, or detected to fail-stop1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundSparseCellName.java0
CC_ID111,CC_NAME1012,2015-07-20,V3,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\FieldSelector.java0
CC_ID112,CC_NAME1955,2015-07-29,V4,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQL3Type.java0
CC_ID113,CC_NAME6062,2015-07-22,V6,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\NativeAllocator.java0
CC_ID114,CC_NAME2273,2015-07-17,V3,The scanner shall read and authenticate information from the clinician’s badge1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\MemoryInputStream.java0
CC_ID115,CC_NAME6145,2015-07-29,V4,"During normal use and/or single fault condition of the equipment, continuous reverse delivery115 shall not be possible (from IEC 601-2-24)1",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\btree\BTree.java0
