RA_ID,RA_RISK,RA_DESC,RA_LIKELIHOOD,RA_IMPACT,RA_MITIGATED
RA_ID64,Medium,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.0",Medium,Low,Y
RA_ID65,Medium,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.0",Low,Low,Y
RA_ID66,Medium,"–removed, must scan Rx from label of drug container0",Medium,Low,Y
RA_ID67,Low,The PCA pump shall issue alarms and warnings that require clinician attention.0,Medium,Low,Y
RA_ID68,Low,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",Low,High,Y
RA_ID69,Low,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,Low,Low,Y
RA_ID70,Low,tactile response (button press).0,Low,Low,Y
RA_ID71,Low,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",Medium,Low,Y
RA_ID72,Low,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.0",Low,Low,Y
RA_ID73,High,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.0,Low,Low,Y
RA_ID74,High,Each log entry shall have a time stamp81 with its time of occurrence.0,Low,High,Y
RA_ID75,Low,The PCA pump shall use a physician’s prescription as device parameters.0,Low,Catastrophic,Y
RA_ID76,Low,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0",High,Low,Y
RA_ID77,Low,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0,High,High,Y
RA_ID78,Low,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.0,Medium,Low,Y
RA_ID79,Low,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,Low,Catastrophic,Y
RA_ID80,Medium,"Changing prescription during infusion shall require prescription confirmation61, clinician authentication62, patient authentication63, prescription authentication64 (patient-to-drug match) and drug authentication0",Low,Low,N
RA_ID81,Low,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.0",Low,High,Y
RA_ID82,Low,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.0",Medium,Low,Y
RA_ID83,Medium,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,Medium,High,Y
RA_ID84,Low,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,High,Low,Y
RA_ID85,Low,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0,Low,Low,Y
RA_ID86,Low,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Low,Low,Y
RA_ID87,Low,–removed all Rx entry via scanner0,Low,Catastrophic,Y
RA_ID88,Medium,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0",Medium,High,Y
RA_ID89,Low,The Control Panel shall provide means to cancel alarm signal inactivation.0,Medium,Low,Y
RA_ID90,High,The control panel shall allow authorized clinician bolus request 60 and choice of duration.0,Low,High,Y
RA_ID91,Low,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,Low,Low,Y
RA_ID92,Medium,"The mechanical pump shall pump drug at prescribed flow rates for basal, bolus, and KVO infusion when commanded.0",Low,Catastrophic,Y
RA_ID93,Low,"display of visual information, and0",Low,Catastrophic,N
RA_ID94,Medium,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,Low,Low,Y
RA_ID95,Low,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,Low,Low,Y
RA_ID96,Low,The PCA pump shall detect downstream occlusion.0,Medium,Low,Y
RA_ID97,Low,The PCA pump must not leak current greater than 10 mA0,Medium,High,Y
RA_ID98,High,The control panel must display currently-programmed patient data and physician’s prescription.0,High,Low,Y
RA_ID99,Low,The PCA pump shall detect air-in-line embolism (bubble).0,Low,Low,Y
RA_ID100,Low,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,Low,Low,Y
RA_ID101,Medium,"Alarms shall cause audible alarms signals that meet the requirements of Tables 203 and 204 of standard IEC 60601-1-8 for alarm pulses, bursts, and harmonics.0",Medium,Low,Y
RA_ID102,Low,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.0",Low,Low,Y
RA_ID103,Low,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)0,Medium,Catastrophic,Y
RA_ID104,Medium,The scanner shall read and authenticate information from the drug’s package label0,Low,Low,Y
RA_ID105,Low,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Low,Low,Y
RA_ID106,Medium,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,High,Low,Y
RA_ID107,Low,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",Low,Catastrophic,Y
RA_ID108,Medium,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,Low,Catastrophic,Y
RA_ID109,Low,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,Low,Low,Y
RA_ID110,Low,The patient’s prescription shall be retained for at least ?data = 96 hours after the PCA pump is turned-off and unplugged.0,Low,Low,N
RA_ID111,Medium,"–requirement removed, Rx read from drug container by scanner0",Low,Low,Y
RA_ID112,Medium,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,High,High,Y
RA_ID113,Low,The PCA pump shall detect upstream occlusion.0,Low,Low,Y
RA_ID114,Medium,Alarms shall be issued in order of occurrence.0,Low,Low,Y
RA_ID115,Medium,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",Medium,High,Y
RA_ID116,Low,A real-time clock must produce timestamps accurate to 10 ms.0,Medium,Low,Y
RA_ID117,Low,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.1,Low,Low,Y
RA_ID118,Low,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.1",Low,Low,Y
RA_ID119,High,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.1,Low,Catastrophic,Y
RA_ID120,Low,The mechanical pump shall not allow reverse flow from the patient into the pump.1,Low,Catastrophic,N
RA_ID121,Low,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.1",Low,Catastrophic,Y
RA_ID122,Low,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.1,Medium,Low,Y
RA_ID123,Low,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.1,High,Low,Y
RA_ID124,Low,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.1",Low,Low,Y
RA_ID125,Medium,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.1,Low,High,Y
RA_ID126,Low,The estimate of remaining battery energy must be accurate to within Xbtty = 25%.1,Medium,High,N
RA_ID127,Low,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE1",Low,Catastrophic,Y
RA_ID128,Medium,The Control Panel shall provide means to cancel alarm signal inactivation.1,Medium,High,Y
RA_ID129,High,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.1,Low,Catastrophic,Y
RA_ID130,Medium,The PCA pump shall detect battery failure and issue a battery failure alarm1,Low,High,Y
RA_ID131,Low,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.1,Low,Catastrophic,Y
RA_ID132,Medium,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.1,High,Low,Y
RA_ID133,Low,"display of visual information, and1",Medium,Low,Y
RA_ID134,High,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.1,Low,High,Y
RA_ID135,Medium,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow1",Medium,Low,Y
RA_ID136,Medium,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow1",Medium,Catastrophic,Y
RA_ID137,Low,The control panel must display currently-programmed patient data and physician’s prescription.1,Medium,Low,Y
RA_ID138,Low,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.1",Low,High,Y
RA_ID139,Low,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.1",Low,Low,Y
RA_ID140,Low,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.1",Low,Low,Y
RA_ID141,Low,The PCA pump shall use a physician’s prescription as device parameters.1,Low,Low,Y
RA_ID142,Low,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.1,Low,Low,Y
RA_ID143,Medium,The patient’s prescription shall be retained for at least ?data = 96 hours after the PCA pump is turned-off and unplugged.1,Low,Low,Y
RA_ID144,High,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.1,Medium,Low,Y
RA_ID145,Medium,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)1",Low,High,Y
RA_ID146,Medium,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.1",Low,Low,Y
RA_ID147,Low,–removed all Rx entry via scanner1,Medium,Low,Y
RA_ID148,Low,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided1",High,Low,Y
RA_ID149,Low,The PCA pump shall have a start button.1,Low,Catastrophic,Y
RA_ID150,Low,The Control Panel shall provide means to inactivate audible alarms indefinitely1,Medium,Low,Y
RA_ID151,Medium,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.1,Medium,Low,Y
RA_ID152,Low,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.1,Medium,Low,Y
RA_ID153,High,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.1,Low,High,Y
RA_ID154,High,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.1,Low,Low,Y
RA_ID155,Low,Alarms shall be issued in order of occurrence.1,Low,High,Y
RA_ID156,High,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.1",Low,Low,Y
RA_ID157,Medium,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated1",Medium,Low,Y
RA_ID158,High,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.1,Medium,Low,Y
RA_ID159,Low,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.1,Low,High,Y
RA_ID160,Low,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.1",Medium,Low,Y
RA_ID161,Low,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.1",Low,Low,Y
RA_ID162,Low,The fault log shall record at least 1000 faults before overwriting oldest fault records first.1,Medium,Low,Y
RA_ID163,Low,tactile response (button press).1,High,Low,Y
RA_ID164,Medium,Each log entry shall have a time stamp81 with its time of occurrence.1,Low,Low,Y
RA_ID165,Medium,"Changing prescription during infusion shall require prescription confirmation61, clinician authentication62, patient authentication63, prescription authentication64 (patient-to-drug match) and drug authentication1",Low,Low,Y
RA_ID166,Medium,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist1",Low,Low,N
RA_ID167,Low,Clinician-requested bolus delivery shall be immediately halted when alarms sound.1,Medium,Low,Y
RA_ID168,Medium,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.1",Low,Low,Y
RA_ID169,Low,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi1,Low,High,Y
RA_ID170,Low,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.1",Low,Low,Y
RA_ID171,High,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.1,Low,Low,Y
RA_ID172,Medium,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.1",Low,Low,Y
RA_ID173,Low,sound of audible alarm1,Low,Low,Y
RA_ID174,Medium,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms1,High,Low,N
RA_ID175,Low,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.1",Low,Catastrophic,Y
RA_ID176,Low,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions1",Medium,Low,Y
RA_ID177,Low,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.1",Low,High,Y
RA_ID178,High,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.1,Medium,Low,Y
RA_ID179,Low,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.1",Low,High,Y
RA_ID180,Medium,The control panel shall allow authorized clinician bolus request 60 and choice of duration.1,Medium,High,Y
RA_ID181,Low,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.1",High,Low,Y
RA_ID182,High,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.1,Low,High,Y
RA_ID183,Low,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops1",Low,High,Y
RA_ID184,Low,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.1,High,Low,Y
RA_ID185,Low,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.1",High,Low,Y
RA_ID186,High,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops1",Low,Low,Y
RA_ID187,High,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.1,Low,Catastrophic,Y
RA_ID188,Low,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).1,Low,Low,Y
RA_ID189,Low,The event log shall record 30 days of typical events before overwriting oldest event records first.1,Medium,Catastrophic,Y
RA_ID190,Medium,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.31,High,Low,Y
RA_ID191,Low,"Alarms shall cause audible alarms signals that meet the requirements of Tables 203 and 204 of standard IEC 60601-1-8 for alarm pulses, bursts, and harmonics.1",Low,Low,Y
RA_ID192,Low,The scanner shall read and authenticate information from the drug’s package label1,Medium,Low,Y
RA_ID193,Low,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).1",Low,Low,Y
RA_ID194,Low,The PCA pump shall detect downstream occlusion.1,Medium,Low,Y
RA_ID195,Low,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration1",Medium,Low,Y
RA_ID196,Medium,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).1",Low,Low,Y
RA_ID197,Medium,All materials that contact fluid shall be biocompatible1,Medium,Low,Y
RA_ID198,Low,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.1,Low,High,Y
RA_ID199,Low,The PCA pump must not leak current greater than 10 mA1,Medium,Low,Y
RA_ID200,Medium,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)1,Medium,Low,Y
RA_ID201,Low,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.1",Low,Catastrophic,Y
RA_ID202,Low,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.1",Low,Low,Y
RA_ID203,Low,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.1",Medium,Catastrophic,Y
RA_ID204,Medium,"If delivered basal flow rate exceeds the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow, the pump shall issue an basal over-infusion alarm (EC3.2.7).1",Low,Low,N
RA_ID205,Low,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.1",Low,Catastrophic,Y
RA_ID206,Low,"–removed, must scan Rx from label of drug container1",Low,Catastrophic,N
RA_ID207,Low,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.1",Medium,Low,Y
