FL_ID,FL_DESC,FL_FO,FL_REPORTEDBY,FL_ASSIGNEDTO,FL_SOLUTION,FL_STATUS
FL_ID15,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",CC_ID236,Rami,Caleb,measured flow rate below setting0,Open
FL_ID16,"The PCA pump shall perform a power-on-self-test (POST) to assure system integrity after being turned on, yet before any infusion begins. Failure of POST shall raise a POST alarm, stop pump0",CC_ID591,Rami,Alex,pump fails to prime after loading drug reservoir0,Open
FL_ID17,The PCA pump shall use a physician’s prescription as device parameters.0,CC_ID985,Rami,Alex,bubble detection0,Open
FL_ID18,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",CC_ID1921,Rami,Caleb,basal rate or bolus VTBI exceeded hard limit0,Open
FL_ID19,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,CC_ID733,Ben,Caleb,measured flow rate exceeds setting0,Assigned
FL_ID20,Alarms shall be issued in order of occurrence.0,CC_ID4,Ben,Sugandha,the drug library fails authenticity or integrity check1,Open
FL_ID21,"display of visual information, and0",CC_ID977,Rami,Alex,basal rate or bolus VTBI exceeded hard limit1,Open
FL_ID22,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",CC_ID1982,Rami,Caleb,PCA pump detects its own failure1,Open
FL_ID23,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.0",CC_ID93,Nasim,Alex,power-on self test fails1,Open
FL_ID24,"When the stop button is pressed, the current pump stroke shall be completed prior to stopping the pump.0",CC_ID1067,Jerry,Alex,blockage between reservoir and pump1,Open
FL_ID25,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.0",CC_ID496,Ben,Sugandha,measured flow rate below setting1,Open
FL_ID26,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",CC_ID1462,Ben,Caleb,dose reaches maximum allowed by drug library1,Open
FL_ID27,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,CC_ID90,Nasim,Alex,patient not admitted to hospital1,Clossed
FL_ID28,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,CC_ID1940,Ben,Caleb,drug or prescription not intended for this patient1,Open
FL_ID29,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",CC_ID1723,Ben,Caleb,bubble detection1,Open
FL_ID30,The Control Panel shall provide means to cancel alarm signal inactivation.0,CC_ID1881,Jerry,Alex,Bolus request denied because minimum time between boluses had not elapsed.1,Clossed
FL_ID31,The scanner shall read and authenticate information from the drug’s package label0,CC_ID738,Ben,Alex,pump fails to prime after loading drug reservoir1,Assigned
FL_ID32,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,CC_ID137,Ben,Caleb,measured flow rate exceeds setting1,Open
FL_ID33,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0",CC_ID62,Ben,Alex,pump temperature exceeds 55 C1,Clossed
FL_ID34,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,CC_ID569,Ben,Alex,blockage between pump and patient1,Open
FL_ID35,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.0,CC_ID1352,Ben,Alex,indication of no ICE alarms enabled1,Open
FL_ID36,A real-time clock must produce timestamps accurate to 10 ms.0,CC_ID195,Rami,Caleb,basal rate or bolus VTBI exceeded soft limit1,Open
FL_ID37,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",CC_ID1671,Ben,Caleb,clinician not authorized to operate pump1,Open
FL_ID38,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,CC_ID116,Ben,Caleb,no audible alarm1,Open
FL_ID39,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0,CC_ID92,Ben,Caleb,drug or prescription not intended for this patient2,Assigned
FL_ID40,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,CC_ID76,Ben,Caleb,pump temperature exceeds 55 C2,Open
FL_ID41,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0,CC_ID1189,Nasim,Caleb,indication of no ICE alarms enabled2,Open
FL_ID42,Component failure must not harm patient (beyond stopping function).0,CC_ID1738,Ben,Alex,basal rate or bolus VTBI exceeded hard limit2,Clossed
FL_ID43,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.0,CC_ID1282,Rami,Alex,power-on self test fails2,Open
FL_ID44,"Alarms shall cause audible alarms signals that meet the requirements of Tables 203 and 204 of standard IEC 60601-1-8 for alarm pulses, bursts, and harmonics.0",CC_ID1024,Nasim,Alex,blockage between reservoir and pump2,Assigned
FL_ID45,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)0",CC_ID1765,Rami,Alex,bubble detection2,Open
FL_ID46,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.0",CC_ID1718,Jerry,Caleb,basal rate or bolus VTBI exceeded soft limit2,Open
FL_ID47,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.0,CC_ID969,Ben,Alex,no audible alarm2,Open
FL_ID48,The scanner shall read and authenticate information from the clinician’s badge0,CC_ID722,Ben,Alex,measured flow rate below setting2,Open
FL_ID49,"Changing prescription during infusion shall require prescription confirmation61, clinician authentication62, patient authentication63, prescription authentication64 (patient-to-drug match) and drug authentication0",CC_ID1255,Nasim,Sugandha,measured flow rate exceeds setting2,Open
FL_ID50,The PCA pump shall have a start button.0,CC_ID1706,Rami,Alex,dose reaches maximum allowed by drug library2,Open
FL_ID51,The scanner shall read and authenticate information from the patient’s wristband0,CC_ID1663,Rami,Alex,pump fails to prime after loading drug reservoir2,Assigned
FL_ID52,sound of audible alarm0,CC_ID749,Nasim,Caleb,the drug library fails authenticity or integrity check2,Open
FL_ID53,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.0,CC_ID784,Ben,Sugandha,Bolus request denied because minimum time between boluses had not elapsed.2,Open
FL_ID54,The PCA pump shall detect downstream occlusion.0,CC_ID1569,Ben,Alex,clinician not authorized to operate pump2,Open
FL_ID55,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0,CC_ID1312,Ben,Sugandha,blockage between pump and patient2,Open
FL_ID56,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,CC_ID773,Nasim,Alex,PCA pump detects its own failure2,Open
FL_ID57,Patient-requested bolus delivery shall be immediately halted when alarms sound.0,CC_ID1537,Rami,Alex,patient not admitted to hospital2,Open
FL_ID58,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.0",CC_ID728,Ben,Sugandha,drug or prescription not intended for this patient3,Open
FL_ID59,The PCA pump shall issue alarms and warnings that require clinician attention.0,CC_ID553,Ben,Alex,blockage between reservoir and pump3,Assigned
FL_ID60,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",CC_ID274,Ben,Caleb,clinician not authorized to operate pump3,Open
FL_ID61,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",CC_ID1991,Ben,Alex,patient not admitted to hospital3,Open
FL_ID62,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",CC_ID1935,Ben,Alex,PCA pump detects its own failure3,Open
FL_ID63,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",CC_ID940,Ben,Alex,measured flow rate exceeds setting3,Assigned
FL_ID64,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",CC_ID233,Jerry,Caleb,dose reaches maximum allowed by drug library3,Assigned
FL_ID65,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.0",CC_ID326,Rami,Alex,basal rate or bolus VTBI exceeded hard limit3,Open
FL_ID66,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0,CC_ID1691,Ben,Alex,the drug library fails authenticity or integrity check3,Assigned
FL_ID67,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0",CC_ID1009,Jerry,Alex,basal rate or bolus VTBI exceeded soft limit3,Open
FL_ID68,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.0",CC_ID178,Ben,Alex,pump fails to prime after loading drug reservoir3,Open
FL_ID69,The PCA pump shall detect air-in-line embolism (bubble).0,CC_ID1434,Ben,Caleb,power-on self test fails3,Open
FL_ID70,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,CC_ID1380,Ben,Sugandha,indication of no ICE alarms enabled3,Clossed
FL_ID71,All materials that contact fluid shall be biocompatible0,CC_ID1836,Ben,Sugandha,bubble detection3,Clossed
FL_ID72,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,CC_ID1224,Ben,Caleb,no audible alarm3,Open
FL_ID73,The fault log shall record at least 1000 faults before overwriting oldest fault records first.0,CC_ID1201,Rami,Alex,blockage between pump and patient3,Open
FL_ID74,The Control Panel shall provide means to inactivate audible alarms indefinitely0,CC_ID1924,Jerry,Alex,measured flow rate below setting3,Open
FL_ID75,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",CC_ID1506,Rami,Alex,Bolus request denied because minimum time between boluses had not elapsed.3,Open
FL_ID76,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,CC_ID299,Ben,Alex,pump temperature exceeds 55 C3,Open
FL_ID77,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.0,CC_ID1937,Ben,Alex,basal rate or bolus VTBI exceeded hard limit4,Clossed
FL_ID78,The estimate of remaining battery energy must be accurate to within Xbtty = 25%.0,CC_ID1492,Rami,Alex,clinician not authorized to operate pump4,Clossed
FL_ID79,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",CC_ID338,Rami,Sugandha,measured flow rate exceeds setting4,Open
FL_ID80,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.0,CC_ID648,Rami,Jane,power-on self test fails4,Clossed
FL_ID81,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,CC_ID1306,Ben,Caleb,indication of no ICE alarms enabled4,Open
FL_ID82,"The mechanical pump shall pump drug at prescribed flow rates for basal, bolus, and KVO infusion when commanded.0",CC_ID1630,Ben,Caleb,patient not admitted to hospital4,Open
FL_ID83,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0",CC_ID1673,Rami,Caleb,Bolus request denied because minimum time between boluses had not elapsed.4,Open
FL_ID84,The ICE interface shall transmit encrypted and authenticated alarms and warnings to the ICE system.0,CC_ID1077,Ben,Jane,PCA pump detects its own failure4,Open
FL_ID85,"–removed, must scan Rx from label of drug container0",CC_ID1298,Ben,Alex,measured flow rate below setting4,Clossed
FL_ID86,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms0,CC_ID1647,Rami,Caleb,drug or prescription not intended for this patient4,Open
FL_ID87,"Occurrence of unavoidable single-event upsets caused by cosmic-ray-induced high- and thermalenergy neutrons must be either masked, or detected to fail-stop0",CC_ID177,Jerry,Alex,pump fails to prime after loading drug reservoir4,Open
FL_ID88,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.0",CC_ID1063,Rami,Caleb,blockage between reservoir and pump4,Open
FL_ID89,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,CC_ID1015,Rami,Alex,bubble detection4,Open
FL_ID90,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,CC_ID281,Jerry,Jane,the drug library fails authenticity or integrity check4,Open
FL_ID91,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.0",CC_ID694,Jerry,Caleb,dose reaches maximum allowed by drug library4,Open
FL_ID92,The patient’s prescription shall be retained for at least ?data = 96 hours after the PCA pump is turned-off and unplugged.0,CC_ID423,Ben,Caleb,no audible alarm4,Open
FL_ID93,Clinician-requested bolus delivery shall be immediately halted when alarms sound.0,CC_ID1478,Ben,Caleb,pump temperature exceeds 55 C4,Open
FL_ID94,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0,CC_ID1723,Jerry,Caleb,blockage between pump and patient4,Open
FL_ID95,"–requirement removed, Rx read from drug container by scanner0",CC_ID1201,Ben,Caleb,basal rate or bolus VTBI exceeded soft limit4,Open
FL_ID96,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0",CC_ID988,Ben,Caleb,dose reaches maximum allowed by drug library5,Open
FL_ID97,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0",CC_ID572,Jerry,Caleb,pump fails to prime after loading drug reservoir5,Open
FL_ID98,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",CC_ID1183,Rami,Alex,measured flow rate below setting5,Clossed
FL_ID99,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",CC_ID1840,Ben,Caleb,drug or prescription not intended for this patient5,Open
FL_ID100,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",CC_ID1918,Ben,Caleb,no audible alarm5,Open
FL_ID101,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.0,CC_ID333,Rami,Caleb,patient not admitted to hospital5,Assigned
FL_ID102,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.0,CC_ID1439,Rami,Jane,pump temperature exceeds 55 C5,Open
FL_ID103,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,CC_ID1788,Nasim,Caleb,power-on self test fails5,Open
FL_ID104,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0",CC_ID1100,Ben,Alex,blockage between reservoir and pump5,Assigned
FL_ID105,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.0",CC_ID388,Ben,Alex,basal rate or bolus VTBI exceeded soft limit5,Open
FL_ID106,"If delivered basal flow rate exceeds the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow, the pump shall issue an basal over-infusion alarm (EC3.2.7).0",CC_ID985,Ben,Caleb,Bolus request denied because minimum time between boluses had not elapsed.5,Open
FL_ID107,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0",CC_ID1330,Ben,Jane,clinician not authorized to operate pump5,Open
FL_ID108,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",CC_ID1922,Rami,Alex,blockage between pump and patient5,Open
FL_ID109,An authorized clinician must personally confirm the prescription97 is authentic and meant for the patient to be infused. The routine procedures by which clinicians load the drug reservoir must ensure that the prescription filled by an authorized0,CC_ID1354,Ben,Caleb,bubble detection5,Open
FL_ID110,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.0",CC_ID1805,Ben,Alex,basal rate or bolus VTBI exceeded hard limit5,Open
FL_ID111,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",CC_ID1034,Ben,Sugandha,the drug library fails authenticity or integrity check5,Open
FL_ID112,–removed all Rx entry via scanner0,CC_ID1730,Ben,Alex,measured flow rate exceeds setting5,Open
FL_ID113,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,CC_ID652,Rami,Alex,indication of no ICE alarms enabled5,Open
FL_ID114,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.0,CC_ID645,Ben,Sugandha,PCA pump detects its own failure5,Open
FL_ID115,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.0",CC_ID1158,Nasim,Sugandha,patient not admitted to hospital6,Assigned
FL_ID116,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.0",CC_ID155,Rami,Alex,pump fails to prime after loading drug reservoir6,Open
FL_ID117,tactile response (button press).0,CC_ID1638,Ben,Alex,basal rate or bolus VTBI exceeded hard limit6,Open
FL_ID118,The PCA pump shall have a stop button0,CC_ID1236,Ben,Caleb,blockage between pump and patient6,Assigned
FL_ID119,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0,CC_ID1248,Rami,Alex,power-on self test fails6,Open
FL_ID120,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0",CC_ID415,Nasim,Jane,indication of no ICE alarms enabled6,Open
FL_ID121,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",CC_ID43,Rami,Caleb,the drug library fails authenticity or integrity check6,Open
FL_ID122,The PCA pump must not leak current greater than 10 mA0,CC_ID724,Jerry,Jane,dose reaches maximum allowed by drug library6,Assigned
FL_ID123,The PCA pump shall detect battery failure and issue a battery failure alarm0,CC_ID28,Ben,Alex,drug or prescription not intended for this patient6,Open
FL_ID124,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated0",CC_ID253,Jerry,Alex,no audible alarm6,Open
FL_ID125,The event log shall record 30 days of typical events before overwriting oldest event records first.0,CC_ID235,Nasim,Alex,pump temperature exceeds 55 C6,Open
FL_ID126,"During normal use and/or single fault condition of the equipment, continuous reverse delivery115 shall not be possible (from IEC 601-2-24)0",CC_ID864,Ben,Caleb,Bolus request denied because minimum time between boluses had not elapsed.6,Open
FL_ID127,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)0,CC_ID925,Ben,Alex,clinician not authorized to operate pump6,Assigned
FL_ID128,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,CC_ID144,Rami,Caleb,measured flow rate below setting6,Open
FL_ID129,The PCA pump shall detect upstream occlusion.0,CC_ID995,Rami,Jane,basal rate or bolus VTBI exceeded soft limit6,Open
FL_ID130,The drug reservoir shall measure its contents.0,CC_ID1896,Rami,Alex,blockage between reservoir and pump6,Open
FL_ID131,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,CC_ID685,Rami,Alex,measured flow rate exceeds setting6,Open
FL_ID132,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0,CC_ID1724,Ben,Alex,bubble detection6,Open
FL_ID133,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.1",CC_ID1211,Rami,Caleb,PCA pump detects its own failure6,Open
FL_ID134,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.1,CC_ID280,Ben,Caleb,basal rate or bolus VTBI exceeded soft limit7,Open
FL_ID135,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.1,CC_ID903,Nasim,Alex,drug or prescription not intended for this patient7,Open
FL_ID136,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.1",CC_ID1286,Ben,Alex,clinician not authorized to operate pump7,Open
FL_ID137,sound of audible alarm1,CC_ID613,Ben,Caleb,measured flow rate exceeds setting7,Open
FL_ID138,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.1,CC_ID1587,Ben,Caleb,Bolus request denied because minimum time between boluses had not elapsed.7,Open
FL_ID139,Alarms shall be issued in order of occurrence.1,CC_ID1200,Nasim,Alex,pump fails to prime after loading drug reservoir7,Clossed
FL_ID140,The PCA pump shall issue alarms and warnings that require clinician attention.1,CC_ID631,Rami,Alex,pump temperature exceeds 55 C7,Open
FL_ID141,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.1,CC_ID956,Ben,Jane,indication of no ICE alarms enabled7,Open
FL_ID142,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.1,CC_ID1493,Nasim,Caleb,PCA pump detects its own failure7,Open
FL_ID143,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist1",CC_ID359,Ben,Caleb,the drug library fails authenticity or integrity check7,Open
FL_ID144,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.1",CC_ID1430,Ben,Sugandha,blockage between pump and patient7,Open
FL_ID145,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.1",CC_ID1088,Jerry,Alex,patient not admitted to hospital7,Assigned
FL_ID146,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.1",CC_ID480,Rami,Jane,basal rate or bolus VTBI exceeded hard limit7,Clossed
FL_ID147,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.1,CC_ID288,Rami,Sugandha,blockage between reservoir and pump7,Open
FL_ID148,The event log shall record 30 days of typical events before overwriting oldest event records first.1,CC_ID1706,Rami,Alex,measured flow rate below setting7,Open
FL_ID149,The scanner shall read and authenticate information from the patient’s wristband1,CC_ID1707,Rami,Jane,no audible alarm7,Open
FL_ID150,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.1",CC_ID1609,Rami,Alex,dose reaches maximum allowed by drug library7,Open
FL_ID151,"The PCA pump shall perform a power-on-self-test (POST) to assure system integrity after being turned on, yet before any infusion begins. Failure of POST shall raise a POST alarm, stop pump1",CC_ID1228,Rami,Sugandha,bubble detection7,Open
FL_ID152,tactile response (button press).1,CC_ID934,Nasim,Alex,power-on self test fails7,Open
FL_ID153,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.1",CC_ID1477,Ben,Alex,pump fails to prime after loading drug reservoir8,Open
FL_ID154,The PCA pump shall have a stop button1,CC_ID1113,Rami,Alex,patient not admitted to hospital8,Assigned
FL_ID155,The fault log shall record at least 1000 faults before overwriting oldest fault records first.1,CC_ID1574,Rami,Jane,dose reaches maximum allowed by drug library8,Open
FL_ID156,"–requirement removed, Rx read from drug container by scanner1",CC_ID817,Ben,Alex,power-on self test fails8,Open
FL_ID157,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.1",CC_ID1745,Ben,Sugandha,basal rate or bolus VTBI exceeded hard limit8,Open
FL_ID158,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.1,CC_ID1038,Ben,Alex,drug or prescription not intended for this patient8,Clossed
