UC_ID,UC_TITLE,UC_PrC,UC_PoC,UC_STEPS
UC_ID28,Prescription Authentication Failure1,UC_ID2537,UC_ID1124,Drug Library Soft Limit1
UC_ID29,Under-Flow Rate Alarm1,UC_ID967,UC_ID2860,Drug Library Not Present or Corrupted1
UC_ID30,Upstream Occlusion1,UC_ID1555,UC_ID912,Power-On Self Test Failure1
UC_ID31,Maximum Safe Dose1,UC_ID1160,UC_ID848,Over-Flow Rate Alarm1
UC_ID32,Bolus request too soon1,UC_ID108,UC_ID1845,Downstream Occlusion1
UC_ID33,Sound Failure1,UC_ID171,UC_ID106,Internal Electronic Failure1
UC_ID34,Clinician Authentication Failure1,UC_ID141,UC_ID336,Under-Flow Rate Alarm1
UC_ID35,Patient Authentication Failure1,UC_ID1531,UC_ID1872,Maximum Safe Dose1
UC_ID36,Over-Flow Rate Alarm1,UC_ID2124,UC_ID1550,Pump Overheating1
UC_ID37,Air-in-line Embolism1,UC_ID1483,UC_ID519,Sound Failure1
UC_ID38,ICE Failure1,UC_ID1519,UC_ID2572,Bolus request too soon1
UC_ID39,Under-Flow Rate Alarm2,UC_ID1957,UC_ID309,Under-Flow Rate Alarm2
UC_ID40,Drug Library Soft Limit2,UC_ID505,UC_ID1543,Internal Electronic Failure2
UC_ID41,Bolus request too soon2,UC_ID2614,UC_ID938,Pump Priming Failure2
UC_ID42,Drug Library Not Present or Corrupted2,UC_ID1167,UC_ID1520,Drug Library Not Present or Corrupted2
UC_ID43,Pump Overheating2,UC_ID2633,UC_ID2918,Pump Overheating2
UC_ID44,Pump Priming Failure2,UC_ID1011,UC_ID172,Prescription Authentication Failure2
UC_ID45,Internal Electronic Failure2,UC_ID2926,UC_ID1354,Drug Library Hard Limit2
UC_ID46,ICE Failure2,UC_ID2277,UC_ID1555,ICE Failure2
UC_ID47,Upstream Occlusion2,UC_ID1546,UC_ID1946,Upstream Occlusion2
UC_ID48,Power-On Self Test Failure2,UC_ID2169,UC_ID2319,Sound Failure2
UC_ID49,Downstream Occlusion2,UC_ID412,UC_ID2858,Drug Library Soft Limit2
UC_ID50,Sound Failure2,UC_ID561,UC_ID388,Maximum Safe Dose2
UC_ID51,Patient Authentication Failure2,UC_ID2117,UC_ID230,Clinician Authentication Failure2
UC_ID52,Over-Flow Rate Alarm2,UC_ID2158,UC_ID2865,Air-in-line Embolism2
UC_ID53,Prescription Authentication Failure2,UC_ID2967,UC_ID1357,Over-Flow Rate Alarm2
UC_ID54,Drug Library Hard Limit2,UC_ID375,UC_ID752,Patient Authentication Failure2
UC_ID55,Air-in-line Embolism2,UC_ID1201,UC_ID424,Power-On Self Test Failure2
UC_ID56,Clinician Authentication Failure2,UC_ID1900,UC_ID205,Downstream Occlusion2
UC_ID57,Maximum Safe Dose2,UC_ID1102,UC_ID102,Bolus request too soon2
UC_ID58,Pump Priming Failure3,UC_ID522,UC_ID2476,Prescription Authentication Failure3
UC_ID59,ICE Failure3,UC_ID914,UC_ID1736,Internal Electronic Failure3
UC_ID60,Clinician Authentication Failure3,UC_ID2337,UC_ID2167,Power-On Self Test Failure3
UC_ID61,Bolus request too soon3,UC_ID368,UC_ID1390,Air-in-line Embolism3
UC_ID62,Sound Failure3,UC_ID651,UC_ID1961,Pump Overheating3
UC_ID63,Downstream Occlusion3,UC_ID1988,UC_ID1257,Upstream Occlusion3
UC_ID64,Maximum Safe Dose3,UC_ID423,UC_ID2134,Maximum Safe Dose3
UC_ID65,Drug Library Hard Limit3,UC_ID1170,UC_ID2329,Bolus request too soon3
UC_ID66,Power-On Self Test Failure3,UC_ID804,UC_ID2996,Sound Failure3
UC_ID67,Prescription Authentication Failure3,UC_ID229,UC_ID2770,Drug Library Hard Limit3
UC_ID68,Drug Library Soft Limit3,UC_ID995,UC_ID947,Pump Priming Failure3
UC_ID69,Upstream Occlusion3,UC_ID2611,UC_ID1834,Over-Flow Rate Alarm3
UC_ID70,Pump Overheating3,UC_ID1113,UC_ID780,Patient Authentication Failure3
UC_ID71,Over-Flow Rate Alarm3,UC_ID2306,UC_ID297,Downstream Occlusion3
UC_ID72,Internal Electronic Failure3,UC_ID298,UC_ID1348,ICE Failure3
UC_ID73,Air-in-line Embolism3,UC_ID1484,UC_ID2980,Drug Library Soft Limit3
UC_ID74,Under-Flow Rate Alarm3,UC_ID252,UC_ID1043,Drug Library Not Present or Corrupted3
UC_ID75,Drug Library Not Present or Corrupted3,UC_ID982,UC_ID2929,Under-Flow Rate Alarm3
UC_ID76,Patient Authentication Failure3,UC_ID469,UC_ID346,Clinician Authentication Failure3
UC_ID77,Over-Flow Rate Alarm4,UC_ID1385,UC_ID2547,Bolus request too soon4
UC_ID78,Patient Authentication Failure4,UC_ID1571,UC_ID781,Clinician Authentication Failure4
UC_ID79,Sound Failure4,UC_ID309,UC_ID685,Over-Flow Rate Alarm4
UC_ID80,ICE Failure4,UC_ID2279,UC_ID1953,Internal Electronic Failure4
UC_ID81,Air-in-line Embolism4,UC_ID1207,UC_ID2571,Drug Library Hard Limit4
UC_ID82,Internal Electronic Failure4,UC_ID545,UC_ID116,Sound Failure4
UC_ID83,Power-On Self Test Failure4,UC_ID196,UC_ID2954,Air-in-line Embolism4
UC_ID84,Drug Library Not Present or Corrupted4,UC_ID2929,UC_ID2812,Downstream Occlusion4
UC_ID85,Upstream Occlusion4,UC_ID1554,UC_ID1339,Prescription Authentication Failure4
UC_ID86,Under-Flow Rate Alarm4,UC_ID109,UC_ID1046,Drug Library Not Present or Corrupted4
UC_ID87,Bolus request too soon4,UC_ID1680,UC_ID192,Under-Flow Rate Alarm4
UC_ID88,Clinician Authentication Failure4,UC_ID555,UC_ID1054,Drug Library Soft Limit4
UC_ID89,Drug Library Hard Limit4,UC_ID578,UC_ID1920,Maximum Safe Dose4
UC_ID90,Maximum Safe Dose4,UC_ID2906,UC_ID1531,Pump Priming Failure4
UC_ID91,Downstream Occlusion4,UC_ID1301,UC_ID65,Power-On Self Test Failure4
UC_ID92,Drug Library Soft Limit4,UC_ID1237,UC_ID257,Upstream Occlusion4
UC_ID93,Pump Overheating4,UC_ID1214,UC_ID1638,ICE Failure4
UC_ID94,Pump Priming Failure4,UC_ID2247,UC_ID1361,Patient Authentication Failure4
UC_ID95,Prescription Authentication Failure4,UC_ID1437,UC_ID2081,Pump Overheating4
UC_ID96,Pump Overheating5,UC_ID2986,UC_ID1756,Drug Library Soft Limit5
UC_ID97,Under-Flow Rate Alarm5,UC_ID2075,UC_ID405,ICE Failure5
UC_ID98,Clinician Authentication Failure5,UC_ID900,UC_ID1056,Downstream Occlusion5
UC_ID99,Air-in-line Embolism5,UC_ID737,UC_ID1453,Patient Authentication Failure5
UC_ID100,Sound Failure5,UC_ID2947,UC_ID1396,Bolus request too soon5
UC_ID101,Drug Library Soft Limit5,UC_ID176,UC_ID652,Clinician Authentication Failure5
UC_ID102,Pump Priming Failure5,UC_ID1278,UC_ID2475,Maximum Safe Dose5
UC_ID103,Over-Flow Rate Alarm5,UC_ID205,UC_ID730,Under-Flow Rate Alarm5
UC_ID104,Patient Authentication Failure5,UC_ID37,UC_ID2864,Sound Failure5
UC_ID105,Internal Electronic Failure5,UC_ID721,UC_ID363,Over-Flow Rate Alarm5
UC_ID106,ICE Failure5,UC_ID910,UC_ID2682,Power-On Self Test Failure5
UC_ID107,Prescription Authentication Failure5,UC_ID2228,UC_ID1928,Pump Priming Failure5
UC_ID108,Drug Library Hard Limit5,UC_ID2895,UC_ID774,Drug Library Not Present or Corrupted5
UC_ID109,Maximum Safe Dose5,UC_ID589,UC_ID2126,Internal Electronic Failure5
UC_ID110,Power-On Self Test Failure5,UC_ID246,UC_ID847,Pump Overheating5
UC_ID111,Bolus request too soon5,UC_ID1217,UC_ID2222,Air-in-line Embolism5
UC_ID112,Drug Library Not Present or Corrupted5,UC_ID1157,UC_ID2280,Drug Library Hard Limit5
UC_ID113,Upstream Occlusion5,UC_ID1926,UC_ID2933,Prescription Authentication Failure5
UC_ID114,Downstream Occlusion5,UC_ID529,UC_ID32,Upstream Occlusion5
UC_ID115,Sound Failure6,UC_ID2657,UC_ID1188,Drug Library Not Present or Corrupted6
UC_ID116,ICE Failure6,UC_ID749,UC_ID2405,Clinician Authentication Failure6
UC_ID117,Maximum Safe Dose6,UC_ID262,UC_ID2361,Air-in-line Embolism6
UC_ID118,Pump Overheating6,UC_ID1112,UC_ID2288,Pump Priming Failure6
UC_ID119,Patient Authentication Failure6,UC_ID1047,UC_ID2381,ICE Failure6
UC_ID120,Clinician Authentication Failure6,UC_ID1146,UC_ID2729,Pump Overheating6
UC_ID121,Upstream Occlusion6,UC_ID1729,UC_ID2501,Sound Failure6
UC_ID122,Under-Flow Rate Alarm6,UC_ID1828,UC_ID2248,Prescription Authentication Failure6
UC_ID123,Drug Library Soft Limit6,UC_ID856,UC_ID1260,Internal Electronic Failure6
UC_ID124,Drug Library Not Present or Corrupted6,UC_ID1928,UC_ID2872,Over-Flow Rate Alarm6
UC_ID125,Over-Flow Rate Alarm6,UC_ID2131,UC_ID258,Drug Library Hard Limit6
UC_ID126,Air-in-line Embolism6,UC_ID643,UC_ID1096,Bolus request too soon6
UC_ID127,Bolus request too soon6,UC_ID1869,UC_ID2709,Drug Library Soft Limit6
UC_ID128,Internal Electronic Failure6,UC_ID1259,UC_ID1587,Power-On Self Test Failure6
UC_ID129,Drug Library Hard Limit6,UC_ID2392,UC_ID1556,Under-Flow Rate Alarm6
UC_ID130,Downstream Occlusion6,UC_ID446,UC_ID721,Maximum Safe Dose6
UC_ID131,Pump Priming Failure6,UC_ID2938,UC_ID1448,Patient Authentication Failure6
UC_ID132,Power-On Self Test Failure6,UC_ID2203,UC_ID731,Downstream Occlusion6
UC_ID133,Prescription Authentication Failure6,UC_ID2262,UC_ID1274,Upstream Occlusion6
UC_ID134,Internal Electronic Failure7,UC_ID710,UC_ID2829,Pump Overheating7
UC_ID135,Pump Overheating7,UC_ID2595,UC_ID2472,Power-On Self Test Failure7
UC_ID136,Over-Flow Rate Alarm7,UC_ID2648,UC_ID2807,Clinician Authentication Failure7
UC_ID137,Pump Priming Failure7,UC_ID2022,UC_ID801,Air-in-line Embolism7
UC_ID138,Air-in-line Embolism7,UC_ID426,UC_ID1534,Patient Authentication Failure7
UC_ID139,Patient Authentication Failure7,UC_ID615,UC_ID2220,Bolus request too soon7
UC_ID140,Upstream Occlusion7,UC_ID288,UC_ID1089,Downstream Occlusion7
UC_ID141,Drug Library Not Present or Corrupted7,UC_ID43,UC_ID2296,Drug Library Not Present or Corrupted7
UC_ID142,Prescription Authentication Failure7,UC_ID2096,UC_ID1007,Drug Library Hard Limit7
UC_ID143,ICE Failure7,UC_ID1635,UC_ID1646,Under-Flow Rate Alarm7
UC_ID144,Power-On Self Test Failure7,UC_ID2877,UC_ID1873,Upstream Occlusion7
UC_ID145,Bolus request too soon7,UC_ID537,UC_ID438,Prescription Authentication Failure7
UC_ID146,Drug Library Hard Limit7,UC_ID389,UC_ID1325,Sound Failure7
UC_ID147,Sound Failure7,UC_ID63,UC_ID1949,ICE Failure7
UC_ID148,Downstream Occlusion7,UC_ID2343,UC_ID2641,Over-Flow Rate Alarm7
UC_ID149,Under-Flow Rate Alarm7,UC_ID1842,UC_ID1196,Internal Electronic Failure7
UC_ID150,Clinician Authentication Failure7,UC_ID1825,UC_ID871,Maximum Safe Dose7
UC_ID151,Drug Library Soft Limit7,UC_ID2155,UC_ID348,Drug Library Soft Limit7
UC_ID152,Maximum Safe Dose7,UC_ID2689,UC_ID1289,Pump Priming Failure7
UC_ID153,Sound Failure8,UC_ID2201,UC_ID2952,ICE Failure8
UC_ID154,Drug Library Soft Limit8,UC_ID582,UC_ID2617,Drug Library Soft Limit8
UC_ID155,Internal Electronic Failure8,UC_ID829,UC_ID2801,Under-Flow Rate Alarm8
UC_ID156,Prescription Authentication Failure8,UC_ID2802,UC_ID1881,Upstream Occlusion8
UC_ID157,Under-Flow Rate Alarm8,UC_ID2513,UC_ID2166,Power-On Self Test Failure8
UC_ID158,Clinician Authentication Failure8,UC_ID1030,UC_ID2987,Drug Library Not Present or Corrupted8
UC_ID159,Pump Overheating8,UC_ID1210,UC_ID1632,Over-Flow Rate Alarm8
UC_ID160,Downstream Occlusion8,UC_ID2673,UC_ID855,Patient Authentication Failure8
UC_ID161,Bolus request too soon8,UC_ID1152,UC_ID1234,Drug Library Hard Limit8
UC_ID162,ICE Failure8,UC_ID2373,UC_ID2492,Maximum Safe Dose8
UC_ID163,Upstream Occlusion8,UC_ID1083,UC_ID1688,Air-in-line Embolism8
UC_ID164,Patient Authentication Failure8,UC_ID2631,UC_ID1100,Sound Failure8
UC_ID165,Drug Library Not Present or Corrupted8,UC_ID2470,UC_ID474,Bolus request too soon8
UC_ID166,Over-Flow Rate Alarm8,UC_ID2851,UC_ID2258,Pump Priming Failure8
UC_ID167,Power-On Self Test Failure8,UC_ID2156,UC_ID1785,Prescription Authentication Failure8
UC_ID168,Pump Priming Failure8,UC_ID2087,UC_ID1199,Internal Electronic Failure8
UC_ID169,Drug Library Hard Limit8,UC_ID1823,UC_ID1319,Pump Overheating8
UC_ID170,Air-in-line Embolism8,UC_ID2744,UC_ID2083,Clinician Authentication Failure8
UC_ID171,Maximum Safe Dose8,UC_ID2150,UC_ID1836,Downstream Occlusion8
UC_ID172,Pump Overheating9,UC_ID839,UC_ID151,Over-Flow Rate Alarm9
UC_ID173,ICE Failure9,UC_ID2887,UC_ID1728,Prescription Authentication Failure9
UC_ID174,Drug Library Soft Limit9,UC_ID931,UC_ID394,Air-in-line Embolism9
UC_ID175,Over-Flow Rate Alarm9,UC_ID2937,UC_ID339,Upstream Occlusion9
UC_ID176,Patient Authentication Failure9,UC_ID789,UC_ID1879,Pump Overheating9
UC_ID177,Upstream Occlusion9,UC_ID1490,UC_ID1025,Drug Library Hard Limit9
UC_ID178,Pump Priming Failure9,UC_ID2850,UC_ID2579,Power-On Self Test Failure9
UC_ID179,Drug Library Not Present or Corrupted9,UC_ID693,UC_ID2269,Under-Flow Rate Alarm9
UC_ID180,Drug Library Hard Limit9,UC_ID2609,UC_ID702,Internal Electronic Failure9
UC_ID181,Downstream Occlusion9,UC_ID263,UC_ID986,Bolus request too soon9
UC_ID182,Under-Flow Rate Alarm9,UC_ID434,UC_ID1117,Drug Library Soft Limit9
UC_ID183,Sound Failure9,UC_ID978,UC_ID523,Downstream Occlusion9
UC_ID184,Internal Electronic Failure9,UC_ID11,UC_ID1386,Clinician Authentication Failure9
UC_ID185,Air-in-line Embolism9,UC_ID844,UC_ID1581,Pump Priming Failure9
UC_ID186,Power-On Self Test Failure9,UC_ID832,UC_ID378,Maximum Safe Dose9
UC_ID187,Maximum Safe Dose9,UC_ID411,UC_ID187,Patient Authentication Failure9
UC_ID188,Clinician Authentication Failure9,UC_ID1136,UC_ID1696,ICE Failure9
UC_ID189,Prescription Authentication Failure9,UC_ID1109,UC_ID2784,Drug Library Not Present or Corrupted9
UC_ID190,Bolus request too soon9,UC_ID635,UC_ID1258,Sound Failure9
UC_ID191,ICE Failure10,UC_ID1944,UC_ID393,Pump Priming Failure10
UC_ID192,Patient Authentication Failure10,UC_ID1812,UC_ID773,Pump Overheating10
UC_ID193,Prescription Authentication Failure10,UC_ID2616,UC_ID2750,Internal Electronic Failure10
UC_ID194,Sound Failure10,UC_ID52,UC_ID664,Prescription Authentication Failure10
UC_ID195,Pump Priming Failure10,UC_ID2419,UC_ID591,Under-Flow Rate Alarm10
UC_ID196,Drug Library Soft Limit10,UC_ID2436,UC_ID2417,Bolus request too soon10
UC_ID197,Bolus request too soon10,UC_ID2115,UC_ID771,Maximum Safe Dose10
UC_ID198,Maximum Safe Dose10,UC_ID353,UC_ID2431,Over-Flow Rate Alarm10
UC_ID199,Over-Flow Rate Alarm10,UC_ID1488,UC_ID2698,Clinician Authentication Failure10
UC_ID200,Internal Electronic Failure10,UC_ID1416,UC_ID1868,Air-in-line Embolism10
UC_ID201,Drug Library Not Present or Corrupted10,UC_ID2008,UC_ID1802,ICE Failure10
UC_ID202,Clinician Authentication Failure10,UC_ID293,UC_ID2705,Power-On Self Test Failure10
UC_ID203,Upstream Occlusion10,UC_ID2135,UC_ID2410,Drug Library Soft Limit10
UC_ID204,Downstream Occlusion10,UC_ID1461,UC_ID1472,Patient Authentication Failure10
UC_ID205,Under-Flow Rate Alarm10,UC_ID421,UC_ID2518,Drug Library Hard Limit10
UC_ID206,Pump Overheating10,UC_ID1740,UC_ID2985,Sound Failure10
UC_ID207,Drug Library Hard Limit10,UC_ID388,UC_ID1313,Drug Library Not Present or Corrupted10
UC_ID208,Power-On Self Test Failure10,UC_ID1654,UC_ID251,Upstream Occlusion10
UC_ID209,Air-in-line Embolism10,UC_ID1567,UC_ID142,Downstream Occlusion10
UC_ID210,Pump Overheating11,UC_ID2565,UC_ID2030,Bolus request too soon11
UC_ID211,Downstream Occlusion11,UC_ID2142,UC_ID2550,Prescription Authentication Failure11
UC_ID212,Maximum Safe Dose11,UC_ID1821,UC_ID2209,Over-Flow Rate Alarm11
UC_ID213,Clinician Authentication Failure11,UC_ID2102,UC_ID882,Under-Flow Rate Alarm11
UC_ID214,Over-Flow Rate Alarm11,UC_ID2164,UC_ID389,Downstream Occlusion11
UC_ID215,Drug Library Soft Limit11,UC_ID2314,UC_ID1494,Patient Authentication Failure11
UC_ID216,Internal Electronic Failure11,UC_ID2966,UC_ID2376,ICE Failure11
UC_ID217,Prescription Authentication Failure11,UC_ID2082,UC_ID382,Power-On Self Test Failure11
UC_ID218,Sound Failure11,UC_ID936,UC_ID372,Sound Failure11
UC_ID219,Drug Library Hard Limit11,UC_ID716,UC_ID2573,Clinician Authentication Failure11
UC_ID220,Under-Flow Rate Alarm11,UC_ID2996,UC_ID387,Maximum Safe Dose11
UC_ID221,Power-On Self Test Failure11,UC_ID1819,UC_ID41,Upstream Occlusion11
UC_ID222,Bolus request too soon11,UC_ID944,UC_ID2921,Pump Priming Failure11
UC_ID223,Pump Priming Failure11,UC_ID2765,UC_ID2941,Drug Library Not Present or Corrupted11
UC_ID224,Air-in-line Embolism11,UC_ID2792,UC_ID1495,Pump Overheating11
UC_ID225,Upstream Occlusion11,UC_ID2839,UC_ID1236,Internal Electronic Failure11
UC_ID226,Patient Authentication Failure11,UC_ID296,UC_ID1969,Air-in-line Embolism11
UC_ID227,ICE Failure11,UC_ID1931,UC_ID421,Drug Library Hard Limit11
UC_ID228,Drug Library Not Present or Corrupted11,UC_ID2064,UC_ID1939,Drug Library Soft Limit11
UC_ID229,Over-Flow Rate Alarm12,UC_ID1880,UC_ID720,Prescription Authentication Failure12
UC_ID230,Prescription Authentication Failure12,UC_ID1104,UC_ID1191,Downstream Occlusion12
UC_ID231,Drug Library Not Present or Corrupted12,UC_ID1198,UC_ID461,Sound Failure12
UC_ID232,Air-in-line Embolism12,UC_ID1041,UC_ID195,Air-in-line Embolism12
UC_ID233,Pump Overheating12,UC_ID343,UC_ID1712,Pump Overheating12
UC_ID234,Downstream Occlusion12,UC_ID828,UC_ID1288,Maximum Safe Dose12
UC_ID235,Under-Flow Rate Alarm12,UC_ID808,UC_ID2364,ICE Failure12
UC_ID236,Drug Library Soft Limit12,UC_ID438,UC_ID1522,Power-On Self Test Failure12
UC_ID237,ICE Failure12,UC_ID2581,UC_ID1331,Drug Library Hard Limit12
UC_ID238,Pump Priming Failure12,UC_ID2036,UC_ID1584,Upstream Occlusion12
UC_ID239,Clinician Authentication Failure12,UC_ID116,UC_ID1160,Under-Flow Rate Alarm12
UC_ID240,Internal Electronic Failure12,UC_ID371,UC_ID557,Over-Flow Rate Alarm12
UC_ID241,Bolus request too soon12,UC_ID2028,UC_ID861,Bolus request too soon12
UC_ID242,Power-On Self Test Failure12,UC_ID436,UC_ID1217,Drug Library Soft Limit12
UC_ID243,Maximum Safe Dose12,UC_ID1216,UC_ID1097,Patient Authentication Failure12
UC_ID244,Sound Failure12,UC_ID1251,UC_ID2528,Drug Library Not Present or Corrupted12
UC_ID245,Patient Authentication Failure12,UC_ID2349,UC_ID1322,Clinician Authentication Failure12
UC_ID246,Upstream Occlusion12,UC_ID228,UC_ID1623,Pump Priming Failure12
UC_ID247,Drug Library Hard Limit12,UC_ID2159,UC_ID1102,Internal Electronic Failure12
UC_ID248,Internal Electronic Failure13,UC_ID2384,UC_ID2581,Maximum Safe Dose13
UC_ID249,Over-Flow Rate Alarm13,UC_ID414,UC_ID1575,ICE Failure13
UC_ID250,Pump Priming Failure13,UC_ID2334,UC_ID703,Under-Flow Rate Alarm13
UC_ID251,Bolus request too soon13,UC_ID917,UC_ID1812,Over-Flow Rate Alarm13
UC_ID252,Drug Library Soft Limit13,UC_ID2738,UC_ID2565,Pump Priming Failure13
UC_ID253,Patient Authentication Failure13,UC_ID2149,UC_ID829,Bolus request too soon13
UC_ID254,Under-Flow Rate Alarm13,UC_ID571,UC_ID384,Drug Library Not Present or Corrupted13
UC_ID255,Sound Failure13,UC_ID562,UC_ID1493,Upstream Occlusion13
UC_ID256,Pump Overheating13,UC_ID1945,UC_ID2517,Internal Electronic Failure13
UC_ID257,Downstream Occlusion13,UC_ID459,UC_ID813,Downstream Occlusion13
UC_ID258,Clinician Authentication Failure13,UC_ID1692,UC_ID1465,Pump Overheating13
UC_ID259,ICE Failure13,UC_ID2160,UC_ID161,Prescription Authentication Failure13
UC_ID260,Air-in-line Embolism13,UC_ID1899,UC_ID2012,Drug Library Hard Limit13
UC_ID261,Prescription Authentication Failure13,UC_ID1130,UC_ID262,Clinician Authentication Failure13
UC_ID262,Power-On Self Test Failure13,UC_ID2114,UC_ID2325,Air-in-line Embolism13
UC_ID263,Maximum Safe Dose13,UC_ID170,UC_ID1744,Sound Failure13
UC_ID264,Drug Library Not Present or Corrupted13,UC_ID2175,UC_ID1747,Power-On Self Test Failure13
UC_ID265,Drug Library Hard Limit13,UC_ID2675,UC_ID2352,Patient Authentication Failure13
UC_ID266,Upstream Occlusion13,UC_ID2740,UC_ID1694,Drug Library Soft Limit13
UC_ID267,Downstream Occlusion14,UC_ID968,UC_ID754,Patient Authentication Failure14
UC_ID268,Pump Overheating14,UC_ID2098,UC_ID1618,Internal Electronic Failure14
UC_ID269,Patient Authentication Failure14,UC_ID1265,UC_ID2192,Air-in-line Embolism14
UC_ID270,Sound Failure14,UC_ID2078,UC_ID1111,ICE Failure14
UC_ID271,Bolus request too soon14,UC_ID198,UC_ID599,Prescription Authentication Failure14
UC_ID272,Air-in-line Embolism14,UC_ID719,UC_ID2847,Bolus request too soon14
UC_ID273,Upstream Occlusion14,UC_ID2370,UC_ID2966,Sound Failure14
UC_ID274,Prescription Authentication Failure14,UC_ID1879,UC_ID2764,Drug Library Hard Limit14
UC_ID275,Drug Library Hard Limit14,UC_ID39,UC_ID2418,Pump Overheating14
UC_ID276,Under-Flow Rate Alarm14,UC_ID2718,UC_ID2767,Clinician Authentication Failure14
UC_ID277,Power-On Self Test Failure14,UC_ID1709,UC_ID2979,Under-Flow Rate Alarm14
UC_ID278,Internal Electronic Failure14,UC_ID282,UC_ID2094,Upstream Occlusion14
UC_ID279,ICE Failure14,UC_ID1230,UC_ID289,Pump Priming Failure14
UC_ID280,Pump Priming Failure14,UC_ID2417,UC_ID288,Drug Library Not Present or Corrupted14
UC_ID281,Drug Library Soft Limit14,UC_ID1906,UC_ID191,Maximum Safe Dose14
UC_ID282,Clinician Authentication Failure14,UC_ID1179,UC_ID2859,Drug Library Soft Limit14
UC_ID283,Maximum Safe Dose14,UC_ID2071,UC_ID777,Downstream Occlusion14
UC_ID284,Drug Library Not Present or Corrupted14,UC_ID518,UC_ID2067,Over-Flow Rate Alarm14
UC_ID285,Over-Flow Rate Alarm14,UC_ID764,UC_ID284,Power-On Self Test Failure14
UC_ID286,Pump Priming Failure15,UC_ID1329,UC_ID2821,Internal Electronic Failure15
UC_ID287,Clinician Authentication Failure15,UC_ID1767,UC_ID1300,Drug Library Soft Limit15
UC_ID288,Patient Authentication Failure15,UC_ID560,UC_ID2149,Maximum Safe Dose15
UC_ID289,Power-On Self Test Failure15,UC_ID2308,UC_ID2206,Upstream Occlusion15
UC_ID290,Downstream Occlusion15,UC_ID2716,UC_ID1771,Drug Library Hard Limit15
UC_ID291,Pump Overheating15,UC_ID1022,UC_ID2136,Drug Library Not Present or Corrupted15
UC_ID292,Under-Flow Rate Alarm15,UC_ID190,UC_ID1532,Over-Flow Rate Alarm15
UC_ID293,Sound Failure15,UC_ID2059,UC_ID2972,Pump Overheating15
UC_ID294,Prescription Authentication Failure15,UC_ID1919,UC_ID1501,Power-On Self Test Failure15
UC_ID295,Over-Flow Rate Alarm15,UC_ID922,UC_ID1658,Pump Priming Failure15
UC_ID296,Drug Library Not Present or Corrupted15,UC_ID1502,UC_ID344,Bolus request too soon15
UC_ID297,ICE Failure15,UC_ID2503,UC_ID466,Clinician Authentication Failure15
UC_ID298,Air-in-line Embolism15,UC_ID2120,UC_ID269,Prescription Authentication Failure15
UC_ID299,Bolus request too soon15,UC_ID452,UC_ID2333,Patient Authentication Failure15
UC_ID300,Upstream Occlusion15,UC_ID1134,UC_ID1831,Under-Flow Rate Alarm15
